case_id,noise_level,linearized_expected_parameter_rmse,observed_median_parameter_rmse,observed_boundary_hit_fraction
case_1,0.005,28.873309528381625,0.30927590165360114,1.0
case_1,0.01,57.74661905676325,0.3094826532774222,1.0
case_1,0.02,115.4932381135265,0.3368800203672532,1.0
case_2,0.005,9.393914987505028,0.3289762117704733,1.0
case_2,0.01,18.787829975010055,0.27729475989530045,1.0
case_2,0.02,37.57565995002011,0.266987004796576,1.0
case_3,0.005,20.78649516933318,0.3086256371802417,1.0
case_3,0.01,41.57299033866636,0.3422648784647788,1.0
case_3,0.02,83.14598067733272,0.29060201690558285,0.3333333333333333
case_4,0.005,3.1248241778140913,0.28600625759698994,1.0
case_4,0.01,6.2496483556281825,0.29976621276937276,0.9166666666666666
case_4,0.02,12.499296711256365,0.2871906454024138,0.9166666666666666
