case_id,source,geometry,quotes,weakest_direction_combo,largest_singular_value,smallest_singular_value,condition_number,numerical_rank,practical_rank,singular_value_01,singular_value_02,singular_value_03,singular_value_04,singular_value_05,singular_value_06,singular_value_07,singular_value_08,singular_value_09,singular_value_10,column_norm_kappa_slow,column_norm_theta_slow,column_norm_sigma_slow,column_norm_rho_slow,column_norm_v0_slow,column_norm_kappa_fast,column_norm_theta_fast,column_norm_sigma_fast,column_norm_rho_fast,column_norm_v0_fast,weakest_kappa_slow,weakest_theta_slow,weakest_sigma_slow,weakest_rho_slow,weakest_v0_slow,weakest_kappa_fast,weakest_theta_fast,weakest_sigma_fast,weakest_rho_fast,weakest_v0_fast,second_weakest_kappa_slow,second_weakest_theta_slow,second_weakest_sigma_slow,second_weakest_rho_slow,second_weakest_v0_slow,second_weakest_kappa_fast,second_weakest_theta_fast,second_weakest_sigma_fast,second_weakest_rho_fast,second_weakest_v0_fast
case_1,representative,full108_calls_puts,108,"kappa_slow:+0.611, theta_fast:-0.446, v0_fast:-0.395, theta_slow:+0.394",0.559161035699155,8.102155389370346e-06,69013.86221655887,10,10,0.559161035699155,0.08169749411829487,0.02814690040024544,0.005430380548208042,0.0036946145771109213,0.0018378867781312456,0.0006331825280108745,0.00010578788933135812,3.655050851529884e-05,8.102155389370346e-06,0.007721195121152379,0.05640023819481332,0.014524750418307968,0.022228683336466746,0.46793362865825655,0.036554735556007696,0.16092940653564763,0.00866078345450645,0.016128084391945168,0.2640028575541808,0.610729492404786,0.39439230696760164,0.0013846718752383257,0.0369880549965448,0.3320262167717937,0.05743479096393065,-0.4462418905897775,0.0358113665555923,0.013557244479242465,-0.3949125475047457,0.740772758843863,-0.27820212129143856,0.24614158179797152,-0.07882792254403673,-0.21023089116220509,0.08676196374174343,0.38287922242139655,-0.19372178484248237,0.09308062395992944,0.2500929475388326
case_1,representative,full108_calls,54,"kappa_slow:+0.611, theta_fast:-0.446, v0_fast:-0.395, theta_slow:+0.394",0.3953865601182792,5.72908873507281e-06,69013.86562539502,10,10,0.3953865601182792,0.05776885209693223,0.01990286414248386,0.0038398589100626028,0.0026124870217111074,0.0012995822037846002,0.00044772765946885775,7.480333369852596e-05,2.5845112594489756e-05,5.72908873507281e-06,0.005459709429254934,0.039880990888153466,0.010270549515772671,0.015718052724146836,0.3308790419695806,0.025848101396248078,0.1137942746536647,0.006124098710964702,0.011404277841195659,0.1866782108292145,0.6107294890872493,0.3943923080438236,0.0013846709423249364,0.036988055463487254,0.3320262178051318,0.05743479106786044,-0.4462418922410973,0.03581136726831903,0.0135572439401948,-0.39491254872404385,0.7407727614536083,-0.27820212027563934,0.24614158169342726,-0.07882792237284506,-0.21023088936712078,0.08676196478783127,0.3828792205401691,-0.19372178443036867,0.09308062406939827,0.2500929454002173
case_1,representative,full108_puts,54,"kappa_slow:+0.611, theta_fast:-0.446, v0_fast:-0.395, theta_slow:+0.394",0.3953865601180523,5.729089301020057e-06,69013.85880783081,10,10,0.3953865601180523,0.057768852097056546,0.019902864142307915,0.003839858910060256,0.0026124870209805265,0.0012995822039547924,0.00044772765910180165,7.480333412869266e-05,2.584511225948328e-05,5.729089301020057e-06,0.005459709428807735,0.039880990888024576,0.01027054951588274,0.015718052723981257,0.33087904196938134,0.025848101396020014,0.11379427465370161,0.006124098711174825,0.011404277840991031,0.18667821082916017,0.6107294957224547,0.3943923058912133,0.0013846728082086506,0.036988054529591724,0.3320262157384738,0.05743479086018368,-0.44624188893837036,0.03581136584284575,0.013557245018313584,-0.39491254628546724,0.7407727562340012,-0.27820212230726565,0.24614158190251265,-0.0788279227152398,-0.21023089295738792,0.08676196269556125,0.3828792243027114,-0.19372178525461464,0.09308062385045696,0.25009294967756407
case_1,representative,short3_full_moneyness,54,"kappa_slow:-0.653, v0_fast:+0.458, v0_slow:-0.385, theta_fast:+0.380",0.1783747526131907,1.4804565327545418e-08,12048631.531336222,10,8,0.1783747526131907,0.0051584527671613796,0.004711492104929114,0.0005557089841349836,6.3484809979769e-05,2.4839603707132503e-05,8.996777278940388e-06,3.929810673610086e-07,1.0571769792935652e-07,1.4804565327545418e-08,0.000500232100038317,0.0030078223644318318,0.001491298203001593,0.0030927013562919783,0.1414186398420971,0.004155842641510367,0.01158826151664245,0.0012641485184985207,0.003217247119882244,0.10808722600593601,-0.6530622268021996,-0.1361051056376361,-0.030411891013334642,-0.04047468678046108,-0.3848059790522871,-0.2212733483841848,0.3796285573041711,-0.034241550838743556,-0.024100708886443056,0.4577262708710103,0.6861008079032644,0.26681773230113526,0.05287153911051587,-0.07056654951103768,-0.3407848855339791,-0.3195318606395086,0.24663026678113736,-0.07943787533568562,0.02476114913800552,0.4053566508115887
case_1,representative,long3_full_moneyness,54,"kappa_slow:+0.563, v0_fast:-0.472, v0_slow:+0.399, theta_fast:-0.396",0.5322795824411835,2.205975694742277e-06,241289.86720471072,10,10,0.5322795824411835,0.06466932221882114,0.027750449659576258,0.005366709800324322,0.001768751065712469,0.0014110380612211008,0.0006035990151655346,3.1966842096335736e-05,1.4855135431105354e-05,2.205975694742277e-06,0.007704973844536954,0.05631997756618607,0.01444798963122073,0.022012486483668853,0.44605229417019526,0.03631773208101874,0.16051163846568153,0.008568027694226406,0.01580393707666905,0.24086232659159212,0.562847081095879,0.2043182557704116,0.024004116688526533,0.03138012949423116,0.39854955062617403,0.3128581336327666,-0.39601925488211975,0.0473030915535458,0.035980644515554654,-0.4720285033168486,-0.46714902783408924,-0.4926443885699091,-0.02157433550203583,0.0062974180138493895,0.19680540248971887,0.6566219582866722,0.0839749973773088,0.09298992242706018,0.025572057041881823,-0.22875874686232822
case_1,representative,central5x6,60,"theta_fast:-0.516, theta_slow:+0.447, kappa_slow:+0.445, v0_fast:-0.435",0.5065953661874227,8.91304873627123e-07,568374.9535956837,10,10,0.5065953661874227,0.07553030391752981,0.015227777921734267,0.0035958813642905972,0.0012462199481278564,0.0009675402238561314,0.00015400239631313973,0.00010318913553635238,1.9556131220494215e-05,8.91304873627123e-07,0.006640442847760569,0.04919155246596692,0.011400882057278633,0.011460376075028299,0.42365553786321647,0.032178525624219065,0.14090824609695884,0.007268723597964985,0.008817513404093365,0.24364034509533164,0.4446689727627108,0.44675001670749326,-0.05230701883342213,0.05424553053289353,0.3660329137412524,0.03179213507901427,-0.515982357150976,0.07838402906654215,-0.00816967526577042,-0.4353916617707001,0.8482295251501641,-0.19756609685769264,0.24619585787826245,-0.06976698723451229,-0.13053861480302947,0.11067183917712864,0.28100863969884515,-0.18615982248440005,0.09462897971600107,0.15533805797452746
case_1,representative,wings4x6,48,"kappa_slow:+0.627, theta_fast:-0.424, v0_fast:-0.415, v0_slow:+0.349",0.237504996803846,3.758267853661967e-06,63195.335205399686,10,10,0.237504996803846,0.025494729390450197,0.022735214937086023,0.0024370217536311845,0.0013358828340378204,0.0006417762690420896,0.00024596961933751917,2.2217546000327942e-05,1.6873220234393896e-05,3.758267853661967e-06,0.003939717360995941,0.027589455130895616,0.00899934792249747,0.01904663075433115,0.19869037738932385,0.01734333244278995,0.07773763612173083,0.00470901553429585,0.013504316477420808,0.10167050230327761,0.627217092860584,0.3332552731394832,0.01727953403437883,0.03288018994355648,0.34907790769117836,0.1381533173722948,-0.4240232992835486,0.03154334957748671,0.023906612019952936,-0.41455513515805104,0.3171241654968446,0.45573331015178115,0.02397729898622475,-0.013940400895924649,-0.29338012351923554,-0.6872554218327143,0.013585489549386794,-0.10775813057152442,-0.03252534482688737,0.34601152875434504
case_1,representative,single_7d,18,"theta_fast:-0.964, kappa_fast:+0.205, kappa_slow:-0.160, theta_slow:+0.047",0.05350683856773443,5.187351869373293e-13,103148658342.69853,10,4,0.05350683856773443,0.0008665990564177109,6.286560313961539e-05,2.3264030379035036e-07,2.6448584054098923e-08,1.0484854156556335e-11,6.838442093800315e-12,3.6131429116050675e-12,1.8788252807721375e-12,5.187351869373293e-13,4.078454130701941e-05,0.00023816854089670227,0.0002447111389727015,0.0005416136311587582,0.041425223739791635,0.00037739744150097566,0.0009713557682094863,0.0002005683994414678,0.0006069782423953881,0.03384939187132765,-0.16043429155282016,0.0467564806287699,-0.0023819004583835977,0.007335647284332866,0.03432261219685425,0.20525823222241904,-0.9636023192663271,0.004025667599058493,-0.0014364621450226607,-0.01258974664708005,-0.8143474048196272,-0.015409937962812939,0.03254049709830278,0.03476961419878478,0.33193431558310005,0.14444187935724664,0.18304238159195987,0.023598338287618825,0.022953218933713326,-0.4107321954637793
case_1,representative,single_30d,18,"theta_slow:-0.822, kappa_slow:-0.416, theta_fast:+0.374, v0_fast:+0.075",0.14571523624431124,5.160604744870747e-13,282360776397.6523,10,5,0.14571523624431124,0.00422443236830093,0.0005274509996207292,4.119867407567853e-06,7.608382147183893e-07,1.5623474767875924e-09,1.9923925168783567e-10,2.2666005940988753e-12,1.469973698438106e-12,5.160604744870747e-13,0.0004800243263698948,0.0028913757228369707,0.001357995013974175,0.0027858093507216676,0.11636595225687923,0.0039599415329954,0.01110160232190822,0.0011568507417960634,0.002861040328606944,0.08685259554238056,-0.4158846172922239,-0.8218340950093728,-0.011520996082932096,-0.010859415850329313,-0.07270315957818364,0.01721103582196795,0.3742925986647736,-0.0021562430712697487,-0.0035670351303413676,0.07539067190789937,-0.7463064715650765,0.5446750526576803,-0.008219440417028217,-0.0060736313020999565,-0.04736867664131789,-0.10667398283247956,0.36401525777238386,-0.004026187165306992,-0.00034258946512773827,-0.010233461420998962
case_1,representative,single_90d,18,"kappa_slow:+0.748, theta_slow:-0.564, v0_slow:+0.221, v0_fast:-0.204",0.2777465484631696,6.099817105791943e-13,455335862774.38,10,5,0.2777465484631696,0.012909801117068229,0.002531771923345207,2.278361459505631e-05,1.0348005808299286e-06,4.425659835682998e-08,4.119229719365426e-10,4.674163710332255e-12,8.560981102311727e-13,6.099817105791943e-13,0.0026960443717693725,0.017637660734649965,0.005402297259239816,0.009524603719748703,0.23158094410980415,0.016800739991788643,0.05863734956099356,0.004022180628996078,0.008000341999071655,0.13945407560365752,0.7478837699890644,-0.5636672346514541,0.02508903196747367,0.023783031220075586,0.2208365917583433,0.06881996042962844,-0.16273434916877738,0.013479053871236608,0.005052917833605999,-0.20386110610900735,0.18166156305743708,0.6171674389641327,0.011974075047959384,0.028076388352994492,0.23811180270979332,0.41205551696131976,-0.5687310377077394,0.047729113384778414,0.018283651407201153,-0.18060297245730242
case_1,representative,single_180d,18,"kappa_slow:-0.895, theta_fast:+0.290, theta_slow:+0.196, v0_fast:-0.184",0.4019440438645964,7.208796505791574e-13,557574407242.1423,10,5,0.4019440438645964,0.023147190082851172,0.004529665673689932,6.362543556568334e-05,2.4112660328874188e-06,4.272187025279408e-08,1.6268646187909176e-10,3.0737114247143265e-12,1.1929922096864276e-12,7.208796505791574e-13,0.007070443591800273,0.05270558750874644,0.013010673507544578,0.018901479371201103,0.3353398178490105,0.030481956394664413,0.14584747574620716,0.007095874389211007,0.012428582589476376,0.15460486627720224,-0.8945046976355798,0.19606395732833531,-0.051324344187844075,0.01968062120681419,-0.07552182389025783,0.18007637001187815,0.2903583738504998,0.022932345695935955,-0.03756805050213022,-0.184451821091887,-0.08804351013859683,-0.7368334636528351,-0.003991277555206568,-0.018706712339603897,-0.20024817041024026,-0.3747223922282872,0.49564677083952124,-0.04864700998750876,-0.030868603595994408,0.13949046948980795
case_1,representative,central5_const_carry_27_55,20,"kappa_slow:-0.682, theta_slow:-0.498, theta_fast:+0.367, v0_fast:+0.290",0.24330132319883271,1.8749824842942202e-10,1297619179.0421767,10,7,0.24330132319883271,0.009930734834049073,0.006899261052014171,0.0005442052633453213,0.00015377505012899523,2.393204869892641e-05,4.424151817283998e-07,3.279975999464541e-08,1.949509027032844e-09,1.8749824842942202e-10,0.0012801543003980716,0.007979092810496498,0.002663533947629791,0.0046872103970379934,0.1975127155223492,0.009517395561570456,0.028976378869406377,0.002323762662049847,0.004512353196528639,0.1388540929440927,-0.6824209883579386,-0.49788725558132885,-0.028263490220138632,-0.024745655839138306,-0.24429846761668572,-0.0798992212034169,0.3667809144150807,-0.015551626920357714,-0.01799091358795848,0.2895501872498061,0.041736312859820095,0.6167026499543089,-0.004532530981417783,-0.044560857157663024,-0.40932268692324736,-0.4260742712579233,0.15707009636220895,-0.057425753789122284,-0.01953614611838385,0.4883594658320831
