case_id,fixed_parameter,offset_scaled_widths,fixed_value,objective_mse_normalized,free_parameter_rmse,runtime_nfev
case_1,kappa_slow,-1.5,-3.704899872965883,,,0
case_1,kappa_slow,-1.2,-2.819899872965882,,,0
case_1,kappa_slow,-0.9,-1.9348998729658822,,,0
case_1,kappa_slow,-0.6000000000000001,-1.0498998729658824,,,0
case_1,kappa_slow,-0.30000000000000004,-0.16489987296588215,,,0
case_1,kappa_slow,0.0,0.7201001270341181,9.680188561806153e-15,0.012488977764206108,120
case_1,kappa_slow,0.2999999999999998,1.6051001270341176,9.79393999266722e-13,0.05524497845893776,120
case_1,kappa_slow,0.6000000000000001,2.4901001270341183,1.988564847203494e-12,0.11042877474215021,120
case_1,kappa_slow,0.8999999999999999,3.375100127034118,2.5274984672384555e-12,0.1566339615202924,120
case_1,kappa_slow,1.1999999999999997,4.260100127034118,9.851815579430624e-12,0.1666742685333214,120
case_1,kappa_slow,1.5,5.145100127034119,3.086140314099545e-11,0.18585207512648677,120
case_1,theta_fast,-1.5,-0.2536805259958532,,,0
case_1,theta_fast,-1.2,-0.19428052599585321,,,0
case_1,theta_fast,-0.9,-0.13488052599585323,,,0
case_1,theta_fast,-0.6000000000000001,-0.07548052599585323,,,0
case_1,theta_fast,-0.30000000000000004,-0.01608052599585321,,,0
case_1,theta_fast,0.0,0.0433194740041468,5.1551180056738223e-26,7.879684245696444e-11,41
case_1,theta_fast,0.2999999999999998,0.10271947400414677,1.2909060461482758e-10,0.1967520218628016,120
case_1,theta_fast,0.6000000000000001,0.1621194740041468,,,0
case_1,theta_fast,0.8999999999999999,0.2215194740041468,6.391715726446894e-07,0.27312392061771645,59
case_1,theta_fast,1.1999999999999997,0.28091947400414674,7.745558379041696e-07,0.2350648904939293,40
case_1,theta_fast,1.5,0.34031947400414686,9.213160884489666e-07,0.2674455753650775,88
case_1,v0_fast,-1.5,-0.3041148385574741,,,0
case_1,v0_fast,-1.2,-0.22971483855747407,,,0
case_1,v0_fast,-0.9,-0.1553148385574741,,,0
case_1,v0_fast,-0.6000000000000001,-0.08091483855747411,,,0
case_1,v0_fast,-0.30000000000000004,-0.0065148385574741036,,,0
case_1,v0_fast,0.0,0.0678851614425259,1.5178488943771093e-21,1.948613417494468e-08,64
case_1,v0_fast,0.2999999999999998,0.14228516144252584,2.4248518375138633e-08,0.33931486930410004,84
case_1,v0_fast,0.6000000000000001,0.21668516144252592,2.989076142947635e-06,0.3797956428528804,23
case_1,v0_fast,0.8999999999999999,0.2910851614425259,1.5652336416283613e-05,0.40258827181740425,120
case_1,v0_fast,1.1999999999999997,0.36548516144252585,4.258032971550335e-05,0.39589849668288946,120
case_1,v0_fast,1.5,0.4398851614425259,8.260375435401871e-05,0.3935793612654466,120
