candidate_id,distribution,regime,intended_training_role,split,attempt,kappa_slow,theta_slow,sigma_slow,rho_slow,v0_slow,kappa_fast,theta_fast,sigma_fast,rho_fast,v0_fast,hard_bounds_valid,canonical_valid,slow_feller_margin,fast_feller_margin,correlation_disk_value,correlation_margin,ordering_margin,minimum_hard_bound_distance,accepted_hard_bound_near,accepted_feller_near,accepted_correlation_disk_near,accepted_weak_slow_fast_separation,accepted_any_boundary_near,accepted,primary_rejection_reason,rejection_reasons,parameter_vector_hash,protocol_eligible,protocol_exclusion_reason
0,wide_valid_train,normal,wide_valid_train,train,0,0.46677864032603256,0.082411279360139394,0.26507759203534287,0.41217070154365182,0.1015914176199214,3.7778611029492666,0.045986908515150693,0.36518278240495605,-0.032947529642752535,0.081237280782287535,True,True,0.045308691721942275,0.4452905612173117,0.17097022692054614,0.8290297730794538,0.27707803034504053,0.14128089502577373,False,False,False,False,False,False,ordinary_training_margin_policy,ordinary_training_margin_policy,a4f354363bb01fd31a73fbc13d2286a92162d57a8015ca0bb30977ceb0ad5280,False,ordinary_training_margin_policy
1,wide_valid_train,normal,wide_valid_train,train,0,0.44869975918590133,0.17716838827573159,0.37895408501772043,-0.28572114475337129,0.11321761822345444,9.2950674769711839,0.060637320526413525,0.4077332956730344,-0.77963310750345916,0.1055367545533732,True,True,0.05084196635707517,0.74295147990711019,0.68946435487467728,0.31053564512532272,0.74028181738788978,0.089666785524495168,False,False,False,False,False,True,,,33c4be1e72e8540ebaa1520dcd54aedb4baf49a3677fe6463e8da3432543f108,True,
2,wide_valid_train,normal,wide_valid_train,train,0,1.4152886315450837,0.047033846397347659,0.11899722510735752,0.50120202842412998,0.23842544883650163,9.6663645365073574,0.027394294781002294,0.44017685087370784,0.57565481962131337,0.017605539221365398,True,True,0.80772591950064476,0.46429139832675415,0.58258194464970914,0.41741805535029086,0.69046660292571338,0.062925561376473385,False,False,False,False,False,True,,,ffe86b898093d806d146c414556c13d5b8c0e2712e3456bf52d59f82b0e042f0,True,
3,wide_valid_train,normal,wide_valid_train,train,0,0.76559052859356835,0.1531628538923257,0.42619002686054297,0.020235426270984316,0.095736822555945775,6.7070509575475548,0.1114311634113456,0.88616621971394027,-0.077986810087947542,0.10107216720842585,True,True,0.12707222162666096,0.31116057311152723,0.0064914150240620383,0.99350858497593797,0.49719334133506166,0.24257306054019262,False,False,False,False,False,True,,,beea39c4a05975b9a7c7a8d7fc0508058b9aa86619d02aed31f2878c7c7461a5,True,
4,wide_valid_train,normal,wide_valid_train,train,0,0.23507765722008536,0.047721962774110588,0.046509548938053855,-0.099425176031902526,0.20046937524602743,5.0916637490771857,0.0066447843354780984,0.15021988873855452,-0.63659108537541809,0.017124421198664908,True,True,0.82413419927435083,0.49982251382859227,0.41513357560842762,0.58486642439157244,0.40640887797967373,0.023458506744838879,False,False,False,False,False,False,ordinary_training_margin_policy,ordinary_training_margin_policy,358857e005b83b71443e97f965bdad4e58233b6a50eed556076478e6b027d1f9,False,ordinary_training_margin_policy
5,wide_valid_train,normal,wide_valid_train,train,0,0.73244545345876244,0.094162545731749023,0.3353213461696567,0.17879741280931621,0.088773733514027939,7.9500336194352528,0.084091838949756956,0.39765144924985774,0.01236187193000686,0.0058316496915666967,True,True,0.10183572484442702,0.78848654225830439,0.032121330704918925,0.96787866929508104,0.60398227330347209,0.015450200369220551,False,False,False,False,False,False,ordinary_training_margin_policy,ordinary_training_margin_policy,540b6b65976d687c32b4471ab146f5f328c652099acafadf145993166257870c,False,ordinary_training_margin_policy
6,wide_valid_train,normal,wide_valid_train,train,0,1.6041708213187582,0.15706724696214286,0.11897957225377068,-0.7270728648234599,0.1594316025567129,7.1712927988474267,0.053281255196460521,0.33669143735553653,-0.021197002713309581,0.18431015086310498,True,True,0.945351695222444,0.74164240364382794,0.5290842636866212,0.4709157363133788,0.4658679479103488,0.11455233392338761,False,False,False,False,False,True,,,3f448f863350b29778dbc47f13a18fb4798ab4dc264ad504c95a3afa34b0e399,True,
7,wide_valid_train,normal,wide_valid_train,train,0,0.24190206483882648,0.072410118980579988,0.089622990242599676,-0.094391948851820437,0.14519829821208785,3.5332317776013298,0.053044016617723885,0.31850665332686151,-0.42646248515572727,0.15011449570955651,True,True,0.62696593872489137,0.57400492466260178,0.19078009125324358,0.80921990874675642,0.27542508056589987,0.06505154740299203,False,False,False,False,False,True,,,cd026a09e71a3e21dc991fb3c193daaf1a5f746280e3eb38fd6aa7e594071da4,True,
8,wide_valid_train,normal,wide_valid_train,train,0,0.35074391314980369,0.076070817918881775,0.079032593983198923,-0.55193514748250061,0.14758672550710181,8.5099061799417886,0.11227627904478267,0.35612358798034555,0.63196417921558878,0.11962443859087235,True,True,0.79042892814493781,0.87552515477762805,0.70401113083816247,0.29598886916183753,0.68277508508719542,0.074404617068541623,False,False,False,False,False,True,,,99d4bd5d0ad8177ce2521e21084d654ab5f29388d5dc9e110fdcaf737d5e3179,True,
9,wide_valid_train,normal,wide_valid_train,train,0,1.9860122368747999,0.084847366959820841,0.45546332943220469,-0.27603213070304511,0.11893853003137941,5.383259946731096,0.12461840973399949,0.36419856888675983,-0.48901245885150962,0.069441071413251912,True,True,0.2379758660256015,0.82006870712382951,0.31532692209246238,0.68467307790753762,0.28428851128504573,0.24026660126204669,False,False,False,False,False,True,,,fab171f9e0d222baf0d537ee395a4f4d393c0ab1f7dd6ea7b0a88c14ab44cffd,True,
