method,seed,noise_level_label,range_scaled_parameter_rmse,standardized_parameter_rmse,constraint_validity_rate,noisy_price_rmse_mean,noisy_price_rmse_p95,clean_latent_price_rmse_mean,clean_latent_price_rmse_p95,noisy_repricing_success_le_1e-4,noisy_repricing_success_le_1e-3,clean_repricing_success_le_1e-4,parameter_recovery_le_0_10,parameter_recovery_le_0_25
model1,11,0%,0.1659897399843306,0.9018723872647582,1.0,0.0007113906475855834,0.001850245651839198,0.0007113906475855834,0.001850245651839198,0.0216,0.8008,0.0216,0.0664,0.912
model1,22,0%,0.1659301960612886,0.9014672967989323,1.0,0.0008329029241779702,0.0021624145491671034,0.0008329029241779702,0.0021624145491671034,0.0096,0.728,0.0096,0.0664,0.9104
model1,33,0%,0.16605358968689704,0.9020267858271067,1.0,0.0008224935615102414,0.002221729971476019,0.0008224935615102414,0.002221729971476019,0.0072,0.7576,0.0072,0.064,0.912
model2,11,0%,0.1671877430965892,0.9078707076914349,1.0,0.0009096769682474842,0.002013205890541746,0.0009096769682474842,0.002013205890541746,0.0064,0.6896,0.0064,0.0688,0.9064
model2,22,0%,0.16731086176848303,0.9083988315687643,1.0,0.0011334751347609852,0.002501871560653427,0.0011334751347609852,0.002501871560653427,0.004,0.4928,0.004,0.068,0.9096
model2,33,0%,0.1662427386624238,0.9029710160547836,1.0,0.0010375360218816724,0.0026975990132522432,0.0010375360218816724,0.0026975990132522432,0.016,0.6112,0.016,0.0656,0.9096
model1,11,0.10%,0.16599053682648893,0.9018761735285609,1.0,0.0007174910326413229,0.0018547711839079482,0.0007112828678602815,0.0018461487658844578,0.0152,0.7976,0.02,0.0664,0.912
model1,22,0.10%,0.16593149967015747,0.9014743233035717,1.0,0.000838229992400089,0.0021578169952387646,0.0008328146908478409,0.0021620436606519114,0.004,0.7256,0.0088,0.0664,0.9104
model1,33,0.10%,0.166054345608102,0.9020311123821274,1.0,0.0008276882191907155,0.0022238512292522155,0.0008223188810705988,0.002211865916431307,0.0048,0.7592,0.0072,0.064,0.912
model2,11,0.10%,0.16718857233313017,0.9078749314504504,1.0,0.0009146778893022893,0.002016004078723417,0.0009094509729972676,0.002007749155195157,0.0048,0.688,0.0064,0.0688,0.9064
model2,22,0.10%,0.1673113565761368,0.9084013570102752,1.0,0.0011378324914098385,0.002507422385293127,0.0011337158732236804,0.0025066077775798582,0.0032,0.4904,0.0072,0.068,0.9096
model2,33,0.10%,0.16624420018718045,0.9029786861172296,1.0,0.0010425026729306921,0.0027083490718808724,0.0010379190932140756,0.0027047352513109766,0.0096,0.6104,0.0168,0.0656,0.9096
model1,11,0.25%,0.16598856312695007,0.9018665789770687,1.0,0.0007445153577907797,0.0018357276432791805,0.0007116979481904721,0.0018515301478836228,0.0008,0.7928,0.02,0.0664,0.912
model1,22,0.25%,0.16592947725769616,0.9014624866520793,1.0,0.0008633997819113372,0.002165675615549802,0.0008325392090533426,0.002184309511080947,0.0,0.72,0.0088,0.0656,0.9104
model1,33,0.25%,0.1660525129798767,0.9020211272659353,1.0,0.000852756942228761,0.0022264767653759066,0.0008229708496316201,0.0022376932810064952,0.0008,0.7488,0.0088,0.064,0.9112
model2,11,0.25%,0.16718641917233917,0.9078638249835207,1.0,0.000936586418211473,0.002052521616081497,0.000910484409950066,0.002010003531824622,0.0008,0.6768,0.0072,0.0688,0.9064
model2,22,0.25%,0.1673113917619427,0.9084023408144682,1.0,0.0011572565689498245,0.0025187913824059114,0.0011334971863376205,0.0025130934776058924,0.0,0.484,0.0056,0.068,0.9096
model2,33,0.25%,0.16624174451516335,0.90296777603769,1.0,0.0010650727044732352,0.0027049758271065934,0.0010363923551108827,0.002698502035334923,0.0024,0.6056,0.0136,0.0648,0.9096
model1,11,0.50%,0.1659996638024347,0.9019306530696558,1.0,0.0008291416230812432,0.0018917444944358955,0.0007150442778201998,0.0018503316280752665,0.0,0.7656,0.0208,0.0672,0.912
model1,22,0.50%,0.1659374330416887,0.901507605759539,1.0,0.000941275716180607,0.0021935763646470647,0.0008351751754187008,0.0021834943510057186,0.0,0.696,0.0064,0.0664,0.9104
model1,33,0.50%,0.16606188619532797,0.9020731391129257,1.0,0.0009312135483999842,0.0022372691744249606,0.0008231197513878422,0.0022118537738054465,0.0,0.7144,0.0104,0.064,0.912
model2,11,0.50%,0.16719388310485522,0.9079070243966334,1.0,0.0010090575854831783,0.0020797168099019195,0.0009101034618931367,0.0020394563478519467,0.0,0.636,0.004,0.0688,0.9064
model2,22,0.50%,0.16732139722847952,0.9084576365517235,1.0,0.0012175156515534468,0.0025629721736872267,0.001137604210255913,0.002542873957461385,0.0,0.4512,0.0064,0.068,0.9096
model2,33,0.50%,0.16625490164857723,0.90304028923506,1.0,0.001136839696026325,0.002721767618092162,0.0010379922870027165,0.0027020892466890364,0.0,0.576,0.0176,0.0648,0.9096
model1,11,1.00%,0.1660280889781253,0.9021031278124916,1.0,0.0010680714191053904,0.0020645597786293018,0.0007215990008427931,0.0018511217245211105,0.0,0.5632,0.0176,0.0672,0.912
model1,22,1.00%,0.16597033696816157,0.9017028459342088,1.0,0.0011638718373049733,0.002381509862893286,0.0008420132292031017,0.002219684486218023,0.0,0.5152,0.0088,0.0656,0.9104
model1,33,1.00%,0.1660844089793799,0.9022095947931462,1.0,0.0011541306856055152,0.0023723027247640805,0.0008284548278273988,0.002182588013192367,0.0,0.5168,0.016,0.064,0.9112
model2,11,1.00%,0.16721531511010493,0.9080386961563457,1.0,0.0012183578026933165,0.0021763184165409844,0.0009123720175318978,0.002023624463583695,0.0,0.4104,0.0056,0.0688,0.9064
model2,22,1.00%,0.1673437195992986,0.9085973175644695,1.0,0.001404895271715694,0.0026199834637212686,0.0011417369704213374,0.0025401299415472724,0.0,0.2896,0.0064,0.068,0.9096
model2,33,1.00%,0.1662841868410161,0.90321732919909,1.0,0.0013394769124135074,0.0028506691828762082,0.0010440595002145496,0.0027305810894038395,0.0,0.4272,0.0144,0.0656,0.9096
