method,seed,surface_id,parameter_range_scaled_rmse,noisy_price_rmse,clean_latent_price_rmse
model1,11,R2_FINAL_interior_train_008990,0.1308183006755018,0.000533017245983012,0.000533017245983012
model1,11,R2_FINAL_interior_train_008991,0.17582448122367636,0.00011391247933501027,0.00011391247933501027
model1,11,R2_FINAL_interior_train_008992,0.11479770016124424,0.0006583002692372408,0.0006583002692372408
model1,11,R2_FINAL_interior_train_008993,0.12082404558054681,0.00030855614069056356,0.00030855614069056356
model1,11,R2_FINAL_interior_train_008995,0.13084322610026156,0.0002090597300345826,0.0002090597300345826
model1,11,R2_FINAL_interior_train_008996,0.10894931677403738,0.0006619746586978762,0.0006619746586978762
model1,11,R2_FINAL_interior_train_008997,0.11461595540512885,0.0006389810605724671,0.0006389810605724671
model1,11,R2_FINAL_interior_train_008998,0.14168680840521652,0.0005179463058925075,0.0005179463058925075
model1,11,R2_FINAL_interior_train_008999,0.1288117742710403,0.0005325814687206584,0.0005325814687206584
model1,11,R2_FINAL_interior_train_009000,0.14043635466303425,0.0005514564598865616,0.0005514564598865616
model1,11,R2_FINAL_interior_train_009001,0.1526522458319772,0.0003401823054376346,0.0003401823054376346
model1,11,R2_FINAL_interior_train_009002,0.13049133124791013,6.929484527286995e-05,6.929484527286995e-05
model1,11,R2_FINAL_interior_train_009003,0.13193716562844834,0.00010625690792524121,0.00010625690792524121
model1,11,R2_FINAL_interior_train_009004,0.11466927458191016,0.00036286569997185134,0.00036286569997185134
model1,11,R2_FINAL_interior_train_009005,0.10795849617331588,0.0002759820418136741,0.0002759820418136741
model1,11,R2_FINAL_interior_train_009006,0.1429650287814625,0.0008605099575063087,0.0008605099575063087
model1,11,R2_FINAL_interior_train_009008,0.1345736788506155,0.0005702276929330024,0.0005702276929330024
model1,11,R2_FINAL_interior_train_009009,0.14480933880161717,0.0003973666173760574,0.0003973666173760574
model1,11,R2_FINAL_interior_train_009010,0.11582083331682863,0.0006609941554209758,0.0006609941554209758
model1,11,R2_FINAL_interior_train_009011,0.097377871465408,0.0008074794982147436,0.0008074794982147436
model1,11,R2_FINAL_interior_train_009012,0.1276016293938011,0.0004922854717655292,0.0004922854717655292
model1,11,R2_FINAL_interior_train_009013,0.1116728989986971,0.0009992795236545208,0.0009992795236545208
model1,11,R2_FINAL_interior_train_009014,0.11901815036213072,0.0006821932462949449,0.0006821932462949449
model1,11,R2_FINAL_interior_train_009016,0.12408552151416294,0.00036750027844090655,0.00036750027844090655
model1,11,R2_FINAL_interior_train_009017,0.16402034816303956,0.0001506796945034494,0.0001506796945034494
model1,11,R2_FINAL_interior_train_009019,0.161501658894015,0.0005082706678603854,0.0005082706678603854
model1,11,R2_FINAL_interior_train_009020,0.13992588423854913,0.0005592519750685744,0.0005592519750685744
model1,11,R2_FINAL_interior_train_009021,0.14214052089100293,0.00033863036993752904,0.00033863036993752904
model1,11,R2_FINAL_interior_train_009022,0.20183256156705287,0.0004874667696211443,0.0004874667696211443
model1,11,R2_FINAL_interior_train_009023,0.10839861208459896,0.0005089561357055477,0.0005089561357055477
model1,11,R2_FINAL_interior_train_009024,0.13246707324131207,0.0006395769836352837,0.0006395769836352837
model1,11,R2_FINAL_interior_train_009026,0.15261613464619667,0.0005333017938054686,0.0005333017938054686
model1,11,R2_FINAL_interior_train_009027,0.0700558275474154,0.0007784076137265225,0.0007784076137265225
model1,11,R2_FINAL_interior_train_009029,0.15752705198888842,0.000563397073223241,0.000563397073223241
model1,11,R2_FINAL_interior_train_009030,0.1574205625019029,7.64806549342504e-05,7.64806549342504e-05
model1,11,R2_FINAL_interior_train_009031,0.1503778538330371,0.0006405065883591064,0.0006405065883591064
model1,11,R2_FINAL_interior_train_009032,0.1857545096504962,0.0002381465104496105,0.0002381465104496105
model1,11,R2_FINAL_interior_train_009033,0.16526903391234388,9.151297897288532e-05,9.151297897288532e-05
model1,11,R2_FINAL_interior_train_009034,0.13721567031147863,0.0006604849940354725,0.0006604849940354725
model1,11,R2_FINAL_interior_train_009035,0.09205490181579587,0.0008589758264610083,0.0008589758264610083
model1,11,R2_FINAL_interior_train_009036,0.113826715008641,0.0006144257253345579,0.0006144257253345579
model1,11,R2_FINAL_interior_train_009037,0.12720891589073943,0.0011968760822311528,0.0011968760822311528
model1,11,R2_FINAL_interior_train_009038,0.15747836343612798,0.0004105108485190445,0.0004105108485190445
model1,11,R2_FINAL_interior_train_009039,0.1203284933349021,0.0002766390758893568,0.0002766390758893568
model1,11,R2_FINAL_interior_train_009040,0.14945794483967426,0.0008302337690296195,0.0008302337690296195
model1,11,R2_FINAL_interior_train_009041,0.1845803750587299,0.0007968471401877405,0.0007968471401877405
model1,11,R2_FINAL_interior_train_009042,0.15183297570718035,0.00033980285368675865,0.00033980285368675865
model1,11,R2_FINAL_interior_train_009043,0.14036982669702622,0.00026508016243071537,0.00026508016243071537
model1,11,R2_FINAL_interior_train_009044,0.09668962338251552,0.0010996558908340965,0.0010996558908340965
model1,11,R2_FINAL_interior_train_009045,0.12741844978162573,0.00027020688085316905,0.00027020688085316905
model1,11,R2_FINAL_interior_train_009047,0.14928437574478579,0.0003215723760503337,0.0003215723760503337
model1,11,R2_FINAL_interior_train_009048,0.1150461400062247,0.0002811910792155344,0.0002811910792155344
model1,11,R2_FINAL_interior_train_009049,0.15361296540593633,0.00024869816997704025,0.00024869816997704025
model1,11,R2_FINAL_interior_train_009050,0.15983911481104365,0.0009286660624601917,0.0009286660624601917
model1,11,R2_FINAL_interior_train_009051,0.15359053411921994,0.0009694583365346356,0.0009694583365346356
model1,11,R2_FINAL_interior_train_009052,0.15993300068189362,0.0007070819172846373,0.0007070819172846373
