regime,design,maturity,BS_EXPIRY,DH,SH,quotes
calm,A,<=7d,8.09,4.05,3.98,118
calm,A,7-30d,6.2,1.63,2.57,422
calm,A,30-90d,5.59,1.18,1.83,283
calm,A,>90d,3.46,0.95,2.07,149
calm,B,<=7d,4.95,1.78,3.05,41
calm,B,7-30d,8.56,2.71,4.07,494
calm,B,30-90d,8.39,1.72,2.85,266
calm,B,>90d,4.38,1.37,2.35,88
shock,A,<=7d,14.39,5.99,7.79,223
shock,A,7-30d,9.15,1.88,2.6,573
shock,A,30-90d,7.52,1.25,1.9,445
shock,A,>90d,4.52,1.67,2.56,258
shock,B,<=7d,18.1,5.04,6.12,97
shock,B,7-30d,10.0,2.35,2.86,573
shock,B,30-90d,8.86,1.98,2.47,469
shock,B,>90d,7.19,2.19,2.55,195
