regime,design,moneyness,BS_EXPIRY,DH,SH,quotes
calm,A,x<-.15 (OTM call wing),7.06,2.85,2.98,200
calm,A,-.15..-.05,2.81,1.54,1.99,212
calm,A,ATM +-.05,2.58,1.6,2.0,265
calm,A,.05...15,4.85,1.69,2.36,164
calm,A,x>.15 (OTM put wing),11.48,1.55,3.56,131
calm,B,x<-.15 (OTM call wing),6.91,1.83,2.62,157
calm,B,-.15..-.05,3.09,2.08,2.73,199
calm,B,ATM +-.05,3.12,2.32,2.75,230
calm,B,.05...15,4.49,2.12,3.14,139
calm,B,x>.15 (OTM put wing),16.22,2.99,5.82,164
shock,A,x<-.15 (OTM call wing),9.14,3.69,4.12,416
shock,A,-.15..-.05,4.02,1.53,2.05,260
shock,A,ATM +-.05,3.59,1.46,1.89,349
shock,A,.05...15,6.84,1.38,2.42,234
shock,A,x>.15 (OTM put wing),17.09,4.07,6.44,240
shock,B,x<-.15 (OTM call wing),8.01,2.47,2.73,338
shock,B,-.15..-.05,3.69,1.78,2.35,236
shock,B,ATM +-.05,3.63,1.73,2.18,300
shock,B,.05...15,8.12,1.85,2.59,199
shock,B,x>.15 (OTM put wing),18.98,3.92,4.74,261
