instrument,expiry,strike,cp,ts,tau,price_btc,mark_btc,trade_iv,index,k_solved,ratio,forward,k,x,otm,c,c_mark,market_iv,days,vega_w,heldout_A,heldout_B,date
BTC-10FEB26-60000-P,2026-02-10,60000.0,P,1770444961650,0.008416994863013698,0.0028,0.00298745,1.1199,70000.58,0.8573734342867939,0.9997227822598612,69983.06760075441,0.8573502428086363,0.15390875914901653,True,0.14544975719136366,0.14563720719136375,1.120055737253298,3.0722031249999997,0.01102464841075596,False,False,2026-02-07
BTC-10FEB26-62000-P,2026-02-10,62000.0,P,1770448198700,0.008314348680872653,0.006,0.00596025,0.9948999999999999,68482.07,0.905586636821014,0.9997347888420485,68464.93749408357,0.9055730169235569,0.09918736777708154,True,0.10042698307644315,0.10038723307644315,0.9950054892792706,3.0347372685185183,0.019024308623364683,True,False,2026-02-07
BTC-10FEB26-63000-P,2026-02-10,63000.0,P,1770450263898,0.008248861681887367,0.0075,0.00779754,0.9625,68542.61,0.9193490594536889,0.9997685609415007,68525.46234848548,0.9193662886886366,0.08407066292501797,True,0.0881337113113635,0.08843125131136353,0.9623586719119417,3.0108345138888892,0.021854394446035326,False,False,2026-02-07
BTC-10FEB26-64000-P,2026-02-10,64000.0,P,1770450981464,0.008226107813292744,0.0105,0.01048764,0.9092,68088.47,0.9401026356162803,0.9998414298034944,68071.43596298686,0.9401887751390957,0.06167459926459203,True,0.07031122486090424,0.07029886486090431,0.9084206849658596,3.0025293518518517,0.026489396039169895,True,False,2026-02-07
BTC-10FEB26-65000-P,2026-02-10,65000.0,P,1770450911384,0.008228330035514967,0.0125,0.01264748,0.8591,68219.58,0.9531402853567345,0.9996488933481549,68202.51316253484,0.9530440593163647,0.04809414416537896,True,0.059455940683635244,0.05960342068363533,0.8600290492381804,3.0033404629629628,0.029192017882061345,False,False,2026-02-07
BTC-10FEB26-66000-P,2026-02-10,66000.0,P,1770448607005,0.008301401414256723,0.0185,0.01848713,0.7916,67563.99,0.977250544999044,0.9995918931372407,67547.08717480191,0.9770961674365279,0.0231702004256462,True,0.04140383256347202,0.04139096256347208,0.7933570884790317,3.030011516203704,0.03410825238478109,True,False,2026-02-07
BTC-10FEB26-67000-P,2026-02-10,67000.0,P,1770448429706,0.008307023528665651,0.0195,0.01949764,0.7494,68156.06,0.9833415907999451,0.9996913122868335,68139.0090536546,0.9832840384755563,0.016857249936790924,True,0.03621596152444373,0.03621360152444364,0.7500848841280889,3.0320635879629627,0.03495553033475093,False,False,2026-02-07
BTC-10FEB26-68000-P,2026-02-10,68000.0,P,1770450844231,0.008230459443176052,0.026,0.02625247,0.7406999999999999,68117.7,0.9984215940867519,0.9998502780152775,68100.65865036988,0.9985219137029693,0.0014791797441871181,True,0.027478086297030746,0.027730556297030695,0.7392999463059445,3.004117696759259,0.03613691560317436,True,False,2026-02-07
BTC-10FEB26-70000-C,2026-02-10,70000.0,C,1770450011584,0.008256862506341958,0.0145,0.01472492,0.7047,68168.46,1.0272887934968729,0.9995902390023348,68151.40595148387,1.0271248116265146,-0.026763453870404904,True,0.0145,0.01472492,0.7031114072285715,3.0137548148148148,0.033635910947235254,False,False,2026-02-07
BTC-10FEB26-71000-C,2026-02-10,71000.0,C,1770450902427,0.008228614060121766,0.009,0.01000236,0.6596,68197.07,1.041616849776125,0.999504228765091,68180.00879397544,1.0413609686461898,-0.04052848134982075,True,0.009,0.01000236,0.6575140059381883,3.0034441319444443,0.029303432795763428,True,False,2026-02-07
BTC-10FEB26-72000-C,2026-02-10,72000.0,C,1770449017468,0.00828838571790969,0.0046,0.00497468,0.6498999999999999,67676.14,1.0642229213914716,0.9996876056860061,67659.20911766902,1.0641566896648427,-0.06218264479966433,True,0.0046,0.00497468,0.6494702471335773,3.025260787037037,0.021542498800349183,False,False,2026-02-07
BTC-10FEB26-73000-C,2026-02-10,73000.0,C,1770448699289,0.008298475107813293,0.0027,0.00251703,0.6644,67387.89,1.0837069948791975,0.9996066238036749,67371.03123062983,1.0835517679713205,-0.0802443193220687,True,0.0027,0.00251703,0.6635354608311373,3.028943414351852,0.015665258705038255,True,False,2026-02-07
BTC-10FEB26-74000-C,2026-02-10,74000.0,C,1770448590860,0.0083019133688483,0.0016,0.00144151,0.6406999999999999,67554.83,1.0946201357088323,1.0007183916297355,67537.92946640545,1.0956806136144417,-0.09137573512167797,True,0.0016,0.00144151,0.6459956832420584,3.0301983796296295,0.011397758090575427,False,False,2026-02-07
