S,x,tau_days,IV_BS,IV_SH,IV_DH,IV_PINN,BS_minus_DH,SH_minus_DH,PINN_minus_DH
70.0,-0.35667494393873245,30.0,19.794239456195072,,,,,,
70.15,-0.3545343794396214,30.0,19.79423945619472,,,,,,
70.3,-0.3523983871714722,30.0,19.794239456194738,,,,,,
70.45,-0.3502669476434021,30.0,19.794239456194482,,,,,,
70.6,-0.34814004148889505,30.0,19.794239456194973,,,,,,
70.75,-0.34601764946474434,30.0,19.794239456194735,,,,,,
70.9,-0.3438997524500094,30.0,19.794239456195125,,,,,,
71.05,-0.3417863314449817,30.0,19.794239456194983,,,,,,
71.2,-0.3396773675701612,30.0,19.79423945619469,,,,,,
71.35,-0.33757284206524607,30.0,19.79423945619473,,,,,,
71.5,-0.33547273628812946,30.0,19.794239456195285,,,,,,
71.65,-0.3333770317139105,30.0,19.79423945619475,,,,,,
71.8,-0.33128570993391293,30.0,19.79423945619456,,,,,,
71.95,-0.3291987526547145,30.0,19.794239456194806,,,,,,
72.1,-0.327116141697188,30.0,19.79423945619459,18.140535976373744,,,,,
72.25,-0.32503785899554977,30.0,19.794239456194777,18.14274009786155,,,,,
72.4,-0.32296388659642056,30.0,19.794239456194575,18.144344686920945,,,,,
72.55,-0.32089420665789464,30.0,19.794239456194763,18.1455545466098,,,,,
72.7,-0.3188288014486177,30.0,19.79423945619472,18.146465851955927,,,,,
72.85,-0.3167676533468776,30.0,19.794239456194987,18.1471796393177,,,,,
73.0,-0.31471074483970024,30.0,19.794239456195033,18.147745015744217,,,,,
73.15,-0.312658058521958,30.0,19.79423945619472,18.148234705220442,,,,,
73.3,-0.3106095770954856,30.0,19.794239456195015,18.148678780175366,,,,,
73.45,-0.308565283368205,30.0,19.79423945619503,18.149107225493424,,,,,
73.6,-0.3065251602532608,30.0,19.794239456194862,18.1495386828648,,,,,
73.75,-0.3044891907681621,30.0,19.794239456194752,18.150003800178617,,,,,
73.9,-0.30245735803393514,30.0,19.794239456195033,18.150502741542482,,,,,
74.05,-0.3004296452742837,30.0,19.79423945619488,18.15105186107393,,,,,
74.2,-0.2984060358147566,30.0,19.794239456194738,18.151662502495714,,,,,
74.35,-0.29638651308192737,30.0,19.7942394561948,18.15233545297263,,,,,
74.5,-0.29437106060257756,30.0,19.79423945619472,18.153079457190795,,,,,
74.65,-0.29235966200289193,30.0,19.79423945619482,18.153896440000114,,,,,
74.8,-0.2903523010076598,30.0,19.794239456195044,18.15479032737646,,,,,
74.95,-0.2883489614394846,30.0,19.794239456195122,18.15576439274105,,,,,
75.1,-0.28634962721800244,30.0,19.794239456194738,18.156817983064247,,,,,
75.25,-0.2843542823591063,30.0,19.794239456194763,18.157954582833234,,,,,
