S,tau_days,TV_BS,TV_SH,TV_DH,TV_PINN,BS_minus_DH,SH_minus_DH,PINN_minus_DH
70.0,365.0,0.3263469656978995,0.25680495887946275,0.25174765375929226,0.2521288725985643,0.07459931193860725,0.005057305120170497,0.00038121883927205724
70.12,365.0,0.3331415280649068,0.26277109742384974,0.2576422902837952,0.25802625969506243,0.07549923778111162,0.0051288071400545365,0.0003839694112672265
70.24,365.0,0.3400477679308257,0.2688480285257506,0.2636470764643148,0.2640337028443473,0.0764006914665109,0.005200952061435837,0.0003866263800325065
70.36,365.0,0.3470669295377416,0.2750371756601583,0.2697634340859383,0.27015262378547594,0.07730349545180332,0.005273741574220003,0.000389189699537662
70.48,365.0,0.354200261327746,0.2813399685190016,0.2759927911805871,0.27638445065291495,0.0782074701471589,0.005347177338414499,0.00039165947232783216
70.6,365.0,0.36144901582309463,0.2877578428415999,0.2823365818584478,0.2827306178086384,0.07911243396464684,0.005421260983152099,0.00039403595019060766
70.72,365.0,0.36881444950527703,0.29429224024312084,0.2887962461372694,0.2891925656718988,0.08001820336800763,0.005495994105851443,0.00039631953462943015
70.84,365.0,0.37629782269291767,0.30094460804089385,0.2953732297696252,0.29577174054668637,0.08092459292329246,0.005571378271268634,0.00039851077706115623
70.96,365.0,0.3839003994186669,0.30771639907856874,0.3020689840680776,0.30246959444695765,0.0818314153505893,0.0056474150104911525,0.0004006103788800619
71.08,365.0,0.39162344730501963,0.3146090715484951,0.3088849657284631,0.3092875849196774,0.08273848157655656,0.005724105820032022,0.0004026191912143151
71.2,365.0,0.3994682374391223,0.32162408881191334,0.31582263665122406,0.31622717486572033,0.08364560078789823,0.00580145216068928,0.0004045382144962639
71.32,365.0,0.40743604424658264,0.32876291921746625,0.32288346376082105,0.3232898323587214,0.08455258048576159,0.0058794554566451995,0.00040636859790033064
71.44,365.0,0.41552814536436194,0.33602703591771643,0.33006891882349576,0.33047703046187804,0.08545922654086618,0.005958117094220672,0.00040811163838228026
71.56,365.0,0.423745821512678,0.3434179166840423,0.3373804782631351,0.33779024704281674,0.08636534324954287,0.006037438420907204,0.0004097687796816296
