setting,figure,quantity,tau_days,model,RMSE_vs_DH,max_abs_vs_DH,P95_abs_vs_DH,points_without_invertible_IV,RMSE_vs_market,max_abs_vs_market,P95_abs_vs_market,RMSE_vs_own_target,max_abs_vs_own_target,P95_abs_vs_own_target
controlled,time_value_vs_S_30d,time value,30.0,BS,0.0494560955577509,0.1099280657829657,0.1043607626208027,,,,,,,
controlled,time_value_vs_S_30d,time value,30.0,SH,0.0459078295194478,0.1168367183977903,0.111419822056253,,,,,,,
controlled,time_value_vs_S_30d,time value,30.0,DH,0.0,0.0,0.0,,,,,,,
controlled,time_value_vs_S_30d,time value,30.0,PINN,0.0002894566442982,0.0008773720791364,0.0007420549351415,,,,,,,
controlled,time_value_vs_S_90d,time value,90.0,BS,0.1212195787628644,0.2110590176164581,0.2076870355697551,,,,,,,
controlled,time_value_vs_S_90d,time value,90.0,SH,0.0755579958124955,0.1348009241886494,0.1329438372974447,,,,,,,
controlled,time_value_vs_S_90d,time value,90.0,DH,0.0,0.0,0.0,,,,,,,
controlled,time_value_vs_S_90d,time value,90.0,PINN,0.0004353664416873,0.0009497180284645,0.0009178131976783,,,,,,,
controlled,time_value_vs_S_180d,time value,180.0,BS,0.1633896857399493,0.2552170294568014,0.2535098682490648,,,,,,,
controlled,time_value_vs_S_180d,time value,180.0,SH,0.058707773210375,0.0823256216170733,0.081813153414366,,,,,,,
controlled,time_value_vs_S_180d,time value,180.0,DH,0.0,0.0,0.0,,,,,,,
controlled,time_value_vs_S_180d,time value,180.0,PINN,0.000339634455011,0.0006031814174392,0.0005886832399042,,,,,,,
controlled,time_value_vs_S_365d,time value,365.0,BS,0.1588990388552014,0.2541180954238342,0.2534567317847838,,,,,,,
controlled,time_value_vs_S_365d,time value,365.0,SH,0.0303433066535021,0.0397297075867779,0.039646366993816,,,,,,,
controlled,time_value_vs_S_365d,time value,365.0,DH,0.0,0.0,0.0,,,,,,,
controlled,time_value_vs_S_365d,time value,365.0,PINN,0.000755105486529,0.0014010183491315,0.0011871518467998,,,,,,,
controlled,controlled_time_value_vs_S_atm_zoom,time value,90.0,BS,0.1449814301365513,0.2110624569177766,0.2102568225259915,,,,,,,
controlled,controlled_time_value_vs_S_atm_zoom,time value,90.0,SH,0.0898134461453079,0.1348009241886494,0.1343226398177464,,,,,,,
