symbol,usable,domain_pass,reject_reason,error_known,S1_one_timescale_misfit,S2_term_curvature,S3_skew_magnitude,S4_skew_variation,S5_short_long_separation,atm_iv_short,atm_iv_long,expiries,quotes,expiries_under_90d,expiries_over_180d,single_timescale_kappa,DH_SCORE,z_S1_one_timescale_misfit,z_S2_term_curvature,z_S3_skew_magnitude,z_S4_skew_variation,z_S5_short_long_separation
AAPL,True,True,,True,0.07594935180362428,0.07645243928209552,0.15733213886421474,0.24888198907204315,0.10145509437575545,0.23254178560837566,0.2535949735638073,15.0,485.0,9.0,3.0,0.21204393577065808,0.4728490738084328,1.030243638410445,-0.11726314800205977,-0.2748806333746106,0.7975401628641657,0.05805318621233389
AMD,True,False,"short ATM IV 55.2% outside [13.4, 28.6]%",False,0.02140063432135886,0.04645990789962857,0.03500517927760212,0.20405365829840316,0.06247628234258709,0.5521542470921383,0.57074092462972,19.0,1046.0,10.0,6.0,0.0018737103359481588,,,,,,
AMZN,True,False,"short ATM IV 30.1% outside [13.4, 28.6]%",False,0.039294462403127735,0.11235348724915112,0.045775884842788855,0.1713527781494638,0.1590419088570543,0.30087817852143994,0.3566201057793701,20.0,620.0,10.0,7.0,0.0006631663933785422,,,,,,
BA,True,False,"short ATM IV 31.8% outside [13.4, 28.6]%",False,0.023330169056890497,0.08969835716713477,0.06347882880776543,0.22055781526849963,0.06833061731783815,0.31826232075281335,0.34299394710412856,12.0,240.0,6.0,3.0,4.798010915993186,,,,,,
BAC,True,True,,False,0.034863625123083164,0.12193429253658501,0.1830688501568036,0.13008453857731217,0.0536415209731827,0.2553889510651839,0.26013337919221846,15.0,231.0,8.0,4.0,26.32035266991708,-0.16231642713356736,-0.5798044773852989,1.178845259698888,-0.06589043748851908,-0.6324557146505063,-0.6141176529837161
C,True,False,"short ATM IV 30.1% outside [13.4, 28.6]%",False,0.06385330652491572,0.08333861444809727,0.10568776202738635,0.13648663035985567,0.013286288745996366,0.3010437414427747,0.30713912771953145,13.0,307.0,8.0,3.0,0.08226076205098247,,,,,,
CAT,True,False,"short ATM IV 35.4% outside [13.4, 28.6]%",False,0.040679014574745515,0.08674211570101058,0.022915806702935464,0.09783312440021864,0.07140887669806294,0.3540463419277113,0.3841496618635539,17.0,686.0,8.0,6.0,0.9642663151961868,,,,,,
CVX,True,True,,False,0.018379828762372413,0.030647100241343338,0.06783120363969763,0.10288128857855033,0.024892641837627138,0.27181147012578355,0.2780331736567386,12.0,208.0,7.0,3.0,0.3977941048482492,-1.1708856011942448,-1.2257637293192005,-1.4225900157556541,-1.0016563962882838,-0.9599083257227935,-1.0182739801377205
DIA,True,False,"short ATM IV 13.2% outside [13.4, 28.6]%",True,0.043768831491318244,0.05493102028905718,0.5908181831338106,0.042465288175506835,0.10652591687647041,0.13224305331794076,0.14647932055691854,14.0,1103.0,8.0,3.0,12.106996386253353,,,,,,
EEM,False,False,no usable surface,False,,,,,,,,,,,,,,,,,,
EFA,False,False,no usable surface,False,,,,,,,,,,,,,,,,,,
EWJ,False,False,no usable surface,False,,,,,,,,,,,,,,,,,,
EWZ,False,False,no usable surface,False,,,,,,,,,,,,,,,,,,
F,False,False,no usable surface,False,,,,,,,,,,,,,,,,,,
FXI,False,False,no usable surface,False,,,,,,,,,,,,,,,,,,
GE,True,False,"short ATM IV 31.6% outside [13.4, 28.6]%",False,0.05750981906224389,0.07199791998475485,0.06643034277998267,0.11602537867731844,0.03662845055894671,0.31558240124496856,0.3404830142257086,12.0,270.0,7.0,3.0,0.0008558645792289388,,,,,,
GLD,True,True,,True,0.04148320319542217,0.058693957786446975,0.059893414567163836,0.21110455995720198,0.15548751910080086,0.19775600300461788,0.23376631031077086,22.0,1910.0,12.0,6.0,2.637454960634421,-0.2795576742892754,-0.3203995680940154,-0.6233312944718785,-1.0661137418407833,0.3428034014913143,0.817649628951268
GOOGL,True,False,"short ATM IV 32.2% outside [13.4, 28.6]%",False,0.0538783002779334,0.08436873121651663,0.03220997375754611,0.12084821501490248,0.08704094096715828,0.32245806910615693,0.3263282189586218,19.0,746.0,10.0,6.0,0.12649648948942627,,,,,,
GS,True,False,"short ATM IV 32.4% outside [13.4, 28.6]%",False,0.04995549481387865,0.05682468464176549,0.04146015214772842,0.07822819098613387,0.031775791672958825,0.3239938770107782,0.3203952847998147,18.0,1612.0,8.0,8.0,0.029212471267624107,,,,,,
HD,True,True,,False,0.04001288669890618,0.051440148691983704,0.053538816364127224,0.1251505156720219,0.037127000775436896,0.28072637128265876,0.28559520717906406,17.0,380.0,8.0,6.0,5.122958663164957,-0.6732786360600802,-0.37801763879885086,-0.8300450117556702,-1.117715079250682,-0.6918478344707965,-0.8462814113118401
HYG,False,False,no usable surface,False,,,,,,,,,,,,,,,,,,
IEF,True,False,"fewer than 150 quotes; short ATM IV 9.6% outside [13.4, 28.6]%; fewer than 2 expiries over 180d",False,0.016289587629586495,0.09413359901810905,,,0.13835932481449442,0.0958728570349811,0.07486574606834256,6.0,101.0,5.0,1.0,38.82951840318133,,,,,,
