regime,design,maturity,BS_EXPIRY,DH,SH,quotes
calm,A,<=7d,9.05,3.54,4.85,137
calm,A,7-30d,6.98,1.68,2.25,358
calm,A,30-90d,5.16,1.4,1.86,205
calm,A,>90d,3.21,1.52,2.24,107
calm,B,<=7d,11.7,5.0,5.76,97
calm,B,7-30d,9.44,2.57,3.15,334
calm,B,30-90d,8.24,2.06,2.9,225
calm,B,>90d,4.21,1.79,2.26,55
shock,A,<=7d,16.56,10.24,15.7,125
shock,A,7-30d,14.86,3.63,5.44,417
shock,A,30-90d,8.14,2.31,2.61,230
shock,A,>90d,4.51,1.99,3.17,146
shock,B,<=7d,8.68,2.65,3.27,14
shock,B,7-30d,16.58,4.58,6.05,435
shock,B,30-90d,9.36,2.73,3.35,247
shock,B,>90d,6.47,3.04,4.39,102
