regime,design,moneyness,BS_EXPIRY,DH,SH,quotes
calm,A,x<-.15 (OTM call wing),6.97,2.81,3.52,218
calm,A,-.15..-.05,3.49,1.3,1.92,149
calm,A,ATM +-.05,3.12,1.34,2.3,191
calm,A,.05...15,4.89,1.47,2.04,127
calm,A,x>.15 (OTM put wing),12.12,2.53,3.48,122
calm,B,x<-.15 (OTM call wing),6.66,2.61,2.84,175
calm,B,-.15..-.05,3.21,1.77,2.11,127
calm,B,ATM +-.05,3.18,1.87,2.79,157
calm,B,.05...15,5.04,1.96,2.67,108
calm,B,x>.15 (OTM put wing),17.84,4.72,5.74,144
shock,A,x<-.15 (OTM call wing),10.31,6.17,9.18,320
shock,A,-.15..-.05,5.23,2.29,2.98,139
shock,A,ATM +-.05,3.77,1.93,3.39,161
shock,A,.05...15,6.71,2.9,4.24,147
shock,A,x>.15 (OTM put wing),25.45,6.12,9.44,151
shock,B,x<-.15 (OTM call wing),9.97,4.91,6.21,272
shock,B,-.15..-.05,5.01,2.2,3.01,122
shock,B,ATM +-.05,3.72,2.05,3.04,139
shock,B,.05...15,6.3,3.39,3.73,108
shock,B,x>.15 (OTM put wing),26.51,4.39,6.39,157
