instrument,expiry,strike,cp,ts,tau,price_btc,mark_btc,trade_iv,index,k_solved,ratio,forward,k,x,otm,c,c_mark,market_iv,days,vega_w,heldout_A,heldout_B,date
ETH-7MAR25-1900-P,2025-03-07,1900.0,P,1740642400758,0.02194315201674277,0.0037,0.003575,0.9811,2365.07,0.8026482511816767,1.0008853624246792,2368.007248777878,0.8023624087217575,0.2201948919839857,True,0.20133759127824258,0.20121259127824265,0.9823736085636914,8.009250486111112,0.01680397775875965,False,False,2025-02-27
ETH-7MAR25-2000-P,2025-03-07,2000.0,P,1740640835436,0.02199278805175038,0.0055,0.005828,0.8639,2355.45,0.8478673795793501,1.0014474825622879,2358.375301421883,0.8480414456486991,0.16482576979882757,True,0.15745855435130096,0.15778655435130085,0.8630892200088349,8.027367638888888,0.023728914625803055,True,False,2025-02-27
ETH-7MAR25-2100-P,2025-03-07,2100.0,P,1740642252050,0.02194786751648909,0.0095,0.009242,0.8070999999999999,2362.49,0.888027977414848,1.0009737012848803,2365.424044601322,0.8877900792430401,0.1190199611850297,True,0.12170992075695997,0.12145192075695987,0.8083283826144928,8.010971643518518,0.03392216319935967,False,False,2025-02-27
ETH-7MAR25-2200-P,2025-03-07,2200.0,P,1740642748066,0.021932138952308472,0.0165,0.01646,0.7426,2360.71,0.9311073889626428,1.000875982948168,2363.6418339678844,0.9307670766288748,0.07174621922719117,True,0.08573292337112515,0.08569292337112511,0.7446381238884561,8.005230717592593,0.04605714972049769,True,False,2025-02-27
ETH-7MAR25-2250-P,2025-03-07,2250.0,P,1740642341207,0.021945040366565194,0.0215,0.021166,0.7245,2365.46,0.9503049735632961,1.0009304637290348,2368.397733130148,0.9500093538032272,0.051283448327362986,True,0.07149064619677292,0.07115664619677287,0.7264365541277287,8.009939733796296,0.05134507067455676,False,False,2025-02-27
ETH-7MAR25-2300-P,2025-03-07,2300.0,P,1740642336963,0.021945174942922373,0.028,0.028336,0.6948000000000001,2364.08,0.9720036343874843,1.0009163380446187,2367.0160192682692,0.9716875514475874,0.02872097532553977,True,0.056312448552412575,0.05664844855241247,0.6971190349818027,8.009988854166666,0.05597165996437704,True,False,2025-02-27
ETH-7MAR25-2350-P,2025-03-07,2350.0,P,1740642367132,0.021944218290208015,0.037,0.036941,0.6888,2365.12,0.9927108485605141,1.0009028219490894,2368.0573108743224,0.9923746309722312,0.007654590800154607,True,0.0446253690277687,0.04456636902776889,0.6916161547875532,8.009639675925925,0.0586308235328508,False,False,2025-02-27
ETH-7MAR25-2400-C,2025-03-07,2400.0,C,1740641453197,0.021973198978944695,0.033,0.032942,0.6829999999999999,2358.19,1.016467164404925,1.0012420815075862,2361.118704307062,1.0164673193355387,-0.01633320338305001,True,0.033,0.032942,0.6830010967624415,8.020217627314814,0.058775387445040024,True,False,2025-02-27
ETH-7MAR25-2450-C,2025-03-07,2450.0,C,1740642372147,0.021944059265601217,0.0255,0.02548,0.6759000000000001,2365.03,1.0349953442562179,1.0009007947718507,2367.967199100722,1.0346427099709958,-0.03405615936192636,True,0.0255,0.02548,0.6737365687936179,8.009581631944444,0.05664203548293983,False,False,2025-02-27
ETH-7MAR25-2500-C,2025-03-07,2500.0,C,1740642363445,0.021944335204211064,0.019,0.019074,0.6762999999999999,2365.33,1.0559705136326842,1.0009133394233811,2368.267571679391,1.0556239632277675,-0.05413202643878681,True,0.019,0.019074,0.6744681640618327,8.009682349537039,0.05236524854725694,True,False,2025-02-27
ETH-7MAR25-2600-C,2025-03-07,2600.0,C,1740642346420,0.02194487506341958,0.0105,0.010479,0.6927,2364.87,1.0984353644844036,1.000902028149107,2367.807000392098,1.0980624685920144,-0.09354723454004087,True,0.0105,0.010479,0.6911695427046738,8.009879398148147,0.040743285579470954,False,False,2025-02-27
ETH-7MAR25-2700-C,2025-03-07,2700.0,C,1740641829868,0.021961254819888382,0.006,0.005979,0.7217,2364.13,1.1407742292630751,1.0011351468648737,2367.066081364714,1.1406525661688902,-0.13160052509681044,True,0.006,0.005979,0.7212905348675457,8.01585800925926,0.02954925445628875,True,False,2025-02-27
ETH-7MAR25-2750-C,2025-03-07,2750.0,C,1740636114166,0.02214249854134957,0.0043,0.004406,0.7595000000000001,2338.87,1.1739537101671986,1.0015569242089433,2341.77471024076,1.1743230413984913,-0.16069184658658395,True,0.0043,0.004406,0.7606019808526855,8.082011967592592,0.023442161641361276,False,False,2025-02-27
ETH-14MAR25-1800-P,2025-03-14,1800.0,P,1740641559882,0.04114789821156773,0.0046,0.00467,0.8923000000000001,2355.36,0.7620109504974788,1.0028916081988324,2361.515893637758,0.7622222678447529,0.27151707574379524,True,0.24237773215524705,0.24244773215524706,0.8915664101409879,15.018982847222222,0.022798997135897326,False,True,2025-02-27
ETH-14MAR25-2000-P,2025-03-14,2000.0,P,1740641122276,0.041161774606798575,0.0105,0.010318,0.7661,2353.83,0.847464585645675,1.0026130273014782,2359.981894878644,0.8474641285766494,0.16550676678655454,True,0.16303587142335052,0.16285387142335062,0.7661017548890482,15.02404773148148,0.04213944865671594,True,True,2025-02-27
ETH-14MAR25-2100-P,2025-03-14,2100.0,P,1740643033313,0.0411011760210553,0.016,0.015989,0.7177,2359.64,0.888058685931785,1.0021480338394482,2365.8070797090036,0.8876463419233245,0.1191818789178373,True,0.12835365807667554,0.12834265807667555,0.7194303273465423,15.001929247685185,0.05442653126993401,False,True,2025-02-27
ETH-14MAR25-2200-P,2025-03-14,2200.0,P,1740643013519,0.04110180368467783,0.0255,0.025459,0.6838,2360.12,0.9301345868716682,1.0021732394699248,2366.288334221667,0.9297260896667677,0.07286526345653596,True,0.09577391033323235,0.09573291033323217,0.6857564320347991,15.002158344907407,0.0678142377782207,True,True,2025-02-27
ETH-14MAR25-2250-P,2025-03-14,2250.0,P,1740643051883,0.04110058717021817,0.032,0.032197,0.6681999999999999,2359.39,0.9516432147193128,1.002094384221299,2365.5564263169917,0.9511504248930958,0.05008305345295666,True,0.08084957510690427,0.08104657510690427,0.6707609835931024,15.00171431712963,0.07353604478865314,False,True,2025-02-27
ETH-14MAR25-2300-P,2025-03-14,2300.0,P,1740642342559,0.04112307968670726,0.0395,0.039213,0.6672,2365.46,0.9700794104317283,1.002316640418638,2371.6422906750436,0.969792117910559,0.0306735418850986,True,0.06970788208944112,0.06942088208944097,0.6688213804164292,15.00992408564815,0.07747955389628032,True,True,2025-02-27
ETH-14MAR25-2350-P,2025-03-14,2350.0,P,1740643032448,0.04110120345002537,0.05,0.049815,0.6584,2359.67,0.9937922279256286,1.0021229200211657,2365.8371581160454,0.9933058967893391,0.00671660921412804,True,0.05669410321066093,0.05650910321066083,0.6614712972458663,15.00193925925926,0.0803263149884603,False,True,2025-02-27
ETH-14MAR25-2400-C,2025-03-14,2400.0,C,1740641840440,0.041139001775748356,0.0475,0.047019,0.6572,2364.91,1.0123918227083604,1.0024160124470771,2371.090853212617,1.012192340393964,-0.012118612484051541,True,0.0475,0.047019,0.65612207906903,15.01573564814815,0.08089214512280049,True,True,2025-02-27
ETH-14MAR25-2500-C,2025-03-14,2500.0,C,1740642930952,0.04110442186707255,0.0295,0.030307,0.6368,2361.97,1.0561502054455458,1.002166643894292,2368.1431693225554,1.055679416846729,-0.05418455666205792,True,0.0295,0.030307,0.6348559705144232,15.00311398148148,0.07589938004888595,False,True,2025-02-27
