S,tau_days,C_BS,C_SH,C_DH,C_PINN,payoff,BS_minus_DH,SH_minus_DH,PINN_minus_DH
85.0,90.0,0.18872780078041484,0.14928220024160652,0.10269746635929844,0.10310236718202442,0.0,0.0860303344211164,0.04658473388230808,0.00040490082272598427
85.05,90.0,0.1914953726787462,0.1517239753484303,0.10471851844651736,0.10512572988424715,0.0,0.08677685423222883,0.047005456901912934,0.0004072114377297875
85.1,90.0,0.19429641517569074,0.1541988209726619,0.10677237343337945,0.10718184544162793,0.0,0.08752404174231129,0.04742644753928246,0.0004094720082484793
85.15,90.0,0.19713122677697423,0.1567070689763169,0.10885942311786993,0.10927110465614764,0.0,0.0882718036591043,0.04784764585844696,0.00041168153827771115
85.2,90.0,0.20000010726480832,0.15924905284069607,0.11098006152801602,0.11139390057536072,0.0,0.0890200457367923,0.048268991312680046,0.0004138390473446968
85.25,90.0,0.20290335768709095,0.16182510765171199,0.11313468489713534,0.11355062846834586,0.0,0.08976867278995561,0.04869042275457665,0.0004159435712105253
85.3,90.0,0.20584128034639798,0.16443557008496934,0.1153236916387118,0.11574168580110039,0.0,0.09051758870768618,0.04911187844625754,0.00041799416238859355
85.35,90.0,0.20881417878879902,0.16708077839056315,0.11754748232060136,0.11796747221139228,0.0,0.09126669646819766,0.04953329606996179,0.00041998989079092275
85.4,90.0,0.211822357792475,0.16976107237754892,0.11980645963887866,0.12022838948307357,0.0,0.09201589815359633,0.04995461273867026,0.00042192984419490986
85.45,90.0,0.21486612335611224,0.17247679339808833,0.12210102839093682,0.12252484151983668,0.0,0.09276509496517542,0.050375765007151505,0.0004238131288998581
85.5,90.0,0.21794578268718662,0.17522828433142193,0.1244315954482825,0.12485723431847442,0.0,0.09351418723890412,0.05079668888313943,0.0004256388701919245
85.55,90.0,0.22106164418995553,0.1780158895673897,0.12679856972859985,0.12722597594156013,0.0,0.09426307446135568,0.051217319838789854,0.0004274062129602796
85.6,90.0,0.22421401745333155,0.1808399549898396,0.1292023621675428,0.1296314764896358,0.0,0.09501165528578875,0.051637592822296796,0.0004291143220929994
85.65,90.0,0.22740321323854173,0.18370082795954645,0.13164338568980605,0.13207414807285475,0.0,0.09575982754873569,0.052057442269740406,0.00043076238304870507
85.7,90.0,0.23062954346659073,0.18659885729706652,0.13412205517974585,0.1345544047821213,0.0,0.09650748828684488,0.05247680211732067,0.0004323496023754536
85.75,90.0,0.2338933212055461,0.18953439326509217,0.13663878745162195,0.13707266265970405,0.0,0.09725453375392415,0.05289560581347022,0.00043387520808210733
85.8,90.0,0.23719486065764034,0.19250778755070724,0.13919400121916464,0.13962933966933724,0.0,0.0980008594384757,0.0533137863315426,0.000435338450172601
85.85,90.0,0.24053447714617976,0.1955193932472173,0.14178811706478425,0.1422248556658342,0.0,0.0987463600813955,0.053731276182433035,0.0004367386010499519
85.9,90.0,0.24391248710224767,0.19856956483581428,0.14442155740826154,0.1448596323641766,0.0,0.09949092969398612,0.05414800742755274,0.0004380749559150521
85.95,90.0,0.24732920805127476,0.20165865816683962,0.14709474647490528,0.14753409330811423,0.0,0.10023446157636948,0.054563911691934336,0.0004393468332089534
86.0,90.0,0.25078495859935646,0.20478703044092145,0.14980811026331936,0.15024866383829896,0.0,0.1009768483360371,0.054978920177602086,0.0004405535749796019
86.05,90.0,0.25428005841945023,0.20795504018970373,0.15256207651267548,0.15300377105989424,0.0,0.10171798190677475,0.055392963677028256,0.0004416945472187628
86.1,90.0,0.2578148282373554,0.2111630472563434,0.1553570746694871,0.15579984380974207,0.0,0.10245775356786832,0.05580597258685632,0.0004427691402549838
86.15,90.0,0.2613895898175123,0.21441141277581158,0.158193535853991,0.1586373126230188,0.0,0.1031960539635213,0.056217876921820564,0.00044377676902779273
86.2,90.0,0.265004665948634,0.21770049915483794,0.1610718928260359,0.1615166096994726,0.0,0.10393277312259808,0.05662860632880204,0.00044471687343669575
86.25,90.0,0.2686603804291542,0.22103067005154628,0.16399257995055655,0.16443816886915452,0.0,0.10466780047859764,0.05703809010098973,0.00044558891859797223
86.3,90.0,0.27235705805249105,0.22440229035500583,0.16695603316259788,0.16740242555771634,0.0,0.10540102488989317,0.05744625719240795,0.00044639239511845563
86.35,90.0,0.2760950245921392,0.22781572616433873,0.16996268993195446,0.17040981675126748,0.0,0.10613233466018474,0.057853036232384275,0.0004471268193130262
86.4,90.0,0.27987460678658277,0.23127134476767555,0.17301298922726865,0.17346078096076575,0.0,0.10686161755931411,0.0582583555404069,0.00044779173349709933
86.45,90.0,0.2836961323240514,0.23476951462078924,0.176107371479894,0.17655575818600264,0.0,0.10758876084415739,0.05866214314089524,0.00044838670610863884
86.5,90.0,0.28755992982706474,0.23831060532551196,0.17924627854723693,0.17969518987913555,0.0,0.10831365127982781,0.05906432677827503,0.000448911331898616
86.55,90.0,0.2914663288368495,0.24189498760790756,0.18243015367567586,0.18287951890781745,0.0,0.10903617516117362,0.0594648339322317,0.00044936523214159085
86.6,90.0,0.29541565979752177,0.24552303329619113,0.18565944146322333,0.1861091895179044,0.0,0.10975621833429844,0.0598635918329678,0.00044974805468106505
86.65,90.0,0.29940825404019555,0.24919511529831734,0.1889345878216408,0.18938464729576604,0.0,0.11047366621855476,0.06026052747667654,0.0004500594741252417
86.7,90.0,0.3034444437668555,0.2529116075795078,0.1922560399382933,0.1927063391301765,0.0,0.11118840382856218,0.06065556764121452,0.0004502991918832189
86.75,90.0,0.3075245620340179,0.2566728851393265,0.1956242462376381,0.19607471317385114,0.0,0.1119003157963798,0.06104863890168841,0.00045046693621303424
86.8,90.0,0.3116489427363788,0.2604793239887028,0.199039656342228,0.19949021880456305,0.0,0.11260928639415077,0.06143966764647482,0.0004505624623350468
86.85,90.0,0.31581792059010944,0.2643313011265485,0.20250272103354094,0.20295330658590996,0.0,0.11331519955656849,0.06182858009300757,0.000450585552369015
86.9,90.0,0.3200318311161679,0.2682291945163059,0.2060138922123548,0.20646442822770675,0.0,0.11401793890381309,0.06221530230395109,0.0004505360153519433
86.95,90.0,0.32429101062327054,0.27217338306216776,0.20957362285878586,0.21002403654601343,0.0,0.11471738776448467,0.0625997602033819,0.00045041368722756325
87.0,90.0,0.3285957961909095,0.2761642465850711,0.2131823669920348,0.21363258542283042,0.0,0.1154134291988747,0.0629818795930363,0.0004502184307956236
87.05,90.0,0.33294652565202,0.28020216579850316,0.2168405796298527,0.2172905297654296,0.0,0.11610594602216728,0.06336158616865045,0.00044995013557688757
87.1,90.0,0.3373435375755423,0.2842875222841047,0.22054871674759507,0.22099832546538628,0.0,0.11679482082794723,0.06373880553650962,0.0004496087177912056
87.15,90.0,0.3417871712490101,0.28842069846695184,0.22430723523707413,0.22475642935723023,0.0,0.11747993601193596,0.06411346322987771,0.0004491941201560934
87.2,90.0,0.34627776666064,0.29260207759080986,0.22811659286507116,0.2285652991768632,0.0,0.11816117379556881,0.0644854847257387,0.0004487063117920298
87.25,90.0,0.3508156644815977,0.2968320436929708,0.23197724823155957,0.23242539351959396,0.0,0.1188384162500381,0.06485479546141121,0.000448145288034385
87.3,90.0,0.3554012060479392,0.3011109815790355,0.2358896607276894,0.23633717179790364,0.0,0.11951154532024977,0.06522132085134608,0.00044751107021423486
87.35,90.0,0.3600347333424414,0.30543927679739025,0.2398542904934883,0.24030109419897056,0.0,0.1201804428489531,0.06558498630390194,0.00044680370548225157
87.4,90.0,0.3647165889763153,0.3098173156136073,0.24387159837529943,0.24431762164181803,0.0,0.12084499060101589,0.06594571723830789,0.0004460232665186026
87.45,90.0,0.3694471161706761,0.3142454849844925,0.24794204588297453,0.24838721573428832,0.0,0.12150507028770158,0.06630343910151798,0.0004451698513137925
