instrument,expiry,strike,cp,ts,tau,price_usdc,mark_usdc,trade_iv,index,f_solved,ratio,forward,k,x,otm,c,c_mark,market_iv,days,vega_w,heldout_A,heldout_B,date
HYPE_USDC-21AUG26-51-P,2026-08-21,51.0,P,1786565653346,0.023260611808726534,0.324,0.33904315,0.5837,56.27,56.270454532515004,1.0000080777059712,56.26985337224667,0.9063467726246847,0.09833329492835485,True,0.09941119510728391,0.0996785345279233,0.5836574400010566,8.490123310185185,0.031437969177711154,False,False,2026-08-12
HYPE_USDC-21AUG26-52-P,2026-08-21,52.0,P,1786568695355,0.023164150336123797,0.5,0.52967248,0.5737,56.104,56.103943331522636,0.9999989899387323,56.10385380480766,0.9268525506449969,0.07596078686067496,True,0.08205949311120486,0.08258837799143492,0.5736928010400429,8.454914872685185,0.040000379757169476,True,False,2026-08-12
HYPE_USDC-21AUG26-55-P,2026-08-21,55.0,P,1786534212460,0.024257595763571792,1.5,1.57568501,0.5378000000000001,55.749,55.7475882263701,0.9999746762519525,55.7488547298628,0.9865673522175217,0.013523681934645402,True,0.040339030115683516,0.04169663665965173,0.5379565791875758,8.854022453703704,0.060863792286513174,False,False,2026-08-12
HYPE_USDC-21AUG26-58-C,2026-08-21,58.0,C,1786559537978,0.023454528855910706,1.25,1.27395143,0.547,56.486,56.48598704224193,0.9999997706023074,56.48585280939622,1.0268057772928216,-0.02645279650157279,True,0.022129434855448743,0.022553460143352615,0.5470158333280591,8.560903032407408,0.058848571536962505,True,False,2026-08-12
HYPE_USDC-21AUG26-63-C,2026-08-21,63.0,C,1786568838425,0.023159613616184675,0.226,0.24341721,0.5758,56.107,56.10716385881637,1.0000029204701084,56.10685379699029,1.1228574717083757,-0.11587675025581366,True,0.004028028390572903,0.004338457666522329,0.5758207212739416,8.453258969907406,0.02681147945423448,False,False,2026-08-12
HYPE_USDC-28AUG26-48-P,2026-08-28,48.0,P,1786572876829,0.0422096388571791,0.36,0.38283759,0.6271,56.167,56.166710451544425,0.9999948448652131,56.167164886311305,0.854591825974436,0.15713132055650397,True,0.15181761272037242,0.15222421308993395,0.6271224137255721,15.406518182870371,0.03594372260896693,False,True,2026-08-12
HYPE_USDC-28AUG26-52-P,2026-08-28,52.0,P,1786573376443,0.04219379620116692,1.06,1.06286852,0.5969,56.142,56.18871633971401,1.000832110357914,56.14216481292021,0.926220073153165,0.07664341258000118,True,0.09266056679957269,0.09271166066119252,0.5937571537505174,15.400735613425926,0.06461498196731903,True,True,2026-08-12
HYPE_USDC-28AUG26-64-C,2026-08-28,64.0,C,1786531922979,0.043508276921613395,0.52,0.46287519,0.6177,55.5,55.49997228704429,0.9999995006674646,55.50016292823682,1.1531497679160636,-0.14249712696768546,True,0.009369341864318016,0.008340069030040684,0.617689433709109,15.88052107638889,0.04837507514947602,False,True,2026-08-12
HYPE_USDC-28AUG26-70-C,2026-08-28,70.0,C,1786515962351,0.04401438511542364,0.13,0.13204457,0.6557999999999999,54.847,54.847922312700355,1.0000168161011607,54.84716101126135,1.2762738983997264,-0.24394481580602298,True,0.0023702229541709206,0.0024075005445202222,0.6558312970342179,16.065250567129628,0.019591320534649796,True,True,2026-08-12
HYPE_USDC-25SEP26-52-P,2026-09-25,52.0,P,1786546537363,0.11975718661212582,2.81,2.86337868,0.6021,55.845,55.8459280208779,1.0000166177970795,55.845928020877906,0.9311332418105737,0.07135289507036804,True,0.11918376606419001,0.12013958651326628,0.6021000000000069,43.71137311342593,0.12495257512720503,False,False,2026-08-12
