case,model,bucket,price_RMSE,price_MAE,price_P95,price_max,forward_normalized_price_RMSE,IV_RMSE_volatility_points,IV_valid_quotes,quotes
BASE_representative_0,DH_EXACT_TEACHER,short,0.0,0.0,0.0,0.0,0.0,0.0,232,335
BASE_representative_0,DH_EXACT_TEACHER,medium,0.0,0.0,0.0,0.0,0.0,0.0,205,213
BASE_representative_0,DH_EXACT_TEACHER,long,0.0,0.0,0.0,0.0,0.0,0.0,306,306
BASE_representative_0,DH_EXACT_TEACHER,very_long,0.0,0.0,0.0,0.0,0.0,0.0,152,152
BASE_representative_0,DH_EXACT_TEACHER,ATM,0.0,0.0,0.0,0.0,0.0,0.0,49,49
BASE_representative_0,DH_EXACT_TEACHER,wing,0.0,0.0,0.0,0.0,0.0,0.0,548,659
BASE_representative_0,DH_EXACT_TEACHER,K/F_0.70_0.90,0.0,0.0,0.0,0.0,0.0,0.0,313,329
BASE_representative_0,DH_EXACT_TEACHER,K/F_0.90_0.98,0.0,0.0,0.0,0.0,0.0,0.0,132,132
BASE_representative_0,DH_EXACT_TEACHER,K/F_0.98_1.02,0.0,0.0,0.0,0.0,0.0,0.0,66,66
BASE_representative_0,DH_EXACT_TEACHER,K/F_1.02_1.10,0.0,0.0,0.0,0.0,0.0,0.0,132,132
BASE_representative_0,DH_EXACT_TEACHER,K/F_1.10_1.30,0.0,0.0,0.0,0.0,0.0,0.0,252,347
BASE_representative_0,DH_PINN,short,2.6928155843265067e-06,1.2491065542851135e-06,6.5235914068258885e-06,1.2886005864916339e-05,2.6928155843265067e-06,0.28920055431745945,229,335
BASE_representative_0,DH_PINN,medium,4.935004565350107e-06,3.069019371002475e-06,1.1801248838969046e-05,1.6478823217702665e-05,4.935004565350107e-06,0.049447442429436064,205,213
BASE_representative_0,DH_PINN,long,1.1620245864549706e-05,9.199002500779627e-06,2.279649082856383e-05,2.5201723993395486e-05,1.1620245864549706e-05,0.013491604561995668,306,306
BASE_representative_0,DH_PINN,very_long,2.6678012169078304e-05,2.02428761393524e-05,4.9842929148968805e-05,8.556325206210413e-05,2.6678012169078304e-05,0.007967050019083287,152,152
BASE_representative_0,DH_PINN,ATM,1.5102219960195125e-05,1.269671788754193e-05,2.627804876226269e-05,3.3073214232487436e-05,1.5102219960195125e-05,0.006689746100941183,49,49
BASE_representative_0,DH_PINN,wing,1.2259279078522516e-05,6.057755976452285e-06,2.3945964816400603e-05,8.556325206210413e-05,1.2259279078522516e-05,0.18953140754857478,545,659
BASE_representative_0,DH_PINN,K/F_0.70_0.90,1.4372893652810632e-05,7.535218184960392e-06,2.3885058412964616e-05,8.556325206210413e-05,1.4372893652810632e-05,0.248502024782166,310,329
BASE_representative_0,DH_PINN,K/F_0.90_0.98,5.927408477112568e-06,4.339146599388179e-06,1.3096669782733382e-05,1.879090353767987e-05,5.927408477112568e-06,0.015265619428363108,132,132
BASE_representative_0,DH_PINN,K/F_0.98_1.02,1.4628412099041287e-05,1.2469646520955076e-05,2.5152766894173673e-05,3.3073214232487436e-05,1.4628412099041287e-05,0.007177454091908243,66,66
BASE_representative_0,DH_PINN,K/F_1.02_1.10,1.6371157587954858e-05,1.0805608890341022e-05,3.878473228743208e-05,5.0359474214417554e-05,1.6371157587954858e-05,0.020194288985418293,132,132
BASE_representative_0,DH_PINN,K/F_1.10_1.30,1.0044978196829228e-05,4.7918518220458556e-06,2.4110747642487604e-05,4.9420301368147124e-05,1.0044978196829228e-05,0.04400328409984326,252,347
BASE_representative_0,SH_BEST_FOUND,short,0.00020446852350816422,9.703162620274852e-05,0.000522388334351143,0.0008244763294922297,0.00020446852350816422,2.901533015125951,204,335
BASE_representative_0,SH_BEST_FOUND,medium,0.0005378610852544135,0.0003737998366516188,0.0010703600699649256,0.0013022561569476787,0.0005378610852544135,2.5342372030310747,205,213
BASE_representative_0,SH_BEST_FOUND,long,0.0005528751550272097,0.000464609908661732,0.0010600232820572042,0.001264410079356404,0.0005528751550272097,0.8930077358288386,306,306
BASE_representative_0,SH_BEST_FOUND,very_long,0.0006983578578654546,0.0005775055530977295,0.0013854784236129619,0.0018085472313794648,0.0006983578578654546,0.19178991247709987,152,152
BASE_representative_0,SH_BEST_FOUND,ATM,0.00027866999520240296,0.00023025200235500277,0.0004922655791715246,0.0005813951644753068,0.00027866999520240296,0.18949476056282694,49,49
BASE_representative_0,SH_BEST_FOUND,wing,0.00044964032371872827,0.00027947433353714434,0.0009173347443424463,0.0018085472313794648,0.00044964032371872827,2.3196385251942058,520,659
