bucket,model,price_RMSE,price_MAE,price_P95,price_max,forward_normalized_price_RMSE,IV_RMSE_volatility_points,IV_valid_quotes,quotes
all,two_seed_mean,3.3248059599113e-05,2.0982211866776395e-05,6.823835789378826e-05,0.00025513656346010105,3.3248059599113e-05,0.25763597479959793,3784,4096
all,seed_17,3.807233529185983e-05,2.399288384394469e-05,7.68824305601958e-05,0.0003404168193032256,3.807233529185983e-05,0.25333497803955335,3784,4096
all,seed_43,3.99155342231664e-05,2.503503179800226e-05,8.315783348808448e-05,0.000393647501253494,3.99155342231664e-05,0.2864730726147926,3783,4096
maturity 7-14d,two_seed_mean,2.302885969934319e-05,8.86360248599809e-06,5.92043352407607e-05,0.00016464109712902453,2.302885969934319e-05,0.580650844980976,425,611
maturity 7-14d,seed_17,2.4169287995414458e-05,9.652027571148818e-06,6.330067856261459e-05,0.00017060890539846892,2.4169287995414458e-05,0.5741520058632668,425,611
maturity 7-14d,seed_43,3.1014165001029934e-05,1.1620822214238528e-05,7.13467926816199e-05,0.0001881448583562961,3.1014165001029934e-05,0.6467208229019263,425,611
maturity 14-30d,two_seed_mean,2.904432502506897e-05,1.5350607949620503e-05,7.114680650844914e-05,0.00016150654729363279,2.904432502506897e-05,0.310272026326196,568,672
maturity 14-30d,seed_17,3.198947361641192e-05,1.696584916045546e-05,7.265125798800981e-05,0.0001657127964812266,3.198947361641192e-05,0.3065038571032215,568,672
maturity 14-30d,seed_43,3.727573408563262e-05,1.7624995991962532e-05,8.114662547568257e-05,0.000393647501253494,3.727573408563262e-05,0.34740896497946905,567,672
maturity 30-90d,two_seed_mean,3.385358805642329e-05,2.2016511830265976e-05,6.801570798277007e-05,0.0001860306790381263,3.385358805642329e-05,0.23018594621683075,946,968
maturity 30-90d,seed_17,3.644416676475286e-05,2.4092953000356902e-05,7.691923007565654e-05,0.0002217913254860815,3.644416676475286e-05,0.22061738925256794,946,968
maturity 30-90d,seed_43,4.0261028215217265e-05,2.5190958172848784e-05,9.028170629343105e-05,0.00022039828768705052,4.0261028215217265e-05,0.25252239927238734,946,968
maturity 90-365d,two_seed_mean,3.248340888850646e-05,2.421424509201874e-05,6.577151454494344e-05,0.0001957056734895185,3.248340888850646e-05,0.04891550494538602,1234,1234
maturity 90-365d,seed_17,3.7717875947259386e-05,2.856209214904475e-05,7.237093931329318e-05,0.0002022453605806454,3.7717875947259386e-05,0.0506057644663841,1234,1234
maturity 90-365d,seed_43,3.831254816500823e-05,2.8785339645573933e-05,7.33673654635177e-05,0.0002056928804545083,3.831254816500823e-05,0.05561098448679733,1234,1234
maturity 365-731d,two_seed_mean,4.478481943864024e-05,3.112849140749216e-05,9.217815440174925e-05,0.00025513656346010105,4.478481943864024e-05,0.01396998579115508,611,611
maturity 365-731d,seed_17,5.504585590032874e-05,3.6675634249971794e-05,0.00011529680725498592,0.0003404168193032256,5.504585590032874e-05,0.01744306071222008,611,611
maturity 365-731d,seed_43,5.155684922819257e-05,3.8777764208122454e-05,0.00010096074141583561,0.00025703441180211645,5.155684922819257e-05,0.014596382260533804,611,611
K/F 0-0.9,two_seed_mean,2.753183858509232e-05,1.653865333587059e-05,5.927322556854574e-05,0.00025513656346010105,2.753183858509232e-05,0.18722237826879845,1381,1449
K/F 0-0.9,seed_17,3.0395976263454412e-05,1.8060910354105602e-05,6.471464323012376e-05,0.0002550697580455674,3.0395976263454412e-05,0.2074641906944878,1381,1449
K/F 0-0.9,seed_43,3.317560424332838e-05,2.0272661327459075e-05,7.487519350859991e-05,0.0002552033688746347,3.317560424332838e-05,0.20826765713064724,1380,1449
K/F 0.9-0.98,two_seed_mean,3.141689406799319e-05,2.3429261031451813e-05,6.371881120348081e-05,0.00016150654729363279,3.141689406799319e-05,0.05993727939712437,484,484
K/F 0.9-0.98,seed_17,3.889039260172245e-05,2.960666410752574e-05,7.590973927589714e-05,0.00016755056994385842,3.889039260172245e-05,0.07381108723092342,484,484
K/F 0.9-0.98,seed_43,4.360261335928855e-05,2.899751326038415e-05,8.427415298834637e-05,0.000393647501253494,4.360261335928855e-05,0.07672959766207232,484,484
K/F 0.98-1.02,two_seed_mean,3.385386357909958e-05,2.751453701518217e-05,6.426649563427448e-05,9.738753900799622e-05,3.385386357909958e-05,0.03670563612358412,228,228
K/F 0.98-1.02,seed_17,4.483967839926512e-05,3.5031138537139657e-05,8.496454883700707e-05,0.0002217913254860815,4.483967839926512e-05,0.04524644586872208,228,228
K/F 0.98-1.02,seed_43,4.8787783604220166e-05,3.584845765542054e-05,9.592103968371648e-05,0.0001881448583562961,4.8787783604220166e-05,0.06176110995896626,228,228
K/F 1.02-1.1,two_seed_mean,4.3173639171195844e-05,3.2641659275948295e-05,8.574318727348267e-05,0.00016464109712902453,4.3173639171195844e-05,0.14597169905381138,427,429
K/F 1.02-1.1,seed_17,4.314216599150694e-05,3.243246968461896e-05,8.857372351219877e-05,0.0001748365535940398,4.314216599150694e-05,0.13797427734481388,427,429
K/F 1.02-1.1,seed_43,5.2321374360142694e-05,3.881010843792379e-05,0.00010500751640902349,0.0002056928804545083,5.2321374360142694e-05,0.1626359053006808,427,429
K/F 1.1-9,two_seed_mean,3.543361412905302e-05,2.0160878163727486e-05,7.563397426465373e-05,0.0002462204206231666,3.543361412905302e-05,0.3893523914250048,1264,1506
K/F 1.1-9,seed_17,4.162603881287413e-05,2.382094197376269e-05,8.759215240698162e-05,0.0003404168193032256,4.162603881287413e-05,0.3690769655533313,1264,1506
K/F 1.1-9,seed_43,3.902770721600164e-05,2.2782617993225715e-05,8.034743030809616e-05,0.00025703441180211645,3.902770721600164e-05,0.4317201069553632,1264,1506
ATM |K/F-1|<=.02,two_seed_mean,3.385386357909958e-05,2.751453701518217e-05,6.426649563427448e-05,9.738753900799622e-05,3.385386357909958e-05,0.03670563612358412,228,228
ATM |K/F-1|<=.02,seed_17,4.483967839926512e-05,3.5031138537139657e-05,8.496454883700707e-05,0.0002217913254860815,4.483967839926512e-05,0.04524644586872208,228,228
ATM |K/F-1|<=.02,seed_43,4.8787783604220166e-05,3.584845765542054e-05,9.592103968371648e-05,0.0001881448583562961,4.8787783604220166e-05,0.06176110995896626,228,228
wing K/F<.9 or >1.1,two_seed_mean,3.180519094962076e-05,1.8384700913113393e-05,6.74354744816738e-05,0.00025513656346010105,3.180519094962076e-05,0.301241008592083,2645,2955
wing K/F<.9 or >1.1,seed_17,3.655300209886523e-05,2.099647976838769e-05,7.41082209459925e-05,0.0003404168193032256,3.655300209886523e-05,0.2959202541566968,2645,2955
wing K/F<.9 or >1.1,seed_43,3.627625386271627e-05,2.155184736422542e-05,7.813344336391408e-05,0.00025703441180211645,3.627625386271627e-05,0.33427798342543236,2644,2955
fast-heavy v_fast>v_slow,two_seed_mean,3.14558292437809e-05,1.9488359564544938e-05,6.560986088823701e-05,0.0002462204206231666,3.14558292437809e-05,0.2768145719209373,2412,2640
fast-heavy v_fast>v_slow,seed_17,3.762270676900474e-05,2.321663386851975e-05,7.4303301431738e-05,0.0003404168193032256,3.762270676900474e-05,0.2743490465256012,2412,2640
fast-heavy v_fast>v_slow,seed_43,3.767245464460757e-05,2.312991801424409e-05,7.891588771108887e-05,0.000393647501253494,3.767245464460757e-05,0.30182172943306224,2412,2640
slow-heavy v_slow>=v_fast,two_seed_mean,3.627255655403654e-05,2.3690845162031233e-05,7.42802510407428e-05,0.00025513656346010105,3.627255655403654e-05,0.21990133153814845,1372,1456
slow-heavy v_slow>=v_fast,seed_17,3.8874334631672626e-05,2.5400370063121793e-05,8.130641318712141e-05,0.0002550697580455674,3.8874334631672626e-05,0.21138667747724726,1372,1456
slow-heavy v_slow>=v_fast,seed_43,4.3689926905958076e-05,2.8489358988333002e-05,9.112471110231065e-05,0.00025703441180211645,4.3689926905958076e-05,0.25725699667920005,1371,1456
