case,days,DH_EXACT_TEACHER_ATM,DH_EXACT_TEACHER_slope,SH_BEST_FOUND_ATM,SH_BEST_FOUND_slope,DH_PINN_ATM,DH_PINN_slope,SH_ATM_err_volpts,PINN_ATM_err_volpts,SH_slope_err,PINN_slope_err
SMIRK_WEIGHTS rep 0,7.0,16.847778534038575,-4.17154960232212,17.132352760539817,-10.256137978260362,16.84379832009617,-5.203743579103701,0.28457422650124187,-0.003980213942405442,-6.084588375938242,-1.0321939767815813
SMIRK_WEIGHTS rep 0,29.9,18.831569150891916,-6.224478558699982,18.808287752961515,-8.22984246861985,18.829258807514485,-6.3630762258464735,-0.023281397930400516,-0.002310343377430968,-2.0053639099198683,-0.1385976671464917
SMIRK_WEIGHTS rep 0,95.6,21.283629455294744,-5.580892789558192,21.204688232246337,-5.015084048505756,21.283695156092026,-5.507407195575702,-0.07894122304840678,6.570079728263067e-05,0.565808741052436,0.07348559398248966
SMIRK_WEIGHTS rep 0,170.9,22.26271798496485,-3.9557510159784393,22.267281083623963,-3.417953354090777,22.263342752243133,-3.9107150520555223,0.004563098659112086,0.0006247672782819791,0.5377976618876623,0.04503596392291698
SMIRK_WEIGHTS rep 0,353.2,23.05775517292065,-1.9045604866947663,23.10479174779218,-1.890168779235868,23.061583087143607,-1.9007098728707739,0.047036574871530235,0.0038279142229562524,0.014391707458898395,0.0038506138239924326
SMIRK_WEIGHTS rep 0,730.0,23.548250201066068,-0.6770213040172024,23.526702834299996,-0.9680687062457416,23.546169592885597,-0.6480009956926125,-0.02154736676607172,-0.0020806081804707333,-0.2910474022285392,0.029020308324589905
SMIRK_WEIGHTS rep 1,7.0,16.545734839604958,-19.280555195224867,17.250977863476983,-10.19907988688118,16.540355839175618,-18.963112628789087,0.7052430238720255,-0.005379000429339698,9.081475308343688,0.31744256643577984
SMIRK_WEIGHTS rep 1,29.9,17.941675190806983,-15.64349244366623,18.06943689956071,-8.928206147694073,17.949873028524443,-15.485915378574475,0.12776170875372728,0.008197837717460743,6.715286295972156,0.15757706509175406
SMIRK_WEIGHTS rep 1,95.6,19.87276187829663,-9.69096613365668,19.67939751435732,-6.458636606574313,19.878031009160445,-9.69548702695569,-0.19336436393930967,0.005269130863815974,3.232329527082367,-0.004520893299009288
SMIRK_WEIGHTS rep 1,170.9,20.79184770445598,-6.276473052377671,20.734732669650263,-4.876752845711465,20.79111076455786,-6.315559991098354,-0.057115034805715226,-0.000736939898118294,1.3997202066662062,-0.039086938720682696
SMIRK_WEIGHTS rep 1,353.2,21.774497351927245,-2.9099977134935884,21.87894302984016,-3.0361311830125537,21.77639500940498,-2.904589560016344,0.10444567791291348,0.0018976574777340716,-0.1261334695189653,0.005408153477244326
SMIRK_WEIGHTS rep 1,730.0,22.651835792506876,-1.0453969766687266,22.57189505258683,-1.6713252361394737,22.650684518295353,-1.0113436633904627,-0.07994073992004758,-0.0011512742115229457,-0.6259282594707472,0.034053313278263886
SMIRK_WEIGHTS rep 2,7.0,16.269805508039354,-37.558453612503946,16.533990465519356,-10.365602813274357,16.272587724915514,-37.76298283198956,0.26418495748000126,0.002782216876159538,27.19285079922959,-0.20452921948561453
SMIRK_WEIGHTS rep 2,29.9,17.05431894604567,-28.796517536979376,17.038013134036646,-9.503052720190901,17.05152628005674,-28.83878689386382,-0.016305812009022702,-0.0027926659889274674,19.293464816788475,-0.042269356884443
SMIRK_WEIGHTS rep 2,95.6,18.380201992816218,-15.923811629022246,18.19755925093804,-7.648999582113287,18.38887640196036,-15.939173174813082,-0.18264274187817975,0.008674409144141748,8.27481204690896,-0.015361545790835152
SMIRK_WEIGHTS rep 2,170.9,19.22481403067959,-9.739261801538674,19.150658000781476,-6.255337964495933,19.228939925683367,-9.788637149982513,-0.07415602989811276,0.004125895003777913,3.4839238370427417,-0.04937534844383862
SMIRK_WEIGHTS rep 2,353.2,20.41854198045295,-4.306819293600768,20.518099773781604,-4.360215471165176,20.42199437092233,-4.275957562751014,0.09955779332865333,0.0034523904693806173,-0.05339617756440873,0.030861730849753854
SMIRK_WEIGHTS rep 2,730.0,21.721183609414254,-1.505647585739247,21.64857796881208,-2.667711926656935,21.720628460831797,-1.4954619259755297,-0.07260564060217334,-0.0005551485824568658,-1.1620643409176878,0.010185659763717325
FIXED_TOTAL_TWIST rep 0,7.0,19.941191975705024,-31.29704329938411,19.095786947988497,-7.372407688618008,19.947599058176614,-31.284383315401776,-0.8454050277165273,0.006407082471589831,23.924635610766103,0.012659983982334921
FIXED_TOTAL_TWIST rep 0,29.9,19.842489992643113,-25.124471002691617,19.308984875525248,-7.012130105577388,19.83572978034585,-25.20169225903759,-0.5335051171178655,-0.0067602122972623135,18.11234089711423,-0.07722125634597177
FIXED_TOTAL_TWIST rep 0,95.6,19.967861159696028,-14.477545904422033,19.8430011445768,-6.124943125179492,19.976269752858947,-14.490477763287632,-0.1248600151192285,0.008408593162918976,8.352602779242542,-0.01293185886559911
FIXED_TOTAL_TWIST rep 0,170.9,20.31075966899917,-8.903222578837102,20.33761309073734,-5.326495746381301,20.314870107968975,-8.978088050157123,0.02685342173816707,0.004110438969803454,3.576726832455801,-0.0748654713200203
FIXED_TOTAL_TWIST rep 0,353.2,21.07882730754579,-3.968867324187002,21.170056882970968,-4.02115404619197,21.08167452954321,-3.9510776162850547,0.09122957542517796,0.0028472219974204904,-0.05228672200496831,0.017789707901947338
FIXED_TOTAL_TWIST rep 0,730.0,22.098874099880312,-1.402714099916107,22.028026445359796,-2.6392778149420693,22.09837898235359,-1.393252852376552,-0.07084765452051656,-0.0004951175267216001,-1.2365637150259623,0.009461247539555018
FIXED_TOTAL_TWIST rep 1,7.0,20.623889569578214,-2.8802385896119453,20.125273747910907,-10.401378186646095,20.622700014598635,-3.6612029494890663,-0.49861582166730756,-0.001189554979578844,-7.52113959703415,-0.780964359877121
FIXED_TOTAL_TWIST rep 1,29.9,22.06835509445185,-3.955212641729826,22.20059608105616,-7.058137588581044,22.066777372396746,-3.891690169405617,0.13224098660430883,-0.0015777220551029814,-3.1029249468512177,0.06352247232420893
FIXED_TOTAL_TWIST rep 1,95.6,23.842025476709242,-3.573728101360736,23.91703663833526,-3.3695885676506165,23.839170800130667,-3.513203348229812,0.07501116162601917,-0.0028546765785755213,0.20413953371011928,0.06052475313092387
FIXED_TOTAL_TWIST rep 1,170.9,24.46263414362789,-2.519478734869036,24.380798123225684,-2.0526582009198435,24.462285007109376,-2.487629006337322,-0.08183602040220705,-0.00034913651851553595,0.46682053394919265,0.031849728531714305
FIXED_TOTAL_TWIST rep 1,353.2,24.768380849073694,-1.152075931095915,24.692544541834263,-1.0430294982338317,24.771878076031996,-1.1622549868497956,-0.07583630723943102,0.0034972269583022353,0.10904643286208326,-0.010179055753880561
FIXED_TOTAL_TWIST rep 1,730.0,24.701863510866435,-0.3586359363292857,24.8449103896493,-0.515570600244839,24.698866390292668,-0.3348602356770236,0.14304687878286515,-0.002997120573766665,-0.15693466391555333,0.02377570065226209
BASE rep 0,7.0,16.213408549879503,-44.53012440839844,16.271928039144612,-10.617912284895858,16.22627470850683,-44.10803113220469,0.05851948926510886,0.01286615862732532,33.912212123502584,0.42209327619375614
BASE rep 0,29.9,16.863335908784478,-33.124434635754874,16.74618420478274,-9.786348143485446,16.863496091386494,-33.1519122230706,-0.11715170400173847,0.00016018260201633439,23.338086492269426,-0.02747758731572958
BASE rep 0,95.6,18.0415964696808,-17.75776762770949,17.858221179027627,-7.98276458297293,18.05100740870455,-17.64993882906147,-0.18337529065317426,0.009410939023748455,9.775003044736561,0.10782879864802197
BASE rep 0,170.9,18.865798521422413,-10.728102489710878,18.799210033070068,-6.603520471826663,18.87245584719498,-10.73295406662563,-0.06658848835234465,0.006657325772568612,4.124582017884215,-0.004851576914752798
BASE rep 0,353.2,20.10882703374291,-4.685835730951471,20.207163060656875,-4.688036383961656,20.114702446678656,-4.640121709393732,0.09833602691396592,0.005875412935747448,-0.0022006530101847943,0.04571402155773896
BASE rep 0,730.0,21.51096379772781,-1.622272797691089,21.443486915357703,-2.9299543171655706,21.510542314742434,-1.614495038165451,-0.06747688237010863,-0.0004214829853772528,-1.3076815194744817,0.007777759525637862
