case,family,long_SSE,medium_SSE,short_SSE,very_long_SSE,share_short_le30d,share_long_gt90d,long_RMSE,medium_RMSE,short_RMSE,very_long_RMSE
BASE_random_00,BASE,9.480422211356999e-05,6.271441437866197e-05,1.4266768874091179e-05,7.545971136503054e-05,0.057702934895951304,0.6886442722490747,0.0005566127193349,0.0005426176096685,0.0002063670753134,0.0007045888655853
BASE_random_01,BASE,0.0001699904836274245,0.00014484333066247025,3.483098887262908e-05,0.00017138487211312896,0.06684773165668381,0.6551685413870652,0.0007453351301923,0.0008246306063402,0.00032244860228,0.0010618531223177
BASE_random_02,BASE,0.00011710181916003347,8.334528946251392e-05,1.9254705344786402e-05,0.00010032222240313652,0.0601664348814616,0.679399097733624,0.000618615941865,0.0006255337231446,0.0002397430548994,0.0008124128390623
BASE_random_03,BASE,0.00021681356328309375,0.0002201603430483225,5.521234464704085e-05,0.0002512499402212056,0.07426642030696164,0.6295947238578714,0.0008417488084225,0.0010166693828525,0.0004059716358265,0.0012856749717694
BASE_random_04,BASE,0.00018114377345724642,0.00016065128042121627,3.8990373729315925e-05,0.00018878535821089667,0.06845571209076837,0.6494875454969548,0.0007693978917786,0.000868464946604,0.0003411585779537,0.0011144545462234
BASE_random_05,BASE,0.00021853306261454064,0.00022342859678224075,5.613120610724146e-05,0.00025455320799854924,0.07457848792862883,0.6285640585507859,0.0008450800762896,0.0010241877504996,0.0004093358512592,0.0012940989753049
BASE_random_06,BASE,0.0001368440798840699,0.00010401619498525607,2.4376122739268424e-05,0.0001247792840465249,0.06250036571817538,0.6708021657496878,0.0006687322898127,0.0006988125239238,0.0002697490416857,0.0009060443379942
BASE_random_07,BASE,0.00022532302844990932,0.0002367419243073722,5.9907456124193314e-05,0.0002678859432249331,0.07584582218372582,0.6244271145067266,0.0008581082485189,0.0010542601355301,0.0004228808664818,0.0013275569747535
FAST_SHOCK_random_00,FAST_SHOCK,0.00021170308330046027,0.00017443504615952162,0.00013593093077847888,0.00012345531846791067,0.2105744341536473,0.5192033218637339,0.000831769283819,0.0009049551804831,0.0006369960537343,0.0009012247458609
FAST_SHOCK_random_01,FAST_SHOCK,0.00021904454250808747,0.00019311581195540785,6.849352230866745e-05,0.00018256993857820565,0.10327361702547373,0.6055489440983477,0.0008460684595597,0.0009521801323728,0.0004521706265872,0.0010959552987973
FAST_SHOCK_random_02,FAST_SHOCK,0.00024808793598274945,0.0002162378985284648,0.0002205755312708227,0.00017550316418729397,0.256362587117812,0.4923162133806319,0.0009004137320324,0.0010075720329297,0.0008114397215468,0.0010745352856838
FAST_SHOCK_random_03,FAST_SHOCK,0.00010461842649378165,7.135148812191821e-05,1.8441315932298675e-05,7.5890755408804e-05,0.06822486289555348,0.6678056073603289,0.0005847138468169,0.000578777601769,0.0002346246028777,0.0007065983905899
FAST_SHOCK_random_04,FAST_SHOCK,0.0003938129133509834,0.00037855706076703785,0.00036382979855565485,0.0002741929771585874,0.25796346343876536,0.47363111487138315,0.0011344471363041,0.0013331403512344,0.0010421415931466,0.0013430938781474
FAST_SHOCK_random_05,FAST_SHOCK,0.0002073875524505789,0.00018404601558814153,5.715872413812655e-05,0.00018244439519941448,0.0905790824552252,0.6177643161617836,0.0008232478967551,0.0009295513976555,0.0004130654392814,0.0010955784196854
FAST_SHOCK_random_06,FAST_SHOCK,0.0004668326184317588,0.00048445347900568384,0.00038205269203905526,0.0003445168036266104,0.22770296419399735,0.4835633205822081,0.0012351505140106,0.0015081211751381,0.0010679212504354,0.0015055091891437
FAST_SHOCK_random_07,FAST_SHOCK,0.00043496772601709196,0.00043011245729514475,0.0003926258785448247,0.000302973300698,0.2515736979452579,0.47283320611542784,0.0011922512977215,0.0014210233324069,0.0010825975927809,0.0014118234306488
FIXED_TOTAL_TWIST_random_00,FIXED_TOTAL_TWIST,8.212796096065871e-05,0.00010059762227293865,2.8801916259419263e-05,0.00012271188069841183,0.08617152246669313,0.6128537024624475,0.0005180656611697,0.0006872330801451,0.0002932164208074,0.0008985070976875
FIXED_TOTAL_TWIST_random_01,FIXED_TOTAL_TWIST,2.555299652880105e-06,5.25980981943504e-07,2.84034800711475e-07,3.4693293020718464e-06,0.04155809286598361,0.8814838497459934,9.138190444717433e-05,4.96930003262522e-05,2.911812282326372e-05,0.0001510779099738
