type,bucket,n,price_RMSE,price_MAE,price_P95,price_max,IV_RMSE_vol_points,IV_valid
maturity,7-30d,2566,7.400091779783164e-06,3.2372235703942725e-06,1.6883077856398934e-05,7.894290585339775e-05,0.19311967248830605,2010
maturity,30-90d,1936,9.363101724104363e-06,5.90289725675224e-06,2.0944016889294387e-05,4.682129469250895e-05,0.050863773197492516,1879
maturity,90-365d,2468,1.1491794715727093e-05,8.852972611649349e-06,2.274067241352703e-05,6.76053344508265e-05,0.01640060124088492,2468
maturity,365-730d,1222,1.6847425278016673e-05,1.2883174471720671e-05,3.255312496976417e-05,0.00010918580178487236,0.005072219897957291,1222
moneyness,K/F<0.90,2897,9.676048570513822e-06,5.739196944581326e-06,1.889509809064327e-05,0.00010918580178487236,0.1518729750069824,2776
moneyness,0.90-0.98,970,1.148382245339096e-05,8.538438458872293e-06,2.2714037721334455e-05,7.894290585339775e-05,0.029162898128628656,970
moneyness,0.98-1.02,455,1.3451569061250227e-05,1.0554132128862185e-05,2.6695005080466434e-05,4.2577960303213924e-05,0.012249225684412163,455
moneyness,1.02-1.10,858,1.4852795843303408e-05,1.1129542977525497e-05,3.069373453562523e-05,5.720509761449055e-05,0.0337256697981664,851
moneyness,K/F>=1.10,3012,1.0181803949152023e-05,5.9983677071015574e-06,2.27050410239805e-05,5.403743649419479e-05,0.07608631940789481,2527
state allocation,fast-heavy (v_fast>v_slow),5292,1.0506992438878886e-05,6.542267094030742e-06,2.2502991173784696e-05,8.073858365009734e-05,0.11468172389316841,4823
state allocation,slow-heavy (v_slow>=v_fast),2900,1.172672446802143e-05,7.829456178995382e-06,2.3734770365286682e-05,0.00010918580178487236,0.07874249931567867,2756
