family,kind,surfaces,n,price_RMSE,price_MAE,price_P95,price_max,IV_RMSE_vol_points,IV_valid
BASE,independent,8,8048,9.922325038917845e-06,6.0532191374192154e-06,2.0548796663680253e-05,8.510535512162853e-05,0.16430679409374177,7573
BASE,representative,1,1006,1.2497185676671884e-05,6.922429185019056e-06,2.521040688951634e-05,8.556325206210413e-05,0.1486830978420857,892
FAST_SHOCK,independent,8,8048,1.147896211419014e-05,7.292098207428566e-06,2.3108175130456127e-05,8.579187046575676e-05,0.15263883061633363,7684
FAST_SHOCK,representative,2,2012,1.3780427513417425e-05,8.42289338667371e-06,2.8358098484662935e-05,8.447827524776796e-05,0.15736040459572376,1881
FIXED_TOTAL_TWIST,independent,8,8048,1.0703287749222566e-05,7.565221262943022e-06,2.3094727001014832e-05,4.0381042320500327e-05,0.06851853847849713,7914
FIXED_TOTAL_TWIST,representative,2,2012,9.725489829364452e-06,6.151819015162392e-06,2.1780902421643097e-05,5.8496584298239895e-05,0.08089345366252197,1895
SLOW_SHOCK,independent,8,8048,1.0120637443965422e-05,6.725298323111121e-06,2.293317811338791e-05,6.0611559645540325e-05,0.08204915408146822,7809
SLOW_SHOCK,representative,2,2012,1.1302984457895597e-05,6.97890950781008e-06,2.6435388198592876e-05,5.9091522487286774e-05,0.07609650286655041,1866
SMIRK_WEIGHTS,independent,8,8048,1.0367741524877147e-05,7.138168583351779e-06,2.2147507732967828e-05,5.172616275139763e-05,0.07108817126494812,7808
SMIRK_WEIGHTS,representative,3,3018,1.010865833391727e-05,6.1531294672247905e-06,2.198366800028051e-05,7.406883474453396e-05,0.07841311377867188,2761
