case,family,kind,best_MSE,near_best_starts_of_12,best_at_bound,failed_starts,kappa,theta,sigma,rho,v0
BASE_representative_0,BASE,representative,2.4087998189582703e-07,12,False,0,2.0944566670364657,0.05347965768337557,0.14851449545691314,-0.4872385679583658,0.025973480656790386
FAST_SHOCK_representative_0,FAST_SHOCK,representative,4.06780018819973e-07,12,False,0,1.2639346054046319,0.055897823056686224,0.1244434672025138,-0.4636862425304587,0.033868968714646036
FAST_SHOCK_representative_1,FAST_SHOCK,representative,8.860437652655071e-07,12,False,0,22.81812495096961,0.04620225042258997,1.0645098722759012,-0.47943363680468504,0.0509502742365122
SLOW_SHOCK_representative_0,SLOW_SHOCK,representative,1.6924149231573999e-07,12,False,0,2.349532536957016,0.0539973120025735,0.1680044143482573,-0.4005315617609204,0.03067961056863914
SLOW_SHOCK_representative_1,SLOW_SHOCK,representative,1.1612204308256508e-07,12,False,0,2.802636530668877,0.05464653771486625,0.1927407640126661,-0.33608995868357877,0.03560253565535814
FIXED_TOTAL_TWIST_representative_0,FIXED_TOTAL_TWIST,representative,2.505878758953747e-07,12,False,0,1.6957883613359608,0.0550271023501005,0.14789137444614586,-0.38981764907359334,0.03620483315674518
FIXED_TOTAL_TWIST_representative_1,FIXED_TOTAL_TWIST,representative,4.555480641230691e-08,12,False,0,21.15236429445866,0.06260964168195735,0.5950705603610261,-0.18653091869047142,0.03622193043528271
SMIRK_WEIGHTS_representative_0,SMIRK_WEIGHTS,representative,1.0578523774573969e-08,12,False,0,8.978884737556541,0.05753090073499997,0.393268359015396,-0.2219424467095587,0.027093439230988968
SMIRK_WEIGHTS_representative_1,SMIRK_WEIGHTS,representative,6.576334954119642e-08,12,False,0,4.5159586917150385,0.054543802401191485,0.2541029016981584,-0.30785084581766775,0.028779292666426835
SMIRK_WEIGHTS_representative_2,SMIRK_WEIGHTS,representative,1.9191431366530926e-07,12,False,0,2.3674697925916885,0.05343266150573856,0.1626811760975779,-0.44424970470749403,0.02678938512885809
