map,held_out_cells,fraction_A_positive,mean_A,mean_SH_abs_error,mean_PINN_abs_error
BASE_representative_0,1006,0.915506958250497,0.0003331137896082527,0.00034003621879327185,6.922429185019056e-06
FAST_SHOCK_representative_1,1006,0.9870775347912525,0.0005989575332186855,0.0006079708080765972,9.013274857911799e-06
SLOW_SHOCK_representative_1,1006,0.94831013916501,0.00023554884551590325,0.00024225823792472107,6.709392408817816e-06
FIXED_TOTAL_TWIST_representative_0,1006,0.9473161033797217,0.00034910675129731956,0.0003563248910412351,7.218139743915534e-06
FIXED_TOTAL_TWIST_representative_1,1006,0.9652087475149106,0.00013947985208783876,0.00014456535037424802,5.085498286409249e-06
SMIRK_WEIGHTS_representative_1,1006,0.9383697813121272,0.0001688483133019113,0.0001742714139912185,5.423100689307162e-06
BASE mean of 8 independent surfaces,1006,0.9860834990059643,0.0005249452051434561,0.0005309984242808753,6.053219137419214e-06
FAST_SHOCK mean of 8 independent surfaces,1006,0.9960238568588469,0.0006866291055937675,0.0006939212038011961,7.292098207428566e-06
SLOW_SHOCK mean of 8 independent surfaces,1006,1.0,0.0004270571473131106,0.0004337824456362216,6.725298323111121e-06
FIXED_TOTAL_TWIST mean of 8 independent surfaces,1006,1.0,0.00023039615025609238,0.0002379613715190354,7.5652212629430215e-06
SMIRK_WEIGHTS mean of 8 independent surfaces,1006,0.9980119284294234,0.00021436274197982744,0.00022150091056317926,7.13816858335178e-06
