family,comparison,surfaces,mean,median,win_fraction,bootstrap95,ratio_of_means
BASE,BS minus SH (positive favours SH),8,0.0008622330830891499,0.0008828744281644499,1.0,"[0.00075699, 0.00095912]",2.1964569909455074
BASE,SH minus PINN (positive favours PINN),8,0.0007108041149337115,0.0007272764320172581,1.0,"[0.00061337, 0.00080364]",73.15410391151364
FAST_SHOCK,BS minus SH (positive favours SH),8,0.000534082277949125,0.0005158071533254999,1.0,"[0.00041377, 0.00065796]",1.5644785444452756
FAST_SHOCK,SH minus PINN (positive favours PINN),8,0.000934831964377926,0.0008566161299218011,1.0,"[0.00075804, 0.00110742]",83.58498788696885
FIXED_TOTAL_TWIST,BS minus SH (positive favours SH),8,0.0005275445448249053,0.0005731703649694,1.0,"[0.00038177, 0.00066067]",2.6489107025148373
FIXED_TOTAL_TWIST,SH minus PINN (positive favours PINN),8,0.0003093570966419383,0.00023525566688470918,1.0,"[0.00016786, 0.00046438]",30.245095107781584
SLOW_SHOCK,BS minus SH (positive favours SH),8,0.000762096277519225,0.00075047140709005,1.0,"[0.0007043, 0.00081762]",2.308828431975133
SLOW_SHOCK,SH minus PINN (positive favours PINN),8,0.0005722186417005165,0.0005813483998135633,1.0,"[0.00051837, 0.00061753]",57.90895158542595
SMIRK_WEIGHTS,BS minus SH (positive favours SH),8,0.0005848402725759775,0.0005384233534089,1.0,"[0.00045335, 0.00072277]",2.939738818634155
SMIRK_WEIGHTS,SH minus PINN (positive favours PINN),8,0.0002912467427860626,0.00021788217652566813,1.0,"[0.00013737, 0.0004721]",29.39241492001674
ALL 40,BS minus SH (positive favours SH),40,0.0006541592911916765,0.0007040426622474999,1.0,"[0.00058937, 0.0007214]",2.1394437377195095
ALL 40,SH minus PINN (positive favours PINN),40,0.000563691712088031,0.000580998559615778,1.0,"[0.00046904, 0.00066055]",55.136780049429
