window,date,expiry,tau,status,forward_from_anchor_parity,discount_from_anchor_parity,parity_nrmse,pairs,anchor_pairs,potential_heldout_pairs_before_further_cleaning
final,2026-08-24,2026-08-25,0.0027397260273972603,outside_tau,,,,,,
final,2026-08-24,2026-09-01,0.021917808219178082,carry_accepted,24239.696190241255,0.9954580760252949,0.0016757236453667306,51.0,34.0,17.0
final,2026-08-24,2026-09-08,0.0410958904109589,carry_accepted,24263.873843734735,0.9949127260434106,0.0002080731042650278,27.0,18.0,9.0
final,2026-08-24,2026-09-15,0.06027397260273973,anchor_parity_failed,,,,,,
final,2026-08-24,2026-09-22,0.07945205479452055,anchor_parity_failed,,,,,,
final,2026-08-24,2026-09-29,0.09863013698630137,carry_accepted,24334.48923170824,0.987864652621211,0.0011698857766446788,68.0,45.0,23.0
final,2026-08-24,2026-10-27,0.17534246575342466,carry_accepted,24450.3486167351,0.9820445964682386,0.00041679019823060554,32.0,21.0,11.0
final,2026-08-24,2026-12-29,0.34794520547945207,outside_tau,,,,,,
final,2026-08-24,2027-03-30,0.5972602739726027,outside_tau,,,,,,
final,2026-08-24,2027-06-29,0.8465753424657534,outside_tau,,,,,,
final,2026-08-24,2027-12-28,1.3452054794520547,outside_tau,,,,,,
final,2026-08-24,2028-06-27,1.8438356164383563,outside_tau,,,,,,
final,2026-08-24,2028-12-26,2.3424657534246576,outside_tau,,,,,,
final,2026-08-25,2026-08-25,0.0,outside_tau,,,,,,
final,2026-08-25,2026-09-01,0.019178082191780823,anchor_parity_failed,,,,,,
final,2026-08-25,2026-09-08,0.038356164383561646,anchor_parity_failed,,,,,,
final,2026-08-25,2026-09-15,0.057534246575342465,carry_accepted,24430.40454660807,0.9956181211941809,0.00039436352347257275,19.0,13.0,6.0
final,2026-08-25,2026-09-22,0.07671232876712329,anchor_parity_failed,,,,,,
final,2026-08-25,2026-09-29,0.0958904109589041,carry_accepted,24481.46053748844,0.989442185996744,0.0014600232485074984,66.0,44.0,22.0
final,2026-08-25,2026-10-27,0.1726027397260274,carry_accepted,24602.23816311247,0.9739773719419736,0.0025373726929759613,38.0,25.0,13.0
final,2026-08-25,2026-12-29,0.3452054794520548,outside_tau,,,,,,
final,2026-08-25,2027-03-30,0.5945205479452055,outside_tau,,,,,,
final,2026-08-25,2027-06-29,0.8438356164383561,outside_tau,,,,,,
final,2026-08-25,2027-12-28,1.3424657534246576,outside_tau,,,,,,
final,2026-08-25,2028-12-26,2.33972602739726,outside_tau,,,,,,
final,2026-08-26,2026-09-01,0.01643835616438356,outside_tau,,,,,,
final,2026-08-26,2026-09-08,0.03561643835616438,anchor_parity_failed,,,,,,
final,2026-08-26,2026-09-15,0.0547945205479452,carry_accepted,24397.519701678055,0.9967501998558502,0.0006570157804364279,21.0,14.0,7.0
final,2026-08-26,2026-09-22,0.07397260273972603,anchor_parity_failed,,,,,,
final,2026-08-26,2026-09-29,0.09315068493150686,carry_accepted,24452.997578459486,0.9880999629323138,0.0012607260584247236,67.0,45.0,22.0
final,2026-08-26,2026-10-27,0.16986301369863013,carry_accepted,24571.39139778038,0.9812249996534507,0.0009755753639671853,34.0,23.0,11.0
final,2026-08-26,2026-11-23,0.24383561643835616,insufficient_pairs,,,,,,
final,2026-08-26,2026-12-29,0.3424657534246575,outside_tau,,,,,,
final,2026-08-26,2027-03-30,0.5917808219178082,outside_tau,,,,,,
final,2026-08-26,2027-06-29,0.8410958904109589,outside_tau,,,,,,
final,2026-08-26,2027-12-28,1.3397260273972602,outside_tau,,,,,,
final,2026-08-26,2028-06-27,1.8383561643835618,outside_tau,,,,,,
final,2026-08-26,2028-12-26,2.336986301369863,outside_tau,,,,,,
final,2026-08-26,2029-12-24,3.3315068493150686,outside_tau,,,,,,
final,2026-08-27,2026-09-01,0.0136986301369863,outside_tau,,,,,,
final,2026-08-27,2026-09-08,0.03287671232876712,anchor_parity_failed,,,,,,
final,2026-08-27,2026-09-15,0.052054794520547946,carry_accepted,24246.341771703155,0.9960625336529414,0.0004150059333095028,21.0,14.0,7.0
final,2026-08-27,2026-09-22,0.07123287671232877,anchor_parity_failed,,,,,,
final,2026-08-27,2026-09-29,0.09041095890410959,carry_accepted,24293.12296566578,0.990742804324374,0.001340542476903199,68.0,45.0,23.0
final,2026-08-27,2026-10-27,0.16712328767123288,carry_accepted,24421.848226081558,0.9729131179312391,0.0009962704707208727,35.0,23.0,12.0
final,2026-08-27,2026-11-23,0.2410958904109589,carry_accepted,24563.381661969703,0.9591188965926741,0.0010202705771104475,9.0,6.0,3.0
final,2026-08-27,2026-12-29,0.33972602739726027,outside_tau,,,,,,
final,2026-08-27,2027-03-30,0.589041095890411,outside_tau,,,,,,
final,2026-08-27,2027-06-29,0.8383561643835616,outside_tau,,,,,,
final,2026-08-27,2027-12-28,1.336986301369863,outside_tau,,,,,,
