window,date,expiry,strike,option,reason,tau
final,2026-08-24,2026-09-22 00:00:00,23050.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-09-22 00:00:00,23350.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-09-22 00:00:00,23400.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-09-22 00:00:00,23450.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-09-22 00:00:00,24650.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-08-25 00:00:00,27100.0,PE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-08-25 00:00:00,26400.0,PE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-10-27 00:00:00,22900.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-10-27 00:00:00,26150.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-10-27 00:00:00,26550.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-10-27 00:00:00,26800.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-10-27 00:00:00,26950.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2027-06-29 00:00:00,19000.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2027-06-29 00:00:00,31500.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2028-06-27 00:00:00,18000.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2029-06-26 00:00:00,28500.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2029-06-26 00:00:00,30000.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2029-12-24 00:00:00,31500.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2027-03-30 00:00:00,18000.0,PE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2027-06-29 00:00:00,18000.0,PE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-10-27 00:00:00,25950.0,PE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-08-25 00:00:00,22450.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-09-01 00:00:00,23250.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-09-08 00:00:00,22800.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-09-08 00:00:00,23050.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-09-15 00:00:00,22600.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-09-15 00:00:00,23100.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-09-15 00:00:00,24900.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-09-15 00:00:00,25150.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-09-15 00:00:00,25550.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-09-22 00:00:00,23500.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-09-29 00:00:00,21850.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-09-29 00:00:00,22450.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-09-29 00:00:00,22550.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-09-29 00:00:00,22700.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-09-29 00:00:00,23150.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-09-29 00:00:00,25900.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-09-29 00:00:00,26050.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-09-29 00:00:00,26450.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-10-27 00:00:00,22550.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-10-27 00:00:00,23950.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-10-27 00:00:00,25300.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-10-27 00:00:00,25800.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-10-27 00:00:00,26100.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2026-10-27 00:00:00,26700.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2027-06-29 00:00:00,30000.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2028-12-26 00:00:00,18000.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2028-12-26 00:00:00,24000.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
final,2026-08-24,2028-12-26 00:00:00,25500.0,CE,nonfinite/nonpositive/date/option/OHLC gate,
