date,model,quotes,scored,RMSE_index_points
2026-08-24,single_fixed_exact,59,59,113.6482912429887
2026-08-25,single_fixed_exact,41,41,153.2166115216513
2026-08-26,single_fixed_exact,40,40,153.56052222825844
2026-08-27,single_fixed_exact,45,45,147.1380262378382
2026-08-28,single_fixed_exact,34,34,165.7064255312399
2026-08-31,single_fixed_exact,68,68,127.25492384242604
2026-09-01,single_fixed_exact,68,68,120.10148863724879
2026-09-02,single_fixed_exact,61,61,120.73575428204306
2026-09-03,single_fixed_exact,38,38,148.3914378152465
2026-09-04,single_fixed_exact,60,60,133.75214630354242
2026-09-07,single_fixed_exact,71,71,110.43121110975869
2026-09-08,single_fixed_exact,55,55,117.88922156400584
2026-09-09,single_fixed_exact,61,61,108.88005005489761
2026-09-10,single_fixed_exact,54,54,112.70629625963562
2026-09-11,single_fixed_exact,77,77,90.92665433406614
2026-09-15,single_fixed_exact,66,66,70.44864907244008
2026-09-16,single_fixed_exact,69,69,76.0989312855822
2026-08-24,double_fixed_exact,59,59,103.15036729612896
2026-08-25,double_fixed_exact,41,41,139.87868836996066
2026-08-26,double_fixed_exact,40,40,140.74226246768097
2026-08-27,double_fixed_exact,45,45,133.48354079824202
2026-08-28,double_fixed_exact,34,34,150.37936305931248
2026-08-31,double_fixed_exact,68,68,115.45509754388799
2026-09-01,double_fixed_exact,68,68,108.19360539457814
2026-09-02,double_fixed_exact,61,61,108.28015766167054
2026-09-03,double_fixed_exact,38,38,132.8645125347877
2026-09-04,double_fixed_exact,60,60,121.45236025614666
2026-09-07,double_fixed_exact,71,71,99.38244591154907
2026-09-08,double_fixed_exact,55,55,105.89291316952755
2026-09-09,double_fixed_exact,61,61,96.53831808779792
2026-09-10,double_fixed_exact,54,54,99.9308390109044
2026-09-11,double_fixed_exact,77,77,79.75587415568393
2026-09-15,double_fixed_exact,66,66,58.73911545271661
2026-09-16,double_fixed_exact,69,69,64.61536935902714
2026-08-24,double_fixed_PINN,59,59,103.23426761380279
2026-08-25,double_fixed_PINN,41,41,139.98999058752617
2026-08-26,double_fixed_PINN,40,40,140.8516884323775
2026-08-27,double_fixed_PINN,45,45,133.6037014236606
2026-08-28,double_fixed_PINN,34,34,150.533553628643
2026-08-31,double_fixed_PINN,68,68,115.56110884455975
2026-09-01,double_fixed_PINN,68,68,108.31102192744352
2026-09-02,double_fixed_PINN,61,61,108.39613033640443
2026-09-03,double_fixed_PINN,38,38,133.02824837858503
2026-09-04,double_fixed_PINN,60,60,121.56551278318939
2026-09-07,double_fixed_PINN,71,71,99.4817793474557
2026-09-08,double_fixed_PINN,55,55,105.98883151506767
2026-09-09,double_fixed_PINN,61,61,96.63846734404626
2026-09-10,double_fixed_PINN,54,54,100.01858844767959
2026-09-11,double_fixed_PINN,77,77,79.84918653705545
2026-09-15,double_fixed_PINN,66,66,58.8232769348891
2026-09-16,double_fixed_PINN,69,69,64.69258888112226
2026-08-24,BS_fixed,59,59,15.476063826153336
2026-08-25,BS_fixed,41,41,28.207055224068238
2026-08-26,BS_fixed,40,40,30.599001243478593
2026-08-27,BS_fixed,45,45,22.526018657213324
2026-08-28,BS_fixed,34,34,26.576805894361772
2026-08-31,BS_fixed,68,68,16.552611012801652
2026-09-01,BS_fixed,68,68,13.23648603270525
2026-09-02,BS_fixed,61,61,11.962050702105385
2026-09-03,BS_fixed,38,38,14.330987709837524
2026-09-04,BS_fixed,60,60,18.310653755523706
2026-09-07,BS_fixed,71,71,10.816288107050404
2026-09-08,BS_fixed,55,55,10.59340726758505
2026-09-09,BS_fixed,61,61,13.503030862367876
2026-09-10,BS_fixed,54,54,12.869949248054343
2026-09-11,BS_fixed,77,77,19.510737555385813
