bucket,model,price_RMSE,price_MAE,price_P95,price_max,forward_normalized_price_RMSE,IV_RMSE_volatility_points,IV_valid_quotes,quotes,relative_price_RMSE_where_price_gt_1e-3,teacher_price_RMS
all,two_seed_mean,1.0707622215419704e-05,6.732872759873656e-06,2.252689225261395e-05,0.00012455730249838481,1.0707622215419704e-05,0.11654602781138458,3789,4096,0.0014586225748083256,0.1447288917697731
all,seed_17,1.141427633330495e-05,7.227678257579884e-06,2.414930939138285e-05,0.00013645526331579338,1.141427633330495e-05,0.11921295377607163,3790,4096,0.0015135150926584445,0.1447288917697731
all,seed_43,1.350407792304287e-05,8.539101453070914e-06,2.911876109406089e-05,0.00011265934168097624,1.350407792304287e-05,0.12103906377424405,3788,4096,0.0017395734932690303,0.1447288917697731
maturity_7-30d,two_seed_mean,6.757914194820264e-06,2.9353292530431735e-06,1.5651070402274135e-05,7.177284778603354e-05,6.757914194820264e-06,0.22019777356748058,998,1283,0.0021707225212221405,0.13031736877999936
maturity_7-30d,seed_17,7.493243329362487e-06,3.248487063691677e-06,1.7831943435050618e-05,6.013310856459175e-05,7.493243329362487e-06,0.22388297890711803,1000,1283,0.002187779264645571,0.13031736877999936
maturity_7-30d,seed_43,8.205697169422807e-06,3.6407482176138478e-06,1.7980798590721144e-05,8.341258700748921e-05,8.205697169422807e-06,0.2257551143803229,997,1283,0.0024383923746380516,0.13031736877999936
maturity_30-90d,two_seed_mean,9.819678827224064e-06,6.17887182766257e-06,2.199258515957064e-05,4.911133267536394e-05,9.819678827224064e-06,0.05479724197023811,946,968,0.001692561340891732,0.1295832135850997
maturity_30-90d,seed_17,1.0880347976743246e-05,6.853302838303008e-06,2.377749093562136e-05,6.053930841565247e-05,1.0880347976743246e-05,0.06027057651336084,945,968,0.001816249966018775,0.1295832135850997
maturity_30-90d,seed_43,1.198528906631149e-05,7.487492689817077e-06,2.6790747119292074e-05,6.044760993321324e-05,1.198528906631149e-05,0.06764113573952718,946,968,0.0019009321531961603,0.1295832135850997
maturity_90-365d,two_seed_mean,1.1043918038460942e-05,8.45681659453786e-06,2.220205762430721e-05,6.138727073601302e-05,1.1043918038460942e-05,0.013345842819084533,1234,1234,0.0009627360684267177,0.14642163043356385
maturity_90-365d,seed_17,1.1538025820460015e-05,8.939589608756389e-06,2.3023282558226955e-05,6.289233395379012e-05,1.1538025820460015e-05,0.015326565957728211,1234,1234,0.0010502214533907438,0.14642163043356385
maturity_90-365d,seed_43,1.4857751030779939e-05,1.131237823811062e-05,3.090349633445285e-05,5.988220751823592e-05,1.4857751030779939e-05,0.01645335556618836,1234,1234,0.0014482529163356,0.14642163043356385
maturity_365-731d,two_seed_mean,1.6541196335334793e-05,1.210304383952704e-05,3.353552608759136e-05,0.00012455730249838481,1.6541196335334793e-05,0.00502586768782412,611,611,0.0005483471570852935,0.18669934686954898
maturity_365-731d,seed_17,1.7294038681722617e-05,1.2719002480602435e-05,3.287016560323333e-05,0.00013645526331579338,1.7294038681722617e-05,0.005155290760294751,611,611,0.0004835699918413347,0.18669934686954898
maturity_365-731d,seed_43,2.0191345673903984e-05,1.4889872207869825e-05,4.086679185084929e-05,0.00011265934168097624,2.0191345673903984e-05,0.005881023464476046,611,611,0.0006496101923212104,0.18669934686954898
K/F_0-0.9,two_seed_mean,1.0004597518975848e-05,5.865721141119174e-06,1.932567811094854e-05,0.00012455730249838481,1.0004597518975848e-05,0.16789480319712724,1381,1449,4.6580839211283376e-05,0.22766056475280516
K/F_0-0.9,seed_17,1.0786092238929041e-05,6.285846158372107e-06,2.084186166382839e-05,0.00013645526331579338,1.0786092238929041e-05,0.17726145815043806,1382,1449,5.106105335223411e-05,0.22766056475280516
K/F_0-0.9,seed_43,1.181557209140659e-05,7.0821432086233345e-06,2.4524887628668556e-05,0.00011265934168097624,1.181557209140659e-05,0.17628536830627,1381,1449,5.6455540784033846e-05,0.22766056475280516
K/F_0.9-0.98,two_seed_mean,1.0725613952100672e-05,8.085172410824044e-06,2.026669671856898e-05,7.177284778603354e-05,1.0725613952100672e-05,0.024430744240317534,484,484,0.00014240911062768063,0.11026934305116558
K/F_0.9-0.98,seed_17,1.2016627543402825e-05,9.107426630800575e-06,2.268339950083143e-05,6.053930841565247e-05,1.2016627543402825e-05,0.026419617668181048,484,484,0.00016615208242031317,0.11026934305116558
K/F_0.9-0.98,seed_43,1.5017355871811575e-05,1.0870531485754994e-05,3.059531208922522e-05,8.341258700748921e-05,1.5017355871811575e-05,0.03260382097300937,484,484,0.00019018639790308452,0.11026934305116558
K/F_0.98-1.02,two_seed_mean,1.2821710023590832e-05,9.847778540942347e-06,2.613470798208601e-05,4.911133267536394e-05,1.2821710023590832e-05,0.011161966155014132,228,228,0.0008769392859736007,0.08547355334525651
K/F_0.98-1.02,seed_17,1.3951578031000791e-05,1.0708224471475331e-05,2.804620477335206e-05,4.768257897007182e-05,1.3951578031000791e-05,0.011083553783643566,228,228,0.0008850570430759881,0.08547355334525651
K/F_0.98-1.02,seed_43,1.5552778980142292e-05,1.194168642291635e-05,3.144588678946969e-05,6.044760993321324e-05,1.5552778980142292e-05,0.01451115162919746,228,228,0.0009751218800285389,0.08547355334525651
K/F_1.02-1.1,two_seed_mean,1.4087035244564216e-05,1.058967204734886e-05,2.8319335458597083e-05,5.1894181454820165e-05,1.4087035244564216e-05,0.040764800433838455,427,429,0.0028962442674320913,0.06006367170060057
K/F_1.02-1.1,seed_17,1.4419328909948804e-05,1.0658260773680997e-05,3.127911599931539e-05,5.311794348638113e-05,1.4419328909948804e-05,0.04182499734677272,427,429,0.0030168017325751537,0.06006367170060057
K/F_1.02-1.1,seed_43,1.7608083696445423e-05,1.3158174265611344e-05,3.564327561668131e-05,6.990394024820878e-05,1.7608083696445423e-05,0.04583377194506432,427,429,0.0030838389580948662,0.06006367170060057
K/F_1.1-9,two_seed_mean,9.8559442608598e-06,5.562370935242009e-06,2.237963302307959e-05,5.131555872911475e-05,9.8559442608598e-06,0.0952392758345443,1269,1506,0.002207496115206468,0.03256890064119698
K/F_1.1-9,seed_17,1.0359051893319506e-05,6.025574713713828e-06,2.4038595981178135e-05,5.878538931630359e-05,1.0359051893319506e-05,0.08572208644975661,1269,1506,0.002285065666830507,0.03256890064119698
K/F_1.1-9,seed_43,1.2815564300038351e-05,7.360714169326455e-06,2.8198996201928353e-05,9.174061578227227e-05,1.2815564300038351e-05,0.09364555415358312,1268,1506,0.0028574626335694598,0.03256890064119698
ATM_|K/F-1|<=.02,two_seed_mean,1.2821710023590832e-05,9.847778540942347e-06,2.613470798208601e-05,4.911133267536394e-05,1.2821710023590832e-05,0.011161966155014132,228,228,0.0008769392859736007,0.08547355334525651
ATM_|K/F-1|<=.02,seed_17,1.3951578031000791e-05,1.0708224471475331e-05,2.804620477335206e-05,4.768257897007182e-05,1.3951578031000791e-05,0.011083553783643566,228,228,0.0008850570430759881,0.08547355334525651
ATM_|K/F-1|<=.02,seed_43,1.5552778980142292e-05,1.194168642291635e-05,3.144588678946969e-05,6.044760993321324e-05,1.5552778980142292e-05,0.01451115162919746,228,228,0.0009751218800285389,0.08547355334525651
wing_K/F<.9_or_>1.1,two_seed_mean,9.929115273038083e-06,5.711120325535075e-06,2.1169532015192988e-05,0.00012455730249838481,9.929115273038083e-06,0.13796230785965552,2650,2955,0.0012925671432483692,0.16110675536920355
wing_K/F<.9_or_>1.1,seed_17,1.0570609312140807e-05,6.153200203835603e-06,2.1855507807050705e-05,0.00013645526331579338,1.0570609312140807e-05,0.14106033699121512,2651,2955,0.0013380562143439538,0.16110675536920355
wing_K/F<.9_or_>1.1,seed_43,1.2335346505890363e-05,7.224115413976601e-06,2.6529629685786108e-05,0.00011265934168097624,1.2335346505890363e-05,0.14282434295898586,2649,2955,0.0016730574622803912,0.16110675536920355
fast_heavy_v_fast>v_slow,two_seed_mean,1.0191204935905629e-05,6.358583700679513e-06,2.1973380320963742e-05,7.177284778603354e-05,1.0191204935905629e-05,0.13388988710353086,2417,2640,0.001247964743061843,0.14303682876949622
fast_heavy_v_fast>v_slow,seed_17,1.074311825525388e-05,6.821180666227237e-06,2.3182717283419688e-05,6.053930841565247e-05,1.074311825525388e-05,0.13722122307547388,2418,2640,0.0013013453496469706,0.14303682876949622
fast_heavy_v_fast>v_slow,seed_43,1.3137716974041751e-05,8.129072450240971e-06,2.9154721966051503e-05,8.341258700748921e-05,1.3137716974041751e-05,0.13770519776854767,2416,2640,0.0016287385834687681,0.14303682876949622
slow_heavy_v_slow>=v_fast,two_seed_mean,1.1585422746965675e-05,7.411528746324579e-06,2.332335535765043e-05,0.00012455730249838481,1.1585422746965675e-05,0.07701398587413512,1372,1456,0.0017666261107276357,0.14774750392910174
slow_heavy_v_slow>=v_fast,seed_17,1.2539928735048539e-05,7.964734329812707e-06,2.551835129133628e-05,0.00013645526331579338,1.2539928735048539e-05,0.07793023500472981,1372,1456,0.001825176660250542,0.14774750392910174
slow_heavy_v_slow>=v_fast,seed_43,1.414417740582542e-05,9.282560634026308e-06,2.842764455273511e-05,0.00011265934168097624,1.414417740582542e-05,0.0840050162504266,1372,1456,0.0019174350841372227,0.14774750392910174
scale_0.70-1.53,two_seed_mean,1.1680391078209514e-05,7.0056224939141e-06,2.3126430767105012e-05,0.00012455730249838481,1.1680391078209514e-05,0.08645642587734052,1241,1365,0.001617507148022304,0.141878603813847
