model,bucket,eligible_quotes,scored_quotes,RMSE_index_points
single_fixed_exact,short,509,509,63.99561077243815
double_fixed_exact,short,509,509,59.5173354271755
double_fixed_PINN,short,509,509,59.50571658317134
BS_fixed,short,509,509,15.973800929020525
single_state_exact,short,509,509,27.565786129239978
double_state_exact,short,509,509,26.449340810116308
double_state_PINN,short,509,114,26.743945978910162
BS_state_flat,short,509,509,9.740342759635864
BS_state_term,short,509,509,8.744418251352979
single_fixed_exact,medium,458,458,160.34531508055497
double_fixed_exact,medium,458,458,143.2221985242074
double_fixed_PINN,medium,458,458,143.39455035630863
BS_fixed,medium,458,458,27.80227747441886
single_state_exact,medium,458,458,63.00460256742885
double_state_exact,medium,458,458,55.62004988988804
double_state_PINN,medium,458,98,36.06349159796578
BS_state_flat,medium,458,458,16.849997218330447
BS_state_term,medium,458,458,16.17598942407613
single_fixed_exact,long,0,0,
double_fixed_exact,long,0,0,
double_fixed_PINN,long,0,0,
BS_fixed,long,0,0,
single_state_exact,long,0,0,
double_state_exact,long,0,0,
double_state_PINN,long,0,0,
BS_state_flat,long,0,0,
BS_state_term,long,0,0,
single_fixed_exact,very_long,0,0,
double_fixed_exact,very_long,0,0,
double_fixed_PINN,very_long,0,0,
BS_fixed,very_long,0,0,
single_state_exact,very_long,0,0,
double_state_exact,very_long,0,0,
double_state_PINN,very_long,0,0,
BS_state_flat,very_long,0,0,
BS_state_term,very_long,0,0,
single_fixed_exact,ATM,407,407,154.4922992196308
double_fixed_exact,ATM,407,407,139.53207659058236
double_fixed_PINN,ATM,407,407,139.70600604701
BS_fixed,ATM,407,407,25.89572766093584
single_state_exact,ATM,407,407,63.787824911853754
double_state_exact,ATM,407,407,57.29970984154751
double_state_PINN,ATM,407,76,43.08487055328982
BS_state_flat,ATM,407,407,11.551611375662196
BS_state_term,ATM,407,407,9.894940676948606
single_fixed_exact,wing,51,51,4.1436907943734775
double_fixed_exact,wing,51,51,4.078724755407103
double_fixed_PINN,wing,51,51,4.082494447175993
BS_fixed,wing,51,51,6.325187260248682
single_state_exact,wing,51,51,6.177062965166982
double_state_exact,wing,51,51,5.978748443614893
double_state_PINN,wing,51,13,7.470268490405625
BS_state_flat,wing,51,51,5.513975408665835
BS_state_term,wing,51,51,5.5757161159977295
single_fixed_exact,K/F_0.70_0.90,20,20,4.044543353445811
double_fixed_exact,K/F_0.70_0.90,20,20,4.036012891155417
double_fixed_PINN,K/F_0.70_0.90,20,20,4.057064464021241
BS_fixed,K/F_0.70_0.90,20,20,6.668473209252927
single_state_exact,K/F_0.70_0.90,20,20,6.346324425422134
double_state_exact,K/F_0.70_0.90,20,20,6.352689651006572
double_state_PINN,K/F_0.70_0.90,20,3,2.777582416702138
BS_state_flat,K/F_0.70_0.90,20,20,6.679550186152496
BS_state_term,K/F_0.70_0.90,20,20,6.680545326618424
single_fixed_exact,K/F_0.90_0.98,206,206,98.56143304496645
double_fixed_exact,K/F_0.90_0.98,206,206,88.05289186643498
double_fixed_PINN,K/F_0.90_0.98,206,206,88.1546898374393
BS_fixed,K/F_0.90_0.98,206,206,26.157462861653677
single_state_exact,K/F_0.90_0.98,206,206,36.90812347164307
double_state_exact,K/F_0.90_0.98,206,206,32.138193420369305
double_state_PINN,K/F_0.90_0.98,206,39,27.19111605304715
BS_state_flat,K/F_0.90_0.98,206,206,21.403323585566742
BS_state_term,K/F_0.90_0.98,206,206,20.96302151018344
single_fixed_exact,K/F_0.98_1.02,407,407,154.4922992196308
double_fixed_exact,K/F_0.98_1.02,407,407,139.53207659058236
double_fixed_PINN,K/F_0.98_1.02,407,407,139.70600604701
BS_fixed,K/F_0.98_1.02,407,407,25.89572766093584
single_state_exact,K/F_0.98_1.02,407,407,63.787824911853754
double_state_exact,K/F_0.98_1.02,407,407,57.29970984154751
double_state_PINN,K/F_0.98_1.02,407,76,43.08487055328982
BS_state_flat,K/F_0.98_1.02,407,407,11.551611375662196
BS_state_term,K/F_0.98_1.02,407,407,9.894940676948606
single_fixed_exact,K/F_1.02_1.10,303,303,84.11421005806645
double_fixed_exact,K/F_1.02_1.10,303,303,74.3688993877985
double_fixed_PINN,K/F_1.02_1.10,303,303,74.33465468227415
BS_fixed,K/F_1.02_1.10,303,303,14.978364348018978
single_state_exact,K/F_1.02_1.10,303,303,29.642800126873375
double_state_exact,K/F_1.02_1.10,303,303,27.071944892917386
double_state_PINN,K/F_1.02_1.10,303,84,21.368077371430093
BS_state_flat,K/F_1.02_1.10,303,303,9.629752273295118
BS_state_term,K/F_1.02_1.10,303,303,9.404886547556371
single_fixed_exact,K/F_1.10_1.30,31,31,4.206416851592096
double_fixed_exact,K/F_1.10_1.30,31,31,4.106045016477195
double_fixed_PINN,K/F_1.10_1.30,31,31,4.098817158911801
BS_fixed,K/F_1.10_1.30,31,31,6.093457593844304
single_state_exact,K/F_1.10_1.30,31,31,6.065355815968318
double_state_exact,K/F_1.10_1.30,31,31,5.724547494480022
double_state_PINN,K/F_1.10_1.30,31,10,8.38044721300119
BS_state_flat,K/F_1.10_1.30,31,31,4.60810069120692
BS_state_term,K/F_1.10_1.30,31,31,4.727835907091763
