split,tau_days,K/F,points,fallbacks,invalid_IV,below_intrinsic_roundoff,max_128_96_diff
train,7-30,0-0.9,10936,975,1363,758,0.00020673210569810418
train,7-30,0.9-0.98,3708,238,0,0,9.540785834150078e-06
train,7-30,0.98-1.02,1750,79,0,0,4.495021153225198e-06
train,7-30,1.02-1.1,3258,177,65,25,1.3252407256090021e-05
train,7-30,1.1-9,11664,922,5212,4080,0.0001401703716818266
train,30-90,0-0.9,8372,0,0,0,2.606111992875526e-10
train,30-90,0.9-0.98,2795,0,0,0,1.0829337426798702e-11
train,30-90,0.98-1.02,1317,0,0,0,1.873035060384609e-11
train,30-90,1.02-1.1,2505,0,0,0,7.838174553853605e-13
train,30-90,1.1-9,8652,0,633,469,8.17655934578041e-11
train,90-365,0-0.9,10784,0,0,0,1.4988010832439613e-14
train,90-365,0.9-0.98,3563,0,0,0,1.2656542480726785e-14
train,90-365,0.98-1.02,1656,0,0,0,1.2989609388114332e-14
train,90-365,1.02-1.1,3183,0,0,0,1.3489209749195652e-14
train,90-365,1.1-9,10941,0,1,0,1.9845236565174673e-14
train,365-731,0-0.9,5274,0,0,0,1.7930101847696278e-14
train,365-731,0.9-0.98,1762,0,0,0,1.7708057242771247e-14
train,365-731,0.98-1.02,834,0,0,0,1.8485213360008856e-14
train,365-731,1.02-1.1,1540,0,0,0,1.9595436384634013e-14
train,365-731,1.1-9,5506,0,0,0,2.4980018054066022e-14
development,7-30,0-0.9,455,54,63,37,2.3129064989135806e-05
development,7-30,0.9-0.98,153,10,0,0,2.0883356099954398e-06
development,7-30,0.98-1.02,60,2,0,0,3.826010155916215e-08
development,7-30,1.02-1.1,133,4,2,1,3.514467276278753e-07
development,7-30,1.1-9,482,37,208,154,2.0404045250309633e-05
development,30-90,0-0.9,339,0,0,0,1.7222223647195278e-11
development,30-90,0.9-0.98,110,0,0,0,6.439293542825908e-15
development,30-90,0.98-1.02,48,0,0,0,6.106226635438361e-15
development,30-90,1.02-1.1,107,0,0,0,4.0245584642661925e-14
development,30-90,1.1-9,364,0,22,13,1.7480642007152396e-14
development,90-365,0-0.9,429,0,0,0,1.2656542480726785e-14
development,90-365,0.9-0.98,149,0,0,0,1.1879386363489175e-14
development,90-365,0.98-1.02,71,0,0,0,1.1601830607332886e-14
development,90-365,1.02-1.1,139,0,0,0,1.3489209749195652e-14
development,90-365,1.1-9,446,0,0,0,1.762479051592436e-14
development,365-731,0-0.9,226,0,0,0,1.6986412276764895e-14
development,365-731,0.9-0.98,72,0,0,0,1.7208456881689926e-14
development,365-731,0.98-1.02,49,0,0,0,1.532107773982716e-14
development,365-731,1.02-1.1,50,0,0,0,1.7541523789077473e-14
development,365-731,1.1-9,214,0,0,0,2.3592239273284576e-14
