case,family,kind,v_slow,v_fast,scale,fast_share,nonfinite,strike_monotonicity_violations_gt_1e-9,max_strike_monotonicity_violation,convexity_violations_gt_1e-7,worst_convexity,calendar_violations_gt_1e-9,worst_calendar,inside_teacher_domain,min_normalized_distance_to_domain_edge,teacher_training_points_within_0.05_cube
BASE_representative_0,BASE,representative,0.0003,0.0252,1.0,0.988235294117647,0,0,4.3601566801498855e-13,0,-1.4838130724115217e-10,0,-1.398514637429571e-11,True,0.09776299983977145,101
FAST_SHOCK_representative_0,FAST_SHOCK,representative,0.0003,0.04,1.0,0.9925558312655086,0,0,0.0,0,-6.661338147750939e-14,0,-2.55351295663786e-15,True,0.09776299983977145,103
FAST_SHOCK_representative_1,FAST_SHOCK,representative,0.0003,0.06,1.0,0.9950248756218906,0,0,0.0,0,-3.4861002973231e-14,0,-6.405986852087133e-16,True,0.09776299983977145,92
SLOW_SHOCK_representative_0,SLOW_SHOCK,representative,0.005,0.0252,1.0,0.8344370860927152,0,0,0.0,0,-9.992007221626409e-14,0,-6.356026815979173e-16,True,0.12000000000000002,104
SLOW_SHOCK_representative_1,SLOW_SHOCK,representative,0.01,0.0252,1.0,0.7159090909090908,0,0,0.0,0,-4.052314039881665e-14,0,-6.938893903907228e-16,True,0.12000000000000002,108
FIXED_TOTAL_TWIST_representative_0,FIXED_TOTAL_TWIST,representative,0.005,0.035,1.0,0.8750000000000001,0,0,0.0,0,-2.620126338115257e-14,0,-5.551115123125783e-16,True,0.12000000000000002,100
FIXED_TOTAL_TWIST_representative_1,FIXED_TOTAL_TWIST,representative,0.035,0.005,1.0,0.125,0,0,0.0,0,-4.2243986086987875e-14,0,-8.726352973553872e-16,True,0.12000000000000002,107
SMIRK_WEIGHTS_representative_0,SMIRK_WEIGHTS,representative,0.02295,0.00255,1.0,0.1,0,0,0.0,0,-5.717648576819398e-14,0,-7.38298311375714e-16,True,0.12000000000000002,98
SMIRK_WEIGHTS_representative_1,SMIRK_WEIGHTS,representative,0.01275,0.01275,1.0,0.5,0,0,0.0,0,-4.1855408028371204e-14,0,-6.661338147750939e-16,True,0.12000000000000002,99
SMIRK_WEIGHTS_representative_2,SMIRK_WEIGHTS,representative,0.00255,0.02295,1.0,0.9,0,0,1.3600232051658168e-14,0,-4.929390229335695e-12,0,-1.8407497748285095e-13,True,0.12000000000000002,90
BASE_random_00,BASE,independent,0.0003039999751108283,0.025535997909309577,1.0133332503694277,0.9882352941176471,0,0,3.6472269648868396e-13,0,-1.290745288429207e-10,0,-1.59485757933453e-11,True,0.09963112414710022,102
BASE_random_01,BASE,independent,0.0005829336607214176,0.04896642750059908,1.9431122024047252,0.9882352941176471,0,0,0.0,0,-5.634381849972464e-14,0,-6.195044477408545e-16,True,0.19145604874548464,77
BASE_random_02,BASE,independent,0.0003774283856309085,0.031703984392996314,1.258094618769695,0.9882352941176471,0,0,1.8584023209200494e-14,0,-1.2823075934420558e-11,0,-1.2798651027878805e-12,True,0.13014605779757962,124
BASE_random_03,BASE,independent,0.0008227397257733053,0.06911013696495766,2.7424657525776848,0.9882352941176471,0,0,0.0,0,-3.086420008458155e-14,0,-3.3750779948604355e-16,True,0.18301369896892616,99
BASE_random_04,BASE,independent,0.0006338839783267571,0.053246254179447595,2.1129465944225236,0.9882352941176471,0,0,0.0,0,-5.49560397189457e-14,0,-8.665290707199417e-16,True,0.20327433362041297,114
BASE_random_05,BASE,independent,0.0008330539399520713,0.06997653095597399,2.7768464665069046,0.988235294117647,0,0,0.0,0,-4.6074255521942444e-14,0,-8.415490526658606e-16,True,0.1692614133972381,96
BASE_random_06,BASE,independent,0.0004482208109432035,0.037650548119229105,1.4940693698106786,0.9882352941176471,0,0,8.337774914934916e-16,0,-1.709743457922741e-12,0,-2.604583215770617e-13,True,0.15439193732550496,112
BASE_random_07,BASE,independent,0.0008750781815931977,0.0735065672538286,2.916927271977326,0.988235294117647,0,0,0.0,0,-2.7922109069321248e-14,0,-5.884182030513279e-16,True,0.11322909120906954,103
FAST_SHOCK_random_00,FAST_SHOCK,independent,0.0003031465061226834,0.050105328338544385,1.010488353742278,0.9939861996012214,0,0,0.0,0,-4.1966430330830955e-14,0,-6.994405055138688e-16,True,0.09923459638154665,101
FAST_SHOCK_random_01,FAST_SHOCK,independent,0.0005485448874243804,0.06277386584662939,1.8284829580812678,0.9913372709430125,0,0,0.0,0,-4.762856775641876e-14,0,-7.494005416219807e-16,True,0.18288008000388675,85
FAST_SHOCK_random_02,FAST_SHOCK,independent,0.0002970795651374765,0.05613567975558572,0.9902652171249218,0.9947356895407313,0,0,0.0,0,-2.869926518655857e-14,0,-7.632783294297951e-16,True,0.09638325800169868,98
FAST_SHOCK_random_03,FAST_SHOCK,independent,0.00029357697231340794,0.029236822530967037,0.9785899077113599,0.9900584828769149,0,0,1.746380817735372e-14,0,-5.129230373768223e-12,0,-3.4428015993626104e-12,True,0.09471047817207413,109
