arm,model,bucket,price_RMSE,price_MAE,price_P95,price_max,forward_normalized_price_RMSE,IV_RMSE_volatility_points,IV_valid_quotes,quotes
FROZEN,ensemble,all,1.0707622215419704e-05,6.732872759873656e-06,2.252689225261395e-05,0.00012455730249838481,1.0707622215419704e-05,0.11654602781138458,3789,4096
FROZEN,ensemble,7-30d,6.757914194820264e-06,2.9353292530431735e-06,1.5651070402274135e-05,7.177284778603354e-05,6.757914194820264e-06,0.22019777356748058,998,1283
FROZEN,ensemble,30-90d,9.819678827224064e-06,6.17887182766257e-06,2.199258515957064e-05,4.911133267536394e-05,9.819678827224064e-06,0.05479724197023811,946,968
FROZEN,ensemble,90-365d,1.1043918038460942e-05,8.45681659453786e-06,2.220205762430721e-05,6.138727073601302e-05,1.1043918038460942e-05,0.013345842819084533,1234,1234
FROZEN,ensemble,365-730d,1.6541196335334793e-05,1.210304383952704e-05,3.353552608759136e-05,0.00012455730249838481,1.6541196335334793e-05,0.00502586768782412,611,611
FROZEN,seed_17,all,1.141427633330495e-05,7.227678257579884e-06,2.414930939138285e-05,0.00013645526331579338,1.141427633330495e-05,0.11921295377607163,3790,4096
FROZEN,seed_17,7-30d,7.493243329362487e-06,3.248487063691677e-06,1.7831943435050618e-05,6.013310856459175e-05,7.493243329362487e-06,0.22388297890711803,1000,1283
FROZEN,seed_17,30-90d,1.0880347976743246e-05,6.853302838303008e-06,2.377749093562136e-05,6.053930841565247e-05,1.0880347976743246e-05,0.06027057651336084,945,968
FROZEN,seed_17,90-365d,1.1538025820460015e-05,8.939589608756389e-06,2.3023282558226955e-05,6.289233395379012e-05,1.1538025820460015e-05,0.015326565957728211,1234,1234
FROZEN,seed_17,365-730d,1.7294038681722617e-05,1.2719002480602435e-05,3.287016560323333e-05,0.00013645526331579338,1.7294038681722617e-05,0.005155290760294751,611,611
FROZEN,seed_43,all,1.350407792304287e-05,8.539101453070914e-06,2.911876109406089e-05,0.00011265934168097624,1.350407792304287e-05,0.12103906377424405,3788,4096
FROZEN,seed_43,7-30d,8.205697169422807e-06,3.6407482176138478e-06,1.7980798590721144e-05,8.341258700748921e-05,8.205697169422807e-06,0.2257551143803229,997,1283
FROZEN,seed_43,30-90d,1.198528906631149e-05,7.487492689817077e-06,2.6790747119292074e-05,6.044760993321324e-05,1.198528906631149e-05,0.06764113573952718,946,968
FROZEN,seed_43,90-365d,1.4857751030779939e-05,1.131237823811062e-05,3.090349633445285e-05,5.988220751823592e-05,1.4857751030779939e-05,0.01645335556618836,1234,1234
FROZEN,seed_43,365-730d,2.0191345673903984e-05,1.4889872207869825e-05,4.086679185084929e-05,0.00011265934168097624,2.0191345673903984e-05,0.005881023464476046,611,611
SHARED,ensemble,all,1.0705229530339554e-05,6.724994487501235e-06,2.2330423591684174e-05,0.00012333108985107533,1.0705229530339554e-05,0.11590696954603627,3789,4096
SHARED,ensemble,7-30d,6.863885512176698e-06,2.9574523470381805e-06,1.5385671031029722e-05,7.920527692613366e-05,6.863885512176698e-06,0.21893227410108904,998,1283
SHARED,ensemble,30-90d,9.607741537352589e-06,6.085559514466453e-06,2.2002359069505846e-05,4.692245099094383e-05,9.607741537352589e-06,0.05467179723742942,946,968
SHARED,ensemble,90-365d,1.098877601015981e-05,8.39313184551737e-06,2.1293640541652357e-05,6.229445150351953e-05,1.098877601015981e-05,0.013471092038478875,1234,1234
