window,date,BS,SH,DH_PINN,DH_EXACT_AT_PINN_FIT
covid_march_2020,2020-03-02,3.5490651154062825e-06,4.165708833303028e-07,2.351538712768206e-06,2.3353171070130195e-06
covid_march_2020,2020-03-03,5.427581454635453e-06,5.004042707545915e-07,3.921857364945631e-06,3.91380184094677e-06
covid_march_2020,2020-03-04,5.0061005337402665e-06,2.746501306789495e-07,2.578588201273214e-06,2.567847450668179e-06
covid_march_2020,2020-03-05,4.413429311906786e-06,2.493790301714738e-07,2.1944851891460707e-06,2.180572435295033e-06
covid_march_2020,2020-03-06,3.4373677675776692e-06,2.555666259489829e-07,1.4855990939976405e-06,1.4807674073157408e-06
covid_march_2020,2020-03-09,4.798854501192348e-06,5.903334780888327e-07,2.5528076708387596e-06,2.5769407157625163e-06
covid_march_2020,2020-03-11,6.697417944650094e-06,7.451527809699502e-07,3.947158541956652e-06,3.952626178549921e-06
covid_march_2020,2020-03-12,2.092903164869828e-05,2.293654853462063e-05,2.751734181523249e-05,2.7552576479930825e-05
covid_march_2020,2020-03-13,3.989107616646739e-05,9.681986124417029e-06,5.2465991752001405e-05,5.247276655411048e-05
covid_march_2020,2020-03-16,4.0874750661863814e-05,5.973393679640026e-05,0.00010479029599280858,0.00010482759827791118
covid_march_2020,2020-03-17,6.550918519090761e-05,6.627800721665035e-05,0.00011994306897286926,0.0001200509129711406
covid_march_2020,2020-03-18,6.000884074452447e-05,5.019548787836542e-05,0.00010694304794140671,0.00010712212380292339
covid_march_2020,2020-03-19,3.115620670731872e-05,9.776005550132975e-05,0.0002404171353971393,0.0002406582121117571
covid_march_2020,2020-03-20,9.484753163080811e-05,1.110994388464903e-05,0.00014660327814344838,0.00014702244662680573
covid_march_2020,2020-03-23,3.924939327949552e-05,0.00013533808908993284,0.0005039206578653192,0.0005046400637520533
covid_march_2020,2020-03-24,8.85830372886883e-05,8.474703609360248e-05,0.0003399082174796298,0.00034053662128846464
covid_march_2020,2020-03-25,0.0001881360403699746,9.99831961712913e-05,0.00020388153610576432,0.0002042020951180312
covid_march_2020,2020-03-26,0.00013118638083464576,1.6443262998317363e-05,0.00013235195831570387,0.0001325567957686788
covid_march_2020,2020-03-27,0.00015702780607406477,3.2171498581482273e-05,0.00017527235172846265,0.0001755596305358032
covid_march_2020,2020-03-30,5.314232867866839e-05,1.1444000842297644e-05,0.00013693230921221335,0.00013738517646005917
covid_march_2020,2020-03-31,6.073555841713632e-05,2.42060184081673e-06,4.78085315404922e-05,4.786571783492848e-05
iran_june_2025,2025-06-02,9.079872937841585e-07,2.027926901507695e-08,1.7856791767535973e-07,1.7692130917696295e-07
iran_june_2025,2025-06-03,8.187215769470341e-07,4.852085953126163e-08,2.1518393875176082e-07,2.1306771423721508e-07
iran_june_2025,2025-06-04,3.0741701984524716e-07,2.585062823199952e-08,1.5816047729641719e-07,1.559759803034061e-07
iran_june_2025,2025-06-05,4.0342620287923433e-07,3.119425028382205e-08,1.1307973816183714e-07,1.1199611006316519e-07
iran_june_2025,2025-06-06,5.862698541299617e-07,2.692136969855279e-08,9.714788986060959e-08,9.672276550067212e-08
iran_june_2025,2025-06-09,4.2513333981487697e-07,2.589505345478423e-08,2.31057592100158e-07,2.2863345471929952e-07
iran_june_2025,2025-06-10,3.870242613482015e-07,3.942531701973471e-08,1.493106385525341e-07,1.473531021721856e-07
iran_june_2025,2025-06-11,2.582835987749185e-07,1.7063214203858974e-08,1.2699645216291594e-07,1.2514939584253675e-07
iran_june_2025,2025-06-12,5.929183676925602e-07,3.4366705945255756e-08,2.6027635188511893e-07,2.577224639410126e-07
iran_june_2025,2025-06-13,8.643237543255311e-07,4.403573735763873e-08,3.947163496571497e-07,3.916134632294469e-07
iran_june_2025,2025-06-16,1.0753666260325351e-06,7.486621989992154e-08,3.9296451505221234e-07,3.918315228466222e-07
iran_june_2025,2025-06-17,7.782638629304685e-07,5.739794125794365e-08,3.7243603331669834e-07,3.691722601836193e-07
iran_june_2025,2025-06-18,7.97203767327393e-07,4.1909562829441e-08,3.719854411740581e-07,3.690355444066681e-07
iran_june_2025,2025-06-19,8.593276684152614e-07,6.229550524998934e-08,4.552863435416558e-07,4.5293480926949576e-07
iran_june_2025,2025-06-20,1.2832377404888741e-06,5.372283845852643e-08,5.687985433105103e-07,5.671930414289178e-07
iran_june_2025,2025-06-23,1.2253930228130039e-06,5.669156823574328e-08,6.241205175330261e-07,6.220064655586181e-07
iran_june_2025,2025-06-24,8.351786506650351e-07,6.44708839874459e-08,5.305862324938165e-07,5.272992457957249e-07
iran_june_2025,2025-06-25,4.94464864278142e-07,3.4393971689888434e-08,4.624489952990208e-07,4.586395062064754e-07
iran_june_2025,2025-06-26,6.434432334065484e-07,4.1737922282493946e-08,4.91329513940544e-07,4.883666191122045e-07
iran_june_2025,2025-06-27,5.68587177924499e-07,2.2991868132248143e-08,7.317575244629286e-07,7.253973505096488e-07
iran_june_2025,2025-06-30,3.165003114216693e-07,5.690181040266565e-08,6.899810236682102e-07,6.847668006403233e-07
iran_march_2026,2026-03-02,3.100343308295129e-06,6.339325339625697e-07,2.456452454336344e-06,2.45002826992699e-06
iran_march_2026,2026-03-04,4.9333314633693844e-06,4.5300527716834687e-07,3.404785433921633e-06,3.3882841246084494e-06
