window,date,PINN_boundary,PINN_success,SH_success,SH_boundary,SH_converged_near_best,neural_RMSE_forward,SH_quadrature_max_gap
covid_march_2020,2020-03-02,True,True,True,True,4,1.0828613764347084e-05,0.0
covid_march_2020,2020-03-03,True,True,True,True,4,1.1394175387286594e-05,1.3886892635817105e-07
covid_march_2020,2020-03-04,True,True,True,True,4,9.103487996780076e-06,0.0
covid_march_2020,2020-03-05,True,True,True,True,4,8.78145137773319e-06,3.871880593919741e-11
covid_march_2020,2020-03-06,True,True,True,True,4,8.298344191128267e-06,0.0
covid_march_2020,2020-03-09,True,True,True,True,4,1.6796888362505492e-05,0.0
covid_march_2020,2020-03-11,True,True,True,True,4,1.4068426835518414e-05,0.0
covid_march_2020,2020-03-12,True,True,True,True,4,7.311136047991225e-06,2.2738559923851653e-09
covid_march_2020,2020-03-13,True,True,True,True,4,2.263953832680692e-05,1.9701196229959805e-10
covid_march_2020,2020-03-16,True,True,True,True,4,1.4376760290086453e-05,2.777950647292471e-09
covid_march_2020,2020-03-17,True,True,True,True,4,1.4762240203535903e-05,0.0
covid_march_2020,2020-03-18,True,True,True,True,4,1.7452780594509642e-05,0.0
covid_march_2020,2020-03-19,True,True,True,True,4,1.7830395211985012e-05,0.0
covid_march_2020,2020-03-20,True,True,True,True,4,2.3135845995228808e-05,0.0
covid_march_2020,2020-03-23,True,True,True,True,4,2.019014530189092e-05,0.0
covid_march_2020,2020-03-24,True,True,True,True,4,2.1894541712007477e-05,0.0
covid_march_2020,2020-03-25,True,True,True,True,4,2.157509073406409e-05,5.38416422557475e-10
covid_march_2020,2020-03-26,True,True,True,True,4,2.3214815066428977e-05,0.0
covid_march_2020,2020-03-27,True,True,True,True,4,2.269012668041235e-05,7.553402570081857e-09
covid_march_2020,2020-03-30,True,True,True,True,4,2.3607812458059237e-05,0.0
covid_march_2020,2020-03-31,True,True,True,True,4,2.1643994894411293e-05,0.0
iran_june_2025,2025-06-02,True,True,True,False,4,6.653426982638446e-06,0.0
iran_june_2025,2025-06-03,True,True,True,False,4,7.283504393500913e-06,0.0
iran_june_2025,2025-06-04,True,True,True,True,4,7.450520518273623e-06,0.0
iran_june_2025,2025-06-05,True,True,True,False,4,6.423827426556409e-06,0.0
iran_june_2025,2025-06-06,True,True,True,False,4,5.938711890356962e-06,0.0
iran_june_2025,2025-06-09,True,True,True,False,4,7.4630093192330035e-06,0.0
iran_june_2025,2025-06-10,True,True,True,False,4,7.4193525885687945e-06,9.71744018585241e-10
iran_june_2025,2025-06-11,True,True,True,False,4,6.9348679358211024e-06,7.91399901167722e-09
iran_june_2025,2025-06-12,True,True,True,False,4,8.286295131953534e-06,0.0
iran_june_2025,2025-06-13,True,True,True,True,4,7.922368594642333e-06,0.0
iran_june_2025,2025-06-16,True,True,True,True,4,7.186100578993802e-06,2.556861278257827e-09
iran_june_2025,2025-06-17,True,True,True,True,4,8.52675736125622e-06,1.8117435329756404e-09
iran_june_2025,2025-06-18,True,True,True,True,4,8.064075405215649e-06,4.0255681010847866e-09
iran_june_2025,2025-06-19,True,True,True,True,4,8.103258632764214e-06,1.2016849071372349e-08
iran_june_2025,2025-06-20,True,True,True,True,4,7.027997926311198e-06,1.8649234378997903e-09
iran_june_2025,2025-06-23,True,True,True,True,4,6.749632538857584e-06,2.3334194923507745e-09
iran_june_2025,2025-06-24,True,True,True,True,4,7.0228044250120035e-06,0.0
iran_june_2025,2025-06-25,True,True,True,True,4,7.466893930504272e-06,4.106813111803831e-09
iran_june_2025,2025-06-26,True,True,True,True,4,7.40660176972389e-06,1.5888673043917834e-08
iran_june_2025,2025-06-27,True,True,True,True,4,8.920200695675632e-06,1.2336712762461843e-09
iran_june_2025,2025-06-30,True,True,True,True,4,8.580605549457382e-06,1.6368784105935674e-10
iran_march_2026,2026-03-02,True,True,True,True,4,1.0031115072590578e-05,0.0
iran_march_2026,2026-03-04,True,True,True,True,4,1.0252487610121101e-05,1.3880536720023429e-09
iran_march_2026,2026-03-05,True,True,True,True,4,9.127697182542992e-06,4.067690295705972e-09
iran_march_2026,2026-03-06,True,True,True,True,4,9.675776830409618e-06,4.820208676648008e-10
iran_march_2026,2026-03-09,True,True,True,True,4,1.3000056387472952e-05,2.8983726529929754e-10
iran_march_2026,2026-03-10,True,True,True,True,4,9.469861276870722e-06,0.0
iran_march_2026,2026-03-11,True,True,True,True,4,1.0301118407802169e-05,0.0
iran_march_2026,2026-03-12,True,True,True,True,4,1.1356869195883542e-05,0.0
iran_march_2026,2026-03-13,True,True,True,True,4,1.217193640120007e-05,0.0
iran_march_2026,2026-03-16,True,True,True,True,4,1.309635075735069e-05,0.0
iran_march_2026,2026-03-17,True,True,True,True,4,1.0743441662351e-05,0.0
iran_march_2026,2026-03-18,True,True,True,True,4,9.925053981903048e-06,0.0
iran_march_2026,2026-03-19,True,True,True,True,4,1.0919679970464991e-05,0.0
iran_march_2026,2026-03-20,True,True,True,True,4,1.209073315201035e-05,0.0
iran_march_2026,2026-03-23,True,True,True,False,4,2.408111150145521e-05,0.0
iran_march_2026,2026-03-24,True,True,True,True,4,1.3958196940961871e-05,0.0
iran_march_2026,2026-03-25,True,True,True,True,4,1.2906978321283155e-05,0.0
iran_march_2026,2026-03-27,True,True,True,True,4,1.5710404370756423e-05,0.0
iran_march_2026,2026-03-30,True,True,True,True,4,1.3670064478737384e-05,0.0
