case,family,bucket,model,quotes,price_RMSE
BASE_random_00,BASE,all,DH_PINN,1006,1.2160216400073554e-05
BASE_random_00,BASE,all,SH,1006,0.0004957524521056846
BASE_random_00,BASE,all,BS,1006,0.0011137913200252934
BASE_random_00,BASE,7-30d,DH_PINN,335,2.796548671845211e-06
BASE_random_00,BASE,7-30d,SH,335,0.00020636707531349583
BASE_random_00,BASE,7-30d,BS,335,0.00029083118668208133
BASE_random_00,BASE,30-90d,DH_PINN,213,5.146684037372117e-06
BASE_random_00,BASE,30-90d,SH,213,0.0005426176096685182
BASE_random_00,BASE,30-90d,BS,213,0.0008462899255686301
BASE_random_00,BASE,90-365d,DH_PINN,306,1.112472449312817e-05
BASE_random_00,BASE,90-365d,SH,306,0.0005566127193349855
BASE_random_00,BASE,90-365d,BS,306,0.0015717002507377666
BASE_random_00,BASE,365-730d,DH_PINN,152,2.598402005621902e-05
BASE_random_00,BASE,365-730d,SH,152,0.0007045888655853542
BASE_random_00,BASE,365-730d,BS,152,0.00143084694448353
BASE_random_01,BASE,all,DH_PINN,1006,8.775755728711654e-06
BASE_random_01,BASE,all,SH,1006,0.000719681890238226
BASE_random_01,BASE,all,BS,1006,0.0015854840187254358
BASE_random_01,BASE,7-30d,DH_PINN,335,4.155805646289668e-06
BASE_random_01,BASE,7-30d,SH,335,0.0003224486022800362
BASE_random_01,BASE,7-30d,BS,335,0.0004636214064920612
BASE_random_01,BASE,30-90d,DH_PINN,213,8.150507835927382e-06
BASE_random_01,BASE,30-90d,SH,213,0.0008246306063402539
BASE_random_01,BASE,30-90d,BS,213,0.001367730896845116
BASE_random_01,BASE,90-365d,DH_PINN,306,7.695463212798568e-06
BASE_random_01,BASE,90-365d,SH,306,0.0007453351301923074
BASE_random_01,BASE,90-365d,BS,306,0.002297220299536869
BASE_random_01,BASE,365-730d,DH_PINN,152,1.6103930073225767e-05
BASE_random_01,BASE,365-730d,SH,152,0.0010618531223177137
BASE_random_01,BASE,365-730d,BS,152,0.0017082413615256092
BASE_random_02,BASE,all,DH_PINN,1006,9.6795769503998e-06
BASE_random_02,BASE,all,SH,1006,0.0005640171489455842
BASE_random_02,BASE,all,BS,1006,0.0012603133282530516
BASE_random_02,BASE,7-30d,DH_PINN,335,3.1564755953994047e-06
BASE_random_02,BASE,7-30d,SH,335,0.00023974305489940186
BASE_random_02,BASE,7-30d,BS,335,0.000338093083451647
BASE_random_02,BASE,30-90d,DH_PINN,213,5.664998596882785e-06
BASE_random_02,BASE,30-90d,SH,213,0.0006255337231446887
BASE_random_02,BASE,30-90d,BS,213,0.0009931053735863175
BASE_random_02,BASE,90-365d,DH_PINN,306,7.677522021076747e-06
BASE_random_02,BASE,90-365d,SH,306,0.0006186159418650602
BASE_random_02,BASE,90-365d,BS,306,0.0017995668756626258
BASE_random_02,BASE,365-730d,DH_PINN,152,2.0844986615834023e-05
BASE_random_02,BASE,365-730d,SH,152,0.0008124128390623669
BASE_random_02,BASE,365-730d,BS,152,0.00153595345619779
BASE_random_03,BASE,all,DH_PINN,1006,1.002410031107138e-05
BASE_random_03,BASE,all,SH,1006,0.0008596523588817253
BASE_random_03,BASE,all,BS,1006,0.001867970854626292
BASE_random_03,BASE,7-30d,DH_PINN,335,5.475380375930828e-06
BASE_random_03,BASE,7-30d,SH,335,0.00040597163582654455
BASE_random_03,BASE,7-30d,BS,335,0.0005982077752311433
BASE_random_03,BASE,30-90d,DH_PINN,213,1.202295973948314e-05
BASE_random_03,BASE,30-90d,SH,213,0.0010166693828525483
BASE_random_03,BASE,30-90d,BS,213,0.0017558970511129684
BASE_random_03,BASE,90-365d,DH_PINN,306,8.188638174977458e-06
BASE_random_03,BASE,90-365d,SH,306,0.0008417488084225073
BASE_random_03,BASE,90-365d,BS,306,0.0027048012061809427
BASE_random_03,BASE,365-730d,DH_PINN,152,1.616817639379611e-05
BASE_random_03,BASE,365-730d,SH,152,0.001285674971769401
BASE_random_03,BASE,365-730d,BS,152,0.0018045514042485944
BASE_random_04,BASE,all,DH_PINN,1006,9.041833953499396e-06
BASE_random_04,BASE,all,SH,1006,0.0007524451763142524
BASE_random_04,BASE,all,BS,1006,0.0016523919041559116
BASE_random_04,BASE,7-30d,DH_PINN,335,4.416988832856996e-06
BASE_random_04,BASE,7-30d,SH,335,0.0003411585779537479
BASE_random_04,BASE,7-30d,BS,335,0.0004931939320859291
BASE_random_04,BASE,30-90d,DH_PINN,213,8.864176229824479e-06
BASE_random_04,BASE,30-90d,SH,213,0.0008684649466040678
BASE_random_04,BASE,30-90d,BS,213,0.0014541565086321616
BASE_random_04,BASE,90-365d,DH_PINN,306,8.07085821282262e-06
BASE_random_04,BASE,90-365d,SH,306,0.000769397891778609
BASE_random_04,BASE,90-365d,BS,306,0.0023964519418610926
BASE_random_04,BASE,365-730d,DH_PINN,152,1.6026472904659248e-05
BASE_random_04,BASE,365-730d,SH,152,0.001114454546223466
BASE_random_04,BASE,365-730d,BS,152,0.001734972686725557
BASE_random_05,BASE,all,DH_PINN,1006,1.0115415863838663e-05
BASE_random_05,BASE,all,SH,1006,0.0008649607683116747
