evaluation,loss,teacher,iv,pde,convexity
1,1.199006360347128,1.1626300182163079e-10,2.6263844409807776e-06,0.0002517525636798625,1.8186799422287577e-06
2,27.86411804980588,1.0750127934801159e-08,2.81729378005894e-06,0.00028447458451186117,1.8327639291944965e-06
3,1.198213710213131,1.1593237924077385e-10,2.6262268555583396e-06,0.0002518258663460084,1.8187560311432296e-06
4,1.1981003367387095,1.1590111059824826e-10,2.6262524852745726e-06,0.0002517842570492524,1.8187519325356632e-06
5,1.1974259266398035,1.1573527427699001e-10,2.6264862491041937e-06,0.00025146599679977557,1.818715045752187e-06
6,1.1965440754947578,1.1571758302435306e-10,2.626546411880411e-06,0.0002506133330901294,1.8187364307575582e-06
7,1.1950611503878372,1.154493341342621e-10,2.6269939916415537e-06,0.00024968913525714873,1.8188464491306083e-06
8,1.1943743546814543,1.1559928831008116e-10,2.626442014602919e-06,0.0002487654483513367,1.8190418513154882e-06
9,1.193985605370799,1.1542799782480318e-10,2.6265358353870295e-06,0.0002487814700573165,1.8190471704357051e-06
10,1.193751419928062,1.1535042824842658e-10,2.626474402769629e-06,0.00024875656670757024,1.8190701819401312e-06
11,1.193581005134657,1.1533934635413586e-10,2.6263777236564096e-06,0.00024863802642715335,1.819080615975569e-06
12,1.1932452456189102,1.1532440383002742e-10,2.626272053065556e-06,0.0002483660408716785,1.8190577398440357e-06
13,1.1925592047339963,1.1529479933909255e-10,2.626141927640674e-06,0.0002477865425785433,1.8189755323999739e-06
14,1.1916120479059442,1.1527032958602267e-10,2.6258946981536723e-06,0.0002469623675081387,1.8189433067050137e-06
15,1.190717215297648,1.153174021560111e-10,2.625782634614472e-06,0.00024597786938946274,1.8186453959750597e-06
16,1.1894591849943055,1.1513673098390585e-10,2.6252326567165553e-06,0.0002453090114635318,1.8189187015934919e-06
17,1.1887435229236538,1.150006863168866e-10,2.6248937996468843e-06,0.000245018175307735,1.819119811667717e-06
18,1.1882554191123444,1.1491704684901964e-10,2.6246286250371295e-06,0.0002448054638047429,1.8192577012873249e-06
