evaluation,loss,teacher,iv,pde,convexity
1,1.2680814488396834,1.0591935682800138e-10,2.6179607051575742e-06,0.00034879269916960004,1.8131068649470228e-06
2,178.01189819866923,6.968616560607433e-08,3.5491535064264645e-06,0.002909195623997802,1.828790300328406e-06
3,1.2667481085662953,1.0580730213610934e-10,2.617803475750234e-06,0.0003477788029735507,1.8131491280513812e-06
4,1.2654727655403313,1.0570103311875297e-10,2.6177942021430385e-06,0.00034677145089157603,1.8131611310974998e-06
5,1.2597142188003376,1.064794416970638e-10,2.6177884842566255e-06,0.00033906831216660185,1.8132692011802321e-06
6,1.2538295572505787,1.0614863041434822e-10,2.6176390524017278e-06,0.00033404803677328926,1.8134098678499012e-06
7,1.2334870909598905,1.0772811045521831e-10,2.614858445751569e-06,0.00031045202195856476,1.8142538770092771e-06
8,1.2217304913673543,1.0844111155389915e-10,2.6136827921550412e-06,0.0002972068330409399,1.8140290647853186e-06
9,1.2068365246852237,1.090944582587388e-10,2.6117754053399086e-06,0.0002811563463123476,1.8139105209043463e-06
10,1.185980639636132,1.1151519760988962e-10,2.6080793661564944e-06,0.0002551726227151271,1.8135715737157056e-06
11,1.183320571327364,1.1153854420396777e-10,2.6093497000342545e-06,0.00025213660451143405,1.8129744704632112e-06
12,1.1790004909823955,1.1032571227916513e-10,2.608640048435735e-06,0.00025102601685951124,1.8131603784243715e-06
13,1.1738074065329855,1.0930425693473957e-10,2.6081986779938158e-06,0.0002484969133527774,1.8134490545937645e-06
14,1.1698525089048006,1.0881693687746444e-10,2.6083964643288294e-06,0.0002457108692547644,1.8137416790768896e-06
15,1.1653465246849881,1.080718805233052e-10,2.608912941343121e-06,0.00024293840661999955,1.8142094529576473e-06
16,1.163630066025589,1.0817743321219757e-10,2.609517574210528e-06,0.00024080690794778297,1.814946798617147e-06
17,1.1619267180465331,1.076263383441104e-10,2.609694090037506e-06,0.00024043716817972668,1.814971538956683e-06
18,1.1614338885511613,1.0747236876063789e-10,2.6095372569992213e-06,0.00024036847089682726,1.815029340292897e-06
19,1.160494961525686,1.0724939286727688e-10,2.6091416022541184e-06,0.00024008589726053469,1.8153342983217096e-06
20,1.1594180043485185,1.0698340075648044e-10,2.608667232419011e-06,0.00023979251277509253,1.8157747214276086e-06
21,1.1586735398506696,1.0698851534827852e-10,2.608442038190405e-06,0.0002390915602907865,1.816415855446992e-06
22,1.157913224201995,1.068044634540001e-10,2.6083541452212305e-06,0.0002388133476038425,1.8165784449058668e-06
23,1.157403167479677,1.0668691573968215e-10,2.608485698021607e-06,0.00023856427196360732,1.816614625720754e-06
24,1.1565217437079074,1.0649585397711576e-10,2.608810832156135e-06,0.00023807921905495978,1.8167112449988806e-06
