step,total_loss,seconds,teacher,iv,pde,convexity,weight_teacher,weight_iv,weight_pde,weight_convexity,terminal_loss,boundary_penalty_active
1,0.6853763069365405,0.8856982919999723,1.0938485464953383e-10,8.027336365529413e-07,0.00021123076117447064,0.0,1.0,1.0,1.0,1.0,0.0,False
101,0.9029494728093412,8.033471583999983,1.1503839488695645e-10,1.5791037035870796e-06,0.00022057691540163546,6.44293544887901e-06,1.0,1.0,1.0,1.0,0.0,False
201,1.041810708100824,15.258335666999983,1.0094267649258764e-10,9.842969139534438e-07,0.0005433796347748127,1.5360618135501965e-06,1.0,1.0,1.0,1.0,0.0,False
301,0.9764354667404036,22.429757791999975,1.1814213846835923e-10,1.003791651947134e-06,0.00043013205740117854,1.501815435851757e-06,1.0,1.0,1.0,1.0,0.0,False
401,1.0963220386898986,29.54234649999995,9.870953049960935e-11,1.6811650032878069e-06,0.00042925696161892374,0.0,1.0,1.0,1.0,1.0,0.0,False
501,2.4476760329662417,36.759704166999995,1.0628119987439468e-10,4.164896351956716e-06,0.0011407489452910757,0.0,1.0,1.0,1.0,1.0,0.0,False
601,0.989557700548744,44.011287083999946,1.0368573693717912e-10,8.910267444183053e-07,0.0005075866721012199,0.0,1.0,1.0,1.0,1.0,0.0,False
701,0.9834181671235915,51.25263049999995,9.08169863594635e-11,1.835779537987401e-06,0.00029743081672808263,0.0,1.0,1.0,1.0,1.0,0.0,False
801,1.6763983040125212,58.57085283399999,9.324409040780136e-11,3.573290149555453e-06,0.0005499655406041547,0.0,1.0,1.0,1.0,1.0,0.0,False
901,0.832403624537042,65.87406487499999,1.2201889645321127e-10,1.612215542994817e-06,0.00012430249765530967,0.0,1.0,1.0,1.0,1.0,0.0,False
1001,10.097445242344621,73.15013112499997,1.2623297876790626e-10,1.1050523491047802e-06,0.00950559970814866,0.0,1.0,1.0,1.0,1.0,0.0,False
1101,2.532317024300454,80.576444584,9.875395907272671e-11,7.942310517706087e-07,0.0020868742681629127,9.55130726895807e-07,1.0,1.0,1.0,1.0,0.0,False
1201,6.52025298325838,87.56653054199995,1.0574590095667147e-10,2.4131077937303746e-05,0.00022311874654076474,0.0,1.0,1.0,1.0,1.0,0.0,False
1301,1.728401022801112,94.32119849999998,1.1933513925827687e-10,4.81793240219866e-06,0.0002255799004283359,1.7367741895165428e-06,1.0,1.0,1.0,1.0,0.0,False
1401,1.266545054941525,101.03854041699998,1.1271133286495172e-10,3.1719933588786986e-06,0.00019176831919723942,6.38622317633883e-07,1.0,1.0,1.0,1.0,0.0,False
1501,2.098301184349387,108.16107583399997,1.1342935480352394e-10,6.341668201342037e-07,0.0016561860923070264,0.0,1.0,1.0,1.0,1.0,0.0,False
1601,0.857787245648197,115.04374379199999,9.614988775313018e-11,1.3512535075284868e-06,0.00027959914938324997,0.0,1.0,1.0,1.0,1.0,0.0,False
1701,1.5373766299923886,121.765315542,9.207811455677845e-11,1.94288610164837e-06,0.0008214596081399391,2.100484107708488e-06,1.0,1.0,1.0,1.0,0.0,False
1801,1.2017696089424967,128.43670670899996,1.08416911571205e-10,6.222845996226203e-07,0.0007751561801088292,0.0,1.0,1.0,1.0,1.0,0.0,False
1901,4.697211393747208,135.04365266699995,1.0053720571002986e-10,1.3400132179277576e-05,0.0010958352561760702,7.847667014865821e-07,1.0,1.0,1.0,1.0,0.0,False
2000,1.0321532895979992,142.004150375,1.0435174540347771e-10,2.4402693830706258e-06,0.0001612065803216486,0.0,1.0,1.0,1.0,1.0,0.0,False
