evaluation,loss,teacher,iv,pde,convexity
1,13.78839439769691,1.5561011586936702e-10,4.877626164785724e-06,0.0009052757487479804,1.8917867711608293e-06
2,42.550062347405586,1.3146966744495626e-08,5.171790549682327e-06,0.003457543368117933,1.8849677518496227e-06
3,13.786591270316622,1.5539780186840328e-10,4.877585661353258e-06,0.0009040139915400828,1.8917345651753046e-06
4,13.784870489636278,1.550909504932601e-10,4.877451576050009e-06,0.0009032518668468312,1.8916814868036894e-06
5,13.780447532670344,1.5477989134968355e-10,4.877151071454683e-06,0.0009002629405572002,1.891354543621135e-06
6,13.778073825442924,1.5475930842853997e-10,4.877132944711745e-06,0.000898015046144467,1.891069299019893e-06
7,13.771013073861909,1.5510978510804635e-10,4.877077872674481e-06,0.0008905399599617092,1.8900104688495878e-06
8,13.762815784086555,1.5585673841072338e-10,4.876628322282204e-06,0.0008821842064525201,1.8884524822496854e-06
9,13.76245350634849,1.6450585093998453e-10,4.876969897138439e-06,0.0008643354430984292,1.8845897106982868e-06
10,13.756868245877602,1.5782125687121643e-10,4.8767054997533155e-06,0.0008723655950586436,1.8865004088815708e-06
11,13.74916498731696,1.5807611907951444e-10,4.876805674047249e-06,0.0008640496748911022,1.8848758614974438e-06
12,13.743502970957278,1.5842433581077538e-10,4.87668608481365e-06,0.0008581172435368242,1.8836066300861786e-06
13,13.73665099540775,1.583294307950116e-10,4.877087054825107e-06,0.0008505489796781867,1.8817225293308329e-06
14,13.727023192158292,1.5986906493908002e-10,4.877255221602774e-06,0.0008376991199514452,1.8782161257728697e-06
15,13.717367470116821,1.583450704889631e-10,4.878325199990406e-06,0.0008284283219330324,1.875431696120484e-06
16,13.704159554562004,1.5650261792551045e-10,4.879726386924445e-06,0.0008154393595691831,1.8710851531825835e-06
17,13.694339451380891,1.5551182758591908e-10,4.879705295937746e-06,0.0008077443583287486,1.8677221581185122e-06
18,13.684623665210355,1.5562407512441213e-10,4.8786015250058256e-06,0.0008007725451007017,1.8635974773371186e-06
19,13.684396564594909,1.5928197229899944e-10,4.877061205550423e-06,0.0007974169533113821,1.859480719271408e-06
20,13.68073621329438,1.5604668409020784e-10,4.8777079579522385e-06,0.0007984011195086215,1.8615147415714267e-06
21,13.674902941067248,1.5582877783989477e-10,4.876439062305038e-06,0.0007962986197726674,1.8595655017939948e-06
22,13.668838598411405,1.5519776088455644e-10,4.875061748567123e-06,0.0007950376798168984,1.857639527747911e-06
23,13.663789492432008,1.549667406073223e-10,4.873483179723959e-06,0.0007945152858492041,1.8554739857518216e-06
24,13.657791884807901,1.543003082671975e-10,4.872286204533641e-06,0.0007929314357673716,1.8534286611463078e-06
25,13.650090455385618,1.5442669782878488e-10,4.870427383162761e-06,0.0007898242527978861,1.8510482228106098e-06
26,13.642105395078676,1.5888292468901243e-10,4.865277492722775e-06,0.0007864468083550046,1.8476353088759776e-06
27,13.636137462761663,1.6142582782552892e-10,4.861277359772402e-06,0.0007858194934967863,1.844699596552668e-06
28,13.633303489519562,1.5937486955658866e-10,4.861929920902367e-06,0.0007853244241009246,1.8460318240747757e-06
29,13.632218981265913,1.5939105544675756e-10,4.861506778357895e-06,0.0007852985810679061,1.8464218330054557e-06
30,13.630122746246716,1.5970307800627927e-10,4.860454959680133e-06,0.0007853012015832528,1.8465645469671214e-06
31,13.621683736126588,1.607415036204558e-10,4.856562673620531e-06,0.0007848640953761724,1.8466496893334307e-06
32,13.630771284201144,1.7013374453010694e-10,4.849302943836478e-06,0.0007941215068540847,1.8463630334813032e-06
33,13.618074473355806,1.6200060812179097e-10,4.853770112134753e-06,0.0007859660132000319,1.8465511208507728e-06
34,13.609755685158962,1.6423325102326896e-10,4.848717800126367e-06,0.0007862882693666796,1.846620202793448e-06
35,13.604980791850537,1.647167353246441e-10,4.846302581005856e-06,0.0007867801026829383,1.8470874006754799e-06
36,13.603470183682557,1.6885671884188174e-10,4.843091733577104e-06,0.0007854655992474318,1.8471575017730418e-06
37,13.596708546826976,1.6448007735221986e-10,4.843874094159253e-06,0.0007852520884548647,1.847624936415609e-06
38,13.592828562914226,1.6336042567992207e-10,4.843262478085942e-06,0.0007851391138547043,1.848094276454078e-06
39,13.583546525543586,1.639860447946585e-10,4.838985269433669e-06,0.0007856415051082962,1.8497065680262e-06
40,13.576210319621133,1.6721413806796574e-10,4.832853332019561e-06,0.0007877493878126094,1.8511764391060887e-06
41,13.570843789808501,1.7311897952778205e-10,4.825559039632453e-06,0.0007895903993666505,1.8539541146064129e-06
42,13.561063783246416,1.732013651137409e-10,4.82104081589348e-06,0.0007912578682769801,1.8551555732993522e-06
43,13.554229077323404,1.7313155928295572e-10,4.81835922752779e-06,0.0007914630109424134,1.8565197659414923e-06
44,13.547311612007668,1.738526370729921e-10,4.815047002940165e-06,0.0007916630349606903,1.859010194094299e-06
45,13.53748395852185,1.7534796299949127e-10,4.810616930572691e-06,0.0007903441164702314,1.863083640174513e-06
46,13.526727172948116,1.774531276487395e-10,4.804214300732985e-06,0.0007919337399630529,1.869671128319246e-06
47,13.520188910939797,1.7937857233624068e-10,4.800419011836565e-06,0.0007914142038689378,1.8740501216238326e-06
48,13.514912702522027,1.7659486002611817e-10,4.801251560671212e-06,0.0007894714144890604,1.8740516306827495e-06
49,13.516641485697372,1.7966208512202833e-10,4.799263592119399e-06,0.0007903074168164474,1.872689963787978e-06
50,13.513043357278347,1.7683816450260867e-10,4.800384512728938e-06,0.0007893613596692307,1.8734825527503557e-06
51,13.510883770752553,1.7774710015664825e-10,4.7988481833550005e-06,0.0007893808725692363,1.87418276573867e-06
52,13.509858391249004,1.781053824907722e-10,4.798125882902811e-06,0.0007895129103703345,1.8744215318369192e-06
53,13.507577322202946,1.7938736822938178e-10,4.7959876778589545e-06,0.0007902197013836677,1.8751074336210458e-06
54,13.503463815866493,1.8137228298072666e-10,4.792609406917603e-06,0.0007909135339708334,1.8765542456502493e-06
55,13.494468794528903,1.8501940654011423e-10,4.786046636846688e-06,0.0007916760351808456,1.8797642185011299e-06
56,13.492068332027504,1.9243302554489485e-10,4.777562563214811e-06,0.0007965444797622314,1.8885422348738048e-06
57,13.479424863347308,1.9013921249799989e-10,4.7762527305865955e-06,0.0007918420948759678,1.887232231076486e-06
58,13.476158982145293,1.88015589850544e-10,4.777465172657114e-06,0.0007896446012887007,1.8870800637820379e-06
59,13.473895959058344,1.8731378594494841e-10,4.777605690481377e-06,0.0007884134788871829,1.8883041796241767e-06
60,13.471539639150553,1.8616196058698577e-10,4.778012877369637e-06,0.0007872806309487397,1.8893757930198303e-06
61,13.465979157508206,1.8577664297483108e-10,4.776697335975789e-06,0.0007858862325357647,1.8921904892067753e-06
62,13.460584289914987,1.8645571867888193e-10,4.775256162897615e-06,0.0007829264346405694,1.8952242563684233e-06
63,13.454046989738147,1.895578181253488e-10,4.770610340151158e-06,0.0007822991933996827,1.8984717835983097e-06
64,13.449164568341473,1.9231521432539595e-10,4.766697715611314e-06,0.0007821050163342332,1.8991545094460431e-06
65,13.444048061156623,1.945682477112529e-10,4.7625150206583746e-06,0.0007833341511651277,1.899621337688189e-06
66,13.438821182638533,1.9536925309422784e-10,4.759946391970841e-06,0.0007831596667833695,1.9011166720841748e-06
67,13.430797821513401,1.9700619860318177e-10,4.756672780788716e-06,0.0007804140830938128,1.9047073715148289e-06
68,13.42658394849124,1.9653354302266896e-10,4.756362076755187e-06,0.000777967177639139,1.9063306515296224e-06
69,13.418906512210958,1.9709373396954247e-10,4.754290774417083e-06,0.0007745875788116144,1.909887531125648e-06
70,13.417643387436271,1.9406726871553024e-10,4.75748695272131e-06,0.0007710719111693943,1.9113741083796725e-06
71,13.407477605333543,1.9398203168604724e-10,4.75358527932813e-06,0.0007711213796323571,1.912968678777058e-06
72,13.404141418658215,1.9524839250782068e-10,4.7510597331720015e-06,0.000771801729517983,1.913333968384218e-06
73,13.401766114528145,1.9629720285288146e-10,4.748620790860376e-06,0.0007736255962573568,1.9149177426351124e-06
74,13.398648821435323,1.9451650371292202e-10,4.749376109152619e-06,0.0007720722836535914,1.9148438122388277e-06
75,13.396740680974904,1.9385776483784407e-10,4.74950109439027e-06,0.0007711465464684632,1.915492463844136e-06
76,13.394412056926454,1.932842918633222e-10,4.749430884344963e-06,0.0007701377622248615,1.916886281526601e-06
77,13.391229202546175,1.925290349855399e-10,4.7490554821574355e-06,0.0007694114563947282,1.9184750235430414e-06
78,13.383198806230318,1.900349981341284e-10,4.7486283937176916e-06,0.0007673936529831935,1.920555352646739e-06
79,13.389541011264786,1.903629433844115e-10,4.74650893822159e-06,0.0007783638016450735,1.9258673012615175e-06
80,13.378550296791186,1.8809859190004087e-10,4.747683822998747e-06,0.0007689384196548649,1.922679077351635e-06
81,13.369590301376716,1.858894083284113e-10,4.747205665958829e-06,0.0007655884910618136,1.9239152794917674e-06
82,13.364287645737633,1.853132257447609e-10,4.746212180330306e-06,0.0007639990639087672,1.9239925363985325e-06
83,13.354692281410648,1.851267393362498e-10,4.743543420595272e-06,0.0007616823094202295,1.9249544468653576e-06
84,13.344184148290417,1.869751122234513e-10,4.739060979594231e-06,0.0007591483407156577,1.928584896560977e-06
85,13.333560818064523,1.8855279159156075e-10,4.734559003040884e-06,0.0007570709998629751,1.9318078337789584e-06
86,13.323584479174796,1.8878803325866767e-10,4.731152177588282e-06,0.0007554376768204782,1.9336330577089886e-06
87,13.315631583985278,1.9034012375287088e-10,4.727723931245779e-06,0.0007533160126141764,1.936274607198874e-06
