evaluation,loss,teacher,iv,pde,convexity
1,16.04606271925294,1.676402469401174e-10,4.905664873488189e-06,0.0009489454610126316,1.8918578631126295e-06
2,70.28279016069204,2.5494583572414202e-08,5.3485206529077394e-06,0.0035784541390724315,1.8831393901476075e-06
3,16.043942463362345,1.6712841781324306e-10,4.905639245654458e-06,0.0009477547494318284,1.8918053900967563e-06
4,16.042475661173604,1.6687931100001108e-10,4.905502920025207e-06,0.0009471066070013564,1.8917567324374696e-06
5,16.03518092657124,1.662271571474732e-10,4.904727865415715e-06,0.000942856960783488,1.891190543787913e-06
6,16.0318767536779,1.661179606117374e-10,4.9044370006897385e-06,0.0009402834038433918,1.8907479889833925e-06
7,16.02149469190922,1.6644621119315615e-10,4.9032854673122655e-06,0.0009314716575624022,1.8888761565047812e-06
8,16.012360332017494,1.6846834584632605e-10,4.9024757399912185e-06,0.0009189472501161006,1.8859149146596963e-06
9,16.00153599931246,1.69850913767382e-10,4.901890365101573e-06,0.0009051462384437894,1.882630964497746e-06
10,15.992313221265292,1.7048523122356566e-10,4.900885122023085e-06,0.0008964548581551656,1.8802806678518325e-06
11,15.984224705683275,1.7017021834371914e-10,4.900652059183237e-06,0.000888566587127424,1.8778436111108677e-06
12,15.972491270475505,1.700721906156918e-10,4.90024094649535e-06,0.0008765441537908292,1.8739534314945958e-06
13,15.953580985225772,1.6849485325330605e-10,4.900771674287693e-06,0.0008562495355517759,1.8659714630257322e-06
14,15.940560835470436,1.685565915768822e-10,4.901946756988565e-06,0.0008367212759509909,1.8569869994924388e-06
15,15.92758569811608,1.6630329925705005e-10,4.90132448794303e-06,0.0008290328415480012,1.851541716586697e-06
16,15.922904914522736,1.649592271091118e-10,4.900313165547688e-06,0.0008302926328342247,1.8520327290995506e-06
17,15.915397854274795,1.64029330064251e-10,4.898430450880957e-06,0.0008303746320976492,1.851294337647545e-06
18,15.90516886577023,1.636750478083622e-10,4.896535978081294e-06,0.0008259729415240384,1.8476343318266927e-06
19,15.905596979760519,1.7274420439883536e-10,4.892254577678023e-06,0.0008204776480489871,1.8372005917799753e-06
20,15.897713244888893,1.652032259868805e-10,4.894084258227415e-06,0.0008223912533309349,1.8425321271110756e-06
21,15.887223465743093,1.6394014595847688e-10,4.8934312087719885e-06,0.0008154026318824962,1.8360070327422297e-06
22,15.881032995957352,1.6247085612638168e-10,4.893429312667025e-06,0.0008116087121543093,1.8316190184872709e-06
23,15.872161706519618,1.61128965658588e-10,4.892426970881705e-06,0.0008079349700695791,1.8266061110915184e-06
24,15.858856263162863,1.618942957928907e-10,4.888530874626214e-06,0.0008044258941739831,1.8208951156229251e-06
25,16.022557937689403,2.532333368509098e-10,4.880802116741805e-06,0.0008097322828113135,1.8154251191841583e-06
26,15.857672994795577,1.625564512981401e-10,4.8877848676380744e-06,0.0008041435961316146,1.8204728451234716e-06
27,15.847543509436049,1.6548119364941264e-10,4.882553394795415e-06,0.0008040392724462319,1.8175928513217679e-06
28,15.832922849653539,1.6781813189014517e-10,4.875977293397259e-06,0.0008048321730031096,1.8163915121501995e-06
29,15.812815560750899,1.7233972264374672e-10,4.864619526436615e-06,0.0008110787726698476,1.8169134645361628e-06
30,15.800299801715669,1.7438053465708747e-10,4.858046642374945e-06,0.0008150116830845297,1.8173456628597414e-06
31,15.79350159023533,1.7611072363735498e-10,4.854196051290276e-06,0.0008166904569696703,1.8194130060889523e-06
32,15.797038104246797,1.8599547503335855e-10,4.848632628490214e-06,0.0008174713343903214,1.8217330680823538e-06
33,15.790335954110866,1.7806333705909356e-10,4.851836755592661e-06,0.0008168019305035139,1.8203639852561988e-06
34,15.783563058954975,1.7806289412532593e-10,4.849362320452884e-06,0.0008176700898818749,1.8218812647578265e-06
35,15.766139707924523,1.8095327460081674e-10,4.840697744276035e-06,0.0008213065124974743,1.8249169180750463e-06
36,15.755027759832114,1.8491235408485098e-10,4.833141558737826e-06,0.0008258874181828346,1.8265410214187905e-06
37,15.76441127533178,1.968391358189823e-10,4.824277432084047e-06,0.0008404428737722905,1.8282298567711346e-06
38,15.750145411404347,1.8663950811946899e-10,4.8296597128965455e-06,0.0008285033608151469,1.8271863365321775e-06
39,15.745127018979286,1.8608858614737422e-10,4.8284636522115315e-06,0.0008281711318822655,1.827224605001312e-06
40,15.737442931123816,1.8573404671459116e-10,4.826153028857694e-06,0.0008282205546390386,1.8282265383610165e-06
41,15.724645313915348,1.889370929243697e-10,4.818093150244783e-06,0.0008343856600316424,1.8329198386228329e-06
42,15.71446244496959,1.8912882445320243e-10,4.814452397890775e-06,0.0008349592852123669,1.8364467904277953e-06
43,15.710111189203714,1.8770765227296152e-10,4.814037439347601e-06,0.0008346679082875992,1.8378667041885336e-06
44,15.703652544199365,1.885930709185501e-10,4.8110279321367165e-06,0.0008357323791143145,1.8413406187290963e-06
45,15.69721356426516,1.90320446614902e-10,4.807605498914025e-06,0.0008363180527412133,1.845586040911347e-06
46,15.685801512183367,1.9626046890105512e-10,4.7988322752667815e-06,0.0008402389859290896,1.8536667404622777e-06
47,15.675274696606474,2.032966643570958e-10,4.789165505799169e-06,0.0008458041886403153,1.8645089608507034e-06
48,15.663344174834078,1.9975180226723305e-10,4.787899324962792e-06,0.0008446390990804983,1.866048343291361e-06
49,15.68195327862922,2.1562470191789934e-10,4.782829139485471e-06,0.0008472910310029919,1.8670323622433222e-06
50,15.66047441768322,2.0052338758547608e-10,4.786322943639249e-06,0.0008450772857025999,1.8663154824170683e-06
51,15.653352131185201,1.9830783342725688e-10,4.786073518151083e-06,0.000842816545828472,1.867696258867735e-06
52,15.651370790462856,1.984053309539457e-10,4.78537586290247e-06,0.0008427493885577461,1.8685552281152647e-06
53,15.645707124110714,1.9960644126750587e-10,4.782568815205916e-06,0.0008432867196238769,1.8710421160419832e-06
54,15.639913778733534,2.0228752168145198e-10,4.778310848529492e-06,0.0008453636825090096,1.8732435410688174e-06
55,15.633766928071175,2.0516158459338502e-10,4.773911900458206e-06,0.0008470770020876145,1.8772681064533766e-06
56,15.629214727765032,2.0611877672565192e-10,4.771488275058603e-06,0.0008481222871257654,1.8775422476945815e-06
57,15.626431829690482,2.0606122417671364e-10,4.770578917258724e-06,0.0008482320601632533,1.8776241880572083e-06
58,15.621636154492869,2.0644987498348514e-10,4.769217878650742e-06,0.000846550319208871,1.8778806603645073e-06
59,15.615838231736417,2.0834602291751148e-10,4.767636364754828e-06,0.0008409577518778468,1.879648684378885e-06
60,15.610191127077652,2.067639385329627e-10,4.767739213045467e-06,0.0008376905692160291,1.8796882410186127e-06
61,15.603586005708493,2.0781777472600133e-10,4.765833711585725e-06,0.0008342725353245985,1.8812732626405105e-06
62,15.599002334908663,2.072423361327188e-10,4.765617027003399e-06,0.0008310299795563636,1.8816877005091655e-06
63,15.584451693893097,2.08514726411189e-10,4.761747617417126e-06,0.0008247864983897789,1.88256598151683e-06
64,15.573340728191894,2.1087177371975446e-10,4.75676492291042e-06,0.0008239788336013938,1.8833654417006226e-06
65,15.564505907542596,2.0790435922626297e-10,4.756268797159946e-06,0.0008223491458368886,1.8815576503780761e-06
66,15.559241098833851,2.1043773408514053e-10,4.7522937256286384e-06,0.0008243848705607923,1.8831624815813947e-06
67,15.554838040534387,2.0910147952546086e-10,4.751882767953431e-06,0.0008238203628855667,1.8833322163503451e-06
68,15.54534390366344,2.089495993897454e-10,4.74907093028986e-06,0.0008230599577801554,1.8858583480015396e-06
69,15.535977105303743,2.0828880874951838e-10,4.746703404012068e-06,0.0008220606111907186,1.887052884095685e-06
70,15.524660685202305,2.061597117338558e-10,4.745372035958687e-06,0.0008185366265433784,1.889744464824464e-06
71,15.520195879496908,2.103157874762214e-10,4.741105624714592e-06,0.00081874975616631,1.8934628949791324e-06
72,15.513785673090911,2.093850169573238e-10,4.739059535300758e-06,0.0008206952380735599,1.8938553866957685e-06
73,15.510806370304989,2.0783508095748778e-10,4.73888196529926e-06,0.000821465383852795,1.8932297295686504e-06
74,15.505616381543318,2.1473724801983583e-10,4.730493002459217e-06,0.0008290451284080952,1.8974703689815281e-06
75,15.494783345861354,2.1108666452444115e-10,4.730273497802093e-06,0.0008256950413986201,1.8975786027060495e-06
76,15.483653330926336,2.0897328962482947e-10,4.729289676695851e-06,0.0008211187739657737,1.8983264971546923e-06
77,15.468100827094144,2.0887789436513995e-10,4.725291847818834e-06,0.0008173560567469812,1.9002190940455738e-06
78,15.46318871042498,2.136021831672924e-10,4.719955787123099e-06,0.0008195148665445184,1.9016326158490226e-06
79,15.4485213027002,2.0779872783748435e-10,4.720053345851966e-06,0.00081558914971243,1.901561180911795e-06
80,15.440562151454111,2.087424043211499e-10,4.715959909234304e-06,0.0008186107902054614,1.9031582960231197e-06
81,15.43209716084845,2.080030641043426e-10,4.713260761440639e-06,0.0008200255679925296,1.9043145860069157e-06
82,15.420375243395405,2.110461237197843e-10,4.706338542260787e-06,0.0008237841260524639,1.9079335088253383e-06
83,15.408045976135327,2.1294140945324844e-10,4.70077331381078e-06,0.0008246990251391687,1.913272351404726e-06
84,15.398395377190777,2.0496540962965603e-10,4.704830306702657e-06,0.0008176602452941103,1.912079433581595e-06
85,15.394085946820699,2.044724230698283e-10,4.704816139212348e-06,0.0008138268098670856,1.9130933373531736e-06
86,15.388142569231931,2.0339594564531518e-10,4.704293332960464e-06,0.0008112524331235294,1.914146728549731e-06
87,15.408663262217162,2.2151614376637594e-10,4.702405462402071e-06,0.0007995941504979784,1.918499834405542e-06
88,15.378617863979091,2.0377635560893032e-10,4.7030225806344665e-06,0.0008037437140407347,1.9157137571804718e-06
