step,total_loss,seconds,teacher,iv,pde,convexity,weight_teacher,weight_iv,weight_pde,weight_convexity,terminal_loss,boundary_penalty_active
1,2.2019581702216064,0.7695551670040004,1.8200117434373683e-10,5.25083065221908e-06,0.0004342474925333313,7.877416317919288e-07,1.0,1.0,1.0,1.0,0.0,False
101,9.557986514734619,7.617519709005137,1.9575183467617952e-10,2.8242839291614785e-05,0.0020078971051404743,0.0,1.0,1.0,1.0,1.0,0.0,False
201,1.4262798907395215,14.10870533400157,1.6612498667788094e-10,1.5174562599672188e-06,0.0006316033128343678,4.621864682086504e-07,1.0,1.0,1.0,1.0,0.0,False
301,1.5147280212133034,20.69043062500714,1.689883930342234e-10,2.095411622731822e-06,0.0005684041148261913,1.811859814563251e-07,1.0,1.0,1.0,1.0,0.0,False
401,1.433395567533265,27.26717441700748,1.8314480825019945e-10,2.8871701466353323e-06,0.00025374101024893347,0.0,1.0,1.0,1.0,1.0,0.0,False
501,5.6517383578694105,33.99834187500528,1.842124522690292e-10,3.0909524168377972e-06,0.004418469121592972,1.3944163232382044e-08,1.0,1.0,1.0,1.0,0.0,False
601,2.6535697914152667,40.60157120900112,1.7224606729237824e-10,7.334244863363095e-07,0.0020395981386737167,3.629265270907917e-06,1.0,1.0,1.0,1.0,0.0,False
701,3.0349885200484974,47.359431000004406,1.744621827024117e-10,6.181453326750558e-06,0.001053469346607137,3.849976918126616e-06,1.0,1.0,1.0,1.0,0.0,False
801,5.84056888483083,54.1453467500105,1.6868014869549996e-10,1.7741806528257806e-05,0.0009834168810276284,0.0,1.0,1.0,1.0,1.0,0.0,False
901,1.763621735883603,60.56746870900679,1.4037583209910788e-10,3.8865468254451614e-06,0.00044104544927454285,0.0,1.0,1.0,1.0,1.0,0.0,False
1001,2.1101768762560886,67.24104950000765,1.5978654430715345e-10,2.8447294298361392e-06,0.0009995281580291704,0.0,1.0,1.0,1.0,1.0,0.0,False
1101,5.954264465855621,73.79177129200252,2.0229741393897752e-10,1.854957291901192e-05,0.0008111277012551974,0.0,1.0,1.0,1.0,1.0,0.0,False
1201,1.6958617947789676,80.33613550000882,2.1320610211196067e-10,9.67568282410233e-07,0.0009209543302178877,1.386786200532564e-06,1.0,1.0,1.0,1.0,0.0,False
1301,1.2790526303525782,86.68559216700669,1.9240984589878203e-10,9.636254409228762e-07,0.0005571216553749042,0.0,1.0,1.0,1.0,1.0,0.0,False
1401,1.202384276035502,93.19189745900803,1.7627309113997262e-10,1.8244923828723785e-06,0.0003055784524674759,0.0,1.0,1.0,1.0,1.0,0.0,False
1501,1.0113418618651249,99.75198083400028,1.428796729414724e-10,7.840185143406486e-07,0.0004581380509262817,0.0,1.0,1.0,1.0,1.0,0.0,False
1601,7.504016537239438,106.26569966701209,1.6681362497672715e-10,2.5153415569274482e-05,0.0007986285812440761,1.2349236518436922e-08,1.0,1.0,1.0,1.0,0.0,False
1701,1.0943381765375715,112.54486462500063,1.5501003891614332e-10,1.575495743160886e-06,0.00031293914345699187,0.0,1.0,1.0,1.0,1.0,0.0,False
1801,2.0127414608501275,118.85760100001062,1.9546928517705816e-10,1.6134902586737905e-06,0.0011206956832390347,0.0,1.0,1.0,1.0,1.0,0.0,False
1901,1.247822576116915,125.13463950000005,1.4626639268179422e-10,1.2319855303469134e-06,0.0005741602118257012,0.0,1.0,1.0,1.0,1.0,0.0,False
2000,1.7262181571737818,131.2032862920023,1.4808494341001863e-10,1.0406180272816547e-06,0.0010958512915091511,3.1917036513705737e-09,1.0,1.0,1.0,1.0,0.0,False
