arm,seed,price_RMSE_before,price_MAE_before,price_P95_before,price_max_before,forward_normalized_price_RMSE_before,IV_RMSE_volatility_points_before,IV_valid_quotes_before,quotes_before,PDE_RMSE_before,PDE_mean_signed_before,PDE_mean_absolute_before,PDE_median_before,PDE_P95_before,PDE_max_before,convexity_violation_percent_before,monotonicity_violation_percent_before,price_RMSE_after,price_MAE_after,price_P95_after,price_max_after,forward_normalized_price_RMSE_after,IV_RMSE_volatility_points_after,IV_valid_quotes_after,quotes_after,PDE_RMSE_after,PDE_mean_signed_after,PDE_mean_absolute_after,PDE_median_after,PDE_P95_after,PDE_max_after,convexity_violation_percent_after,monotonicity_violation_percent_after,price_RMSE_improvement_percent,IV_RMSE_volatility_points_improvement_percent,price_P95_improvement_percent,price_max_improvement_percent,PDE_RMSE_improvement_percent
A0_CONTINUE,17,1.1206105837235708e-05,7.113040711144743e-06,2.3854482332055063e-05,0.0001325228635444,1.1206105837235708e-05,0.1186149787092656,3790,4096,0.0298750443729795,-0.0009398417148984,0.0123009474544773,0.0053338815290186,0.0424472224918996,0.5773564727194427,1.3671875,0.048828125,1.1410546429720197e-05,7.20188136999254e-06,2.4190902168978737e-05,0.0001439759093006,1.1410546429720197e-05,0.1183188970019943,3790,4096,0.0308480061627938,-0.0015120562846028,0.0126782155314296,0.0052933681314514,0.0455332205382238,0.5898628298579048,1.3427734375,0.048828125,-1.824367853149944,0.24961578250334293,-1.4103003043230977,-8.64231684245398,-3.256771028244221
A0_CONTINUE,43,1.3180273742357118e-05,8.376807954350112e-06,2.8356284007342164e-05,0.0001037799950452,1.3180273742357118e-05,0.1201308271930403,3788,4096,0.0368704882638771,-0.0014522692556039,0.0156318891503382,0.0061037567637936,0.059392102601145,1.0247653024727528,0.7080078125,0.0244140625,1.2924482954150328e-05,8.209418666966982e-06,2.8629235574441095e-05,0.0001093326641523,1.2924482954150328e-05,0.1196481153896884,3788,4096,0.0376819235682085,-0.0027428775457692,0.01617111361844,0.0063510091109071,0.0603674074564555,1.025769526952817,0.7080078125,0.0244140625,1.9407092235479206,0.4018217593525941,-0.9625787604195857,-5.350423368859869,-2.200771789416156
CONTROL_PLAIN,17,1.1121975064657194e-05,7.057842107636147e-06,2.4144872991008724e-05,0.0001254346210928,1.1121975064657194e-05,0.1186877749703212,3790,4096,0.0299690990301142,-0.0008193416923185,0.0123663314452645,0.0053171088806872,0.0425105291136905,0.5764795895776761,1.3671875,0.048828125,1.1173205814249767e-05,7.056777112486421e-06,2.352958132727039e-05,0.0001384741077357,1.1173205814249767e-05,0.1186539520774651,3790,4096,0.0304821095196385,-0.0015753443302052,0.0124567033247366,0.0051681927986223,0.0445108677706989,0.5855818169134107,1.3671875,0.048828125,-0.4606263662231269,0.02849736871767261,2.5483325754807717,-10.395444678110866,-1.7117981725403464
CONTROL_PLAIN,43,1.3005394711817438e-05,8.355608473257173e-06,2.8513539724047115e-05,0.0001038530535028,1.3005394711817438e-05,0.1200922009863085,3788,4096,0.0367463494106588,-0.0013971228250304,0.0156503433941514,0.0062613881515558,0.0595963311985605,1.024011507137373,0.7080078125,0.0244140625,1.3018085992324106e-05,8.220776389810392e-06,2.8507261237276267e-05,0.0001222842926387,1.3018085992324106e-05,0.1200029699841242,3788,4096,0.0373910612339307,-0.0026203838972745,0.0159506846211355,0.0062884265798083,0.0600866643493551,1.029990904961261,0.7080078125,0.0244140625,-0.09758473916317012,0.07430207911209852,0.022019317249311054,-17.747421490503477,-1.7544921702749683
ARCH_A_MODIFIED_MLP,17,1.0656753075078584e-05,6.819015043734049e-06,2.2519977780134127e-05,0.0001168359978686,1.0656753075078584e-05,0.1167671998964201,3790,4096,0.0294245376607781,-0.0009323997923287,0.0122256992521097,0.0052046796136352,0.0434551512511854,0.5899307649713248,1.318359375,0.048828125,1.0992708466625197e-05,6.948668184012838e-06,2.2982512301248655e-05,0.0001382398104437,1.0992708466625197e-05,0.1173346561118518,3790,4096,0.0308077135838288,-0.0018870954212774,0.0123588918566065,0.0051244556120443,0.0445841152840252,0.6611081915603646,1.3671875,0.048828125,-3.15251173767237,-0.48597227297997314,-2.053885335191352,-18.319535901231298,-4.70075669156369
ARCH_A_MODIFIED_MLP,43,1.16605411229766e-05,7.510858731437693e-06,2.4986381870399296e-05,7.875526475731309e-05,1.16605411229766e-05,0.1176825009257178,3788,4096,0.0300543186746668,-0.0004887848472538,0.0144205023423479,0.0059660651050678,0.0551288935641795,0.4739001879070049,0.7080078125,0.0244140625,1.2412142503554874e-05,7.989497732489506e-06,2.640654694607142e-05,0.0001059183666817,1.2412142503554874e-05,0.117199955997391,3788,4096,0.0401716192980807,-0.0029171660812852,0.0160121464317881,0.006192297398616,0.0590798641773416,1.1936068493626926,0.7080078125,0.0244140625,-6.445681831156835,0.4100396614033497,-5.683756387932881,-34.490522009024914,-33.66338373174271
ARCH_B_MODIFIED_MLP_GRADBAL,17,1.246034563054555e-05,7.959046208822707e-06,2.707664839375211e-05,8.943477921140308e-05,1.246034563054555e-05,0.1119465106027677,3795,4096,0.0307347935571453,0.0003649237552903,0.0125981916918406,0.0052382914109618,0.0476175195309992,0.5310212387197013,1.4404296875,0.0732421875,1.4730088312203092e-05,9.18546877257638e-06,3.1356150678667205e-05,0.0001440559562951,1.4730088312203092e-05,0.1116953086553044,3791,4096,0.0339087778365373,-0.0009443058778151,0.0139747650567076,0.0058966886687624,0.0520733287067789,0.6435602132669465,1.4404296875,0.048828125,-18.215728110249586,0.22439462035102054,-15.805140365535731,-61.07375404213289,-10.327006991247888
ARCH_B_MODIFIED_MLP_GRADBAL,43,1.2314553061376646e-05,7.75358012403922e-06,2.7693547492235217e-05,9.334438677699453e-05,1.2314553061376646e-05,0.1097483001790964,3789,4096,0.0354381300236014,-0.0004659925722041,0.0147456300895056,0.0056861761008328,0.0560914609820643,0.9740760277408492,0.8056640625,0.048828125,1.4297450277740856e-05,8.928385188137588e-06,3.129285629808933e-05,0.0001308864370531,1.4297450277740856e-05,0.1123211462183381,3789,4096,0.0409705900428898,-0.0005829450999887,0.0170262700310143,0.0062312674655354,0.0638708347345537,1.049869375121104,0.830078125,0.048828125,-16.10206400899248,-2.344315160274113,-12.996922141749078,-40.218862185892036,-15.611602574977423
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,17,1.2629522930156189e-05,8.017824526053104e-06,2.7227004826818092e-05,9.672017204441496e-05,1.2629522930156189e-05,0.1124558759007607,3794,4096,0.0299977734666004,0.0007688892242417,0.0125425618418018,0.0052720426850711,0.0468291958476968,0.5386935212159341,1.416015625,0.0732421875,1.4490952561411184e-05,9.131496450092405e-06,3.1307803137507403e-05,0.0001201850280815,1.4490952561411184e-05,0.1111269790475049,3791,4096,0.0327964881868762,-0.000774839604157,0.0138412578958611,0.0057921062695527,0.0525176692753431,0.6297426055499058,1.4404296875,0.048828125,-14.738716906007276,1.1817051288885216,-14.98805445786604,-24.26056068873588,-9.329741500288002
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,43,1.2765757686969997e-05,8.026444734502715e-06,2.830362506757791e-05,9.8017666071315e-05,1.2765757686969997e-05,0.1105476098108791,3789,4096,0.034635619570317,1.1023000944790015e-06,0.0147672960672591,0.0057480359644152,0.0544766180706515,0.923353451692817,0.78125,0.048828125,1.524206463189801e-05,9.545472069665184e-06,3.343224230065861e-05,0.0001386233320542,1.524206463189801e-05,0.1132684181446326,3789,4096,0.0416786851519102,-0.0009220930554165,0.0178792991212733,0.0066141951640476,0.0677325725661993,1.0249726862208877,0.8056640625,0.048828125,-19.3980412729875,-2.461209553429655,-18.120001310205257,-41.4268851834744,-20.33474691363444
