arm,seed,price_RMSE,price_MAE,price_P95,price_max,forward_normalized_price_RMSE,IV_RMSE_volatility_points,IV_valid_quotes,quotes,PDE_RMSE,PDE_mean_signed,PDE_mean_absolute,PDE_median,PDE_P95,PDE_max,convexity_violation_percent,monotonicity_violation_percent
BASELINE,17,1.138877029141665e-05,7.198678369352397e-06,2.434170807493266e-05,0.0001378414659702898,1.138877029141665e-05,0.11867122261097662,3790,4096,0.030569828344273103,-0.0015167318718877065,0.012487620277774822,0.005263164432009688,0.04400957665905714,0.5855120292732661,1.3671875,0.048828125
BASELINE,43,1.3496581220554583e-05,8.541506937625102e-06,2.9101868082470617e-05,0.00010882071373186086,1.3496581220554583e-05,0.1204129879977623,3788,4096,0.03758321461578302,-0.00269710874393434,0.015981927463241126,0.006301338951668469,0.06039173188888758,1.0363175898843757,0.7080078125,0.0244140625
A0_CONTINUE,17,1.1410546429720197e-05,7.20188136999254e-06,2.4190902168978734e-05,0.00014397590930065318,1.1410546429720197e-05,0.11831889700199438,3790,4096,0.0308480061627938,-0.001512056284602834,0.012678215531429605,0.005293368131451426,0.04553322053822382,0.5898628298579048,1.3427734375,0.048828125
A0_CONTINUE,43,1.2924482954150328e-05,8.209418666966982e-06,2.8629235574441098e-05,0.000109332664152334,1.2924482954150328e-05,0.11964811538968848,3788,4096,0.037681923568208535,-0.0027428775457692,0.01617111361844008,0.006351009110907156,0.060367407456455566,1.0257695269528173,0.7080078125,0.0244140625
CONTROL_PLAIN,17,1.1173205814249769e-05,7.056777112486421e-06,2.352958132727039e-05,0.0001384741077357643,1.1173205814249769e-05,0.11865395207746518,3790,4096,0.03048210951963859,-0.0015753443302052369,0.012456703324736673,0.0051681927986223335,0.044510867770698945,0.5855818169134107,1.3671875,0.048828125
CONTROL_PLAIN,43,1.3018085992324106e-05,8.220776389810392e-06,2.8507261237276267e-05,0.0001222842926387191,1.3018085992324106e-05,0.1200029699841242,3788,4096,0.03739106123393077,-0.0026203838972745776,0.015950684621135545,0.006288426579808368,0.060086664349355105,1.029990904961261,0.7080078125,0.0244140625
ARCH_A_MODIFIED_MLP,17,1.0992708466625197e-05,6.948668184012838e-06,2.2982512301248655e-05,0.0001382398104437521,1.0992708466625197e-05,0.11733465611185184,3790,4096,0.03080771358382885,-0.001887095421277418,0.01235889185660658,0.005124455612044328,0.04458411528402522,0.6611081915603646,1.3671875,0.048828125
ARCH_A_MODIFIED_MLP,43,1.2412142503554874e-05,7.989497732489506e-06,2.640654694607142e-05,0.00010591836668172316,1.2412142503554874e-05,0.11719995599739105,3788,4096,0.04017161929808076,-0.0029171660812852204,0.01601214643178818,0.006192297398616038,0.05907986417734164,1.1936068493626926,0.7080078125,0.0244140625
ARCH_B_MODIFIED_MLP_GRADBAL,17,1.4730088312203092e-05,9.18546877257638e-06,3.1356150678667205e-05,0.00014405595629519985,1.4730088312203092e-05,0.11169530865530448,3791,4096,0.033908777836537396,-0.0009443058778151215,0.01397476505670761,0.005896688668762414,0.05207332870677895,0.6435602132669465,1.4404296875,0.048828125
ARCH_B_MODIFIED_MLP_GRADBAL,43,1.4297450277740855e-05,8.928385188137588e-06,3.129285629808933e-05,0.00013088643705311265,1.4297450277740855e-05,0.11232114621833816,3789,4096,0.04097059004288983,-0.0005829450999887909,0.017026270031014347,0.006231267465535491,0.06387083473455371,1.0498693751211041,0.830078125,0.048828125
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,17,1.4490952561411185e-05,9.131496450092405e-06,3.1307803137507403e-05,0.00012018502808155973,1.4490952561411185e-05,0.11112697904750496,3791,4096,0.03279648818687622,-0.0007748396041570341,0.01384125789586115,0.00579210626955278,0.05251766927534318,0.6297426055499058,1.4404296875,0.048828125
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,43,1.524206463189801e-05,9.545472069665184e-06,3.343224230065861e-05,0.00013862333205427735,1.524206463189801e-05,0.11326841814463266,3789,4096,0.041678685151910234,-0.0009220930554165526,0.0178792991212733,0.006614195164047647,0.06773257256619938,1.0249726862208877,0.8056640625,0.048828125
