arm,bucket,price_RMSE,price_MAE,price_P95,price_max,forward_normalized_price_RMSE,IV_RMSE_volatility_points,IV_valid_quotes,quotes
BASELINE,7–30d,6.863885512176698e-06,2.9574523470381805e-06,1.5385671031029722e-05,7.920527692613366e-05,6.863885512176698e-06,0.21893227410108904,998,1283
BASELINE,30–90d,9.607741537352589e-06,6.085559514466453e-06,2.2002359069505846e-05,4.692245099094383e-05,9.607741537352589e-06,0.05467179723742942,946,968
BASELINE,90–365d,1.098877601015981e-05,8.39313184551737e-06,2.1293640541652357e-05,6.229445150351953e-05,1.098877601015981e-05,0.013471092038478875,1234,1234
BASELINE,365–730d,1.670968023793878e-05,1.2280228726977267e-05,3.271752626793356e-05,0.00012333108985107533,1.670968023793878e-05,0.0051216142268573316,611,611
BASELINE,ATM |x|≤.02,1.266479329647779e-05,9.749365519842347e-06,2.658846161781025e-05,4.692245099094383e-05,1.266479329647779e-05,0.011058402102023952,227,227
BASELINE,wings |x|>.15,9.750891994876438e-06,5.380711253664784e-06,2.058957144852129e-05,0.00012333108985107533,9.750891994876438e-06,0.15255646965535205,2097,2390
BASELINE,fast-heavy,1.0301122362435182e-05,6.421390536231e-06,2.2012618632270816e-05,7.920527692613366e-05,1.0301122362435182e-05,0.13327597436378166,2417,2640
BASELINE,slow-heavy,1.1401480211560813e-05,7.275485168375833e-06,2.3256479764194662e-05,0.00012333108985107533,1.1401480211560813e-05,0.07622235906271747,1372,1456
BASELINE,low slow variance,9.652832361612542e-06,5.77513856478879e-06,2.0595400524683415e-05,7.920527692613366e-05,9.652832361612542e-06,0.14438339132049463,1834,2048
BASELINE,high slow variance,1.1663048743493859e-05,7.674850410213679e-06,2.3922803620572e-05,0.00012333108985107533,1.1663048743493859e-05,0.0805049306746399,1955,2048
BASELINE,low fast variance,1.0320265608094098e-05,6.135128327470824e-06,2.145347136325267e-05,0.00012333108985107533,1.0320265608094098e-05,0.10763720479224832,1820,2048
BASELINE,high fast variance,1.1076822485392558e-05,7.3148606475316454e-06,2.2732467025118883e-05,7.920527692613366e-05,1.1076822485392558e-05,0.1230576693064505,1969,2048
A0_CONTINUE,7–30d,6.9819829873580735e-06,2.9853901213736985e-06,1.5434953318179885e-05,7.747857970513694e-05,6.9819829873580735e-06,0.21759638482544166,998,1283
A0_CONTINUE,30–90d,9.434198742607781e-06,5.987323268328068e-06,2.1642584029305827e-05,4.576471027462059e-05,9.434198742607781e-06,0.0548310760878463,946,968
A0_CONTINUE,90–365d,1.080719613001943e-05,8.32859072311266e-06,2.1271569176914757e-05,5.999723897931464e-05,1.080719613001943e-05,0.01370041259129266,1234,1234
A0_CONTINUE,365–730d,1.554867498790309e-05,1.1340748386012583e-05,3.093607500780603e-05,0.0001247278811715158,1.554867498790309e-05,0.004877342735001047,611,611
A0_CONTINUE,ATM |x|≤.02,1.225062080895832e-05,9.313828541063763e-06,2.6340720780667477e-05,4.576471027462059e-05,1.225062080895832e-05,0.010999318591015671,227,227
A0_CONTINUE,wings |x|>.15,9.414253360159717e-06,5.249902440522482e-06,1.987870874049438e-05,0.0001247278811715158,9.414253360159717e-06,0.15170491618193233,2097,2390
A0_CONTINUE,fast-heavy,9.885620822004364e-06,6.2198248638673645e-06,2.1146779315027906e-05,7.747857970513694e-05,9.885620822004364e-06,0.13265181821989414,2417,2640
A0_CONTINUE,slow-heavy,1.1197105044224056e-05,7.151322132574793e-06,2.312187459108106e-05,0.0001247278811715158,1.1197105044224056e-05,0.07546259169728448,1372,1456
A0_CONTINUE,low slow variance,9.249550292466684e-06,5.576843825906144e-06,1.983700650394318e-05,7.747857970513694e-05,9.249550292466684e-06,0.1435519844664217,1834,2048
A0_CONTINUE,high slow variance,1.1382179021447056e-05,7.525042241300271e-06,2.3495208487368098e-05,0.0001247278811715158,1.1382179021447056e-05,0.0801220084931384,1955,2048
A0_CONTINUE,low fast variance,9.940896302440352e-06,5.898672494527974e-06,2.0823122013893445e-05,0.0001247278811715158,9.940896302440352e-06,0.10645723563475924,1820,2048
A0_CONTINUE,high fast variance,1.0783633923370531e-05,7.20321357267844e-06,2.202989184474429e-05,7.747857970513694e-05,1.0783633923370531e-05,0.12285214506938412,1969,2048
CONTROL_PLAIN,7–30d,6.876383037554424e-06,2.9671305889135123e-06,1.544406396635596e-05,7.796679249780225e-05,6.876383037554424e-06,0.21861107201650748,998,1283
CONTROL_PLAIN,30–90d,9.515203548988076e-06,6.035300871617356e-06,2.1392944170565063e-05,4.4583907971129655e-05,9.515203548988076e-06,0.05459637309044095,946,968
CONTROL_PLAIN,90–365d,1.0668907430770657e-05,8.211352247964305e-06,2.0859395361658113e-05,5.912470505226031e-05,1.0668907430770657e-05,0.013488769868196878,1234,1234
CONTROL_PLAIN,365–730d,1.5543088724913027e-05,1.141070458501113e-05,2.9954438488827284e-05,0.0001189124284477483,1.5543088724913027e-05,0.004823669409669009,611,611
CONTROL_PLAIN,ATM |x|≤.02,1.2067266296201205e-05,9.287632359333785e-06,2.4034859601790302e-05,4.4583907971129655e-05,1.2067266296201205e-05,0.011020528242883257,227,227
CONTROL_PLAIN,wings |x|>.15,9.410786789518548e-06,5.22480952645376e-06,1.9866247400035516e-05,0.0001189124284477483,9.410786789518548e-06,0.1523344695292606,2097,2390
CONTROL_PLAIN,fast-heavy,9.773612859090158e-06,6.151643902664655e-06,2.0619579563349573e-05,7.796679249780225e-05,9.773612859090158e-06,0.13311413832944746,2417,2640
CONTROL_PLAIN,slow-heavy,1.1247612203299783e-05,7.22074798193455e-06,2.299908991797335e-05,0.0001189124284477483,1.1247612203299783e-05,0.07600653303931945,1372,1456
CONTROL_PLAIN,low slow variance,9.030615998992305e-06,5.466681569756837e-06,1.9370615024227875e-05,7.796679249780225e-05,9.030615998992305e-06,0.1441468971697218,1834,2048
CONTROL_PLAIN,high slow variance,1.146837316706362e-05,7.596672416928414e-06,2.3178724274888068e-05,0.0001189124284477483,1.146837316706362e-05,0.08042822579072122,1955,2048
CONTROL_PLAIN,low fast variance,9.839995992798976e-06,5.85590114570661e-06,2.077924170467339e-05,0.0001189124284477483,9.839995992798976e-06,0.10730371621052232,1820,2048
CONTROL_PLAIN,high fast variance,1.0781933374028089e-05,7.207452840978639e-06,2.2389715147341782e-05,7.796679249780225e-05,1.0781933374028089e-05,0.12301882851766602,1969,2048
ARCH_A_MODIFIED_MLP,7–30d,7.149459936923952e-06,3.139810574339454e-06,1.6659876444261636e-05,8.079105944001908e-05,7.149459936923952e-06,0.21467777668519172,998,1283
ARCH_A_MODIFIED_MLP,30–90d,9.12905240334589e-06,5.85419544845332e-06,2.048492444340806e-05,4.48304993884846e-05,9.12905240334589e-06,0.053863452012067055,946,968
ARCH_A_MODIFIED_MLP,90–365d,1.0218476321504735e-05,7.892303814386767e-06,1.9675520447898303e-05,6.872253980794163e-05,1.0218476321504735e-05,0.013043827782270145,1234,1234
ARCH_A_MODIFIED_MLP,365–730d,1.4254544958388497e-05,1.0723363792338055e-05,2.51617400355425e-05,0.0001220790885627654,1.4254544958388497e-05,0.004439755862809896,611,611
ARCH_A_MODIFIED_MLP,ATM |x|≤.02,1.1353676936636926e-05,8.862022605990152e-06,2.1726568314406333e-05,3.781852026049897e-05,1.1353676936636926e-05,0.010786825327829897,227,227
ARCH_A_MODIFIED_MLP,wings |x|>.15,8.890928793419102e-06,5.004106803727982e-06,1.8846415355811515e-05,0.0001220790885627654,8.890928793419102e-06,0.14942550477017438,2097,2390
ARCH_A_MODIFIED_MLP,fast-heavy,9.304789466124402e-06,5.999784232703329e-06,1.9477086744725664e-05,8.079105944001908e-05,9.304789466124402e-06,0.13142469531983378,2417,2640
ARCH_A_MODIFIED_MLP,slow-heavy,1.0827233041213827e-05,6.969015089777034e-06,2.2343864158775326e-05,0.0001220790885627654,1.0827233041213827e-05,0.07250948857960093,1372,1456
ARCH_A_MODIFIED_MLP,low slow variance,8.672386409152496e-06,5.4008821555241414e-06,1.8310719446118504e-05,8.079105944001908e-05,8.672386409152496e-06,0.14217298901556713,1834,2048
ARCH_A_MODIFIED_MLP,high slow variance,1.094248914766616e-05,7.287748872333355e-06,2.243711554749672e-05,0.0001220790885627654,1.094248914766616e-05,0.07798630113494395,1955,2048
ARCH_A_MODIFIED_MLP,low fast variance,9.367344311543603e-06,5.690586084140208e-06,2.004890186617586e-05,0.0001220790885627654,9.367344311543603e-06,0.10325881424433019,1820,2048
ARCH_A_MODIFIED_MLP,high fast variance,1.0353801974416755e-05,6.998044943717289e-06,2.1233749390228005e-05,8.079105944001908e-05,1.0353801974416755e-05,0.1225168579888244,1969,2048
ARCH_B_MODIFIED_MLP_GRADBAL,7–30d,9.520598176136062e-06,4.0768210127618105e-06,2.3315121129807607e-05,0.00011933520727122615,9.520598176136062e-06,0.20349563201372053,1000,1283
ARCH_B_MODIFIED_MLP_GRADBAL,30–90d,1.1647796856663263e-05,7.118537074817826e-06,2.6837827529946166e-05,6.943325992930793e-05,1.1647796856663263e-05,0.04641208395545235,946,968
ARCH_B_MODIFIED_MLP_GRADBAL,90–365d,1.1423126634707724e-05,8.826500362536353e-06,2.3012567841360056e-05,4.775792007577495e-05,1.1423126634707724e-05,0.012667438067107269,1234,1234
ARCH_B_MODIFIED_MLP_GRADBAL,365–730d,1.536369051505247e-05,1.1608768425922739e-05,3.179657614452158e-05,7.752496309393342e-05,1.536369051505247e-05,0.004342927883508866,611,611
ARCH_B_MODIFIED_MLP_GRADBAL,ATM |x|≤.02,1.544159530717654e-05,1.204957951856118e-05,3.0937619999287654e-05,4.848555417667072e-05,1.544159530717654e-05,0.01668357685769284,227,227
