regime,design,moneyness,BS_EXPIRY,DH,SH,quotes
calm,A,x<-.15 (OTM call wing),7.62,3.29,3.41,192
calm,A,-.15..-.05,3.93,2.35,2.63,88
calm,A,ATM +-.05,3.97,2.46,2.6,99
calm,A,.05...15,5.41,2.96,3.14,72
calm,A,x>.15 (OTM put wing),12.2,2.13,2.89,59
calm,B,x<-.15 (OTM call wing),11.56,9.25,7.86,82
calm,B,-.15..-.05,5.07,2.02,2.16,53
calm,B,ATM +-.05,4.59,2.01,2.2,54
calm,B,.05...15,3.27,2.27,2.25,44
calm,B,x>.15 (OTM put wing),16.01,3.63,2.8,38
shock,A,x<-.15 (OTM call wing),22.02,16.72,16.95,298
shock,A,-.15..-.05,8.12,6.93,6.95,125
shock,A,ATM +-.05,6.91,4.84,4.84,140
shock,A,.05...15,6.63,3.65,4.14,101
shock,A,x>.15 (OTM put wing),10.04,5.25,6.15,135
shock,B,x<-.15 (OTM call wing),13.32,6.44,6.07,130
shock,B,-.15..-.05,7.1,6.23,6.82,65
shock,B,ATM +-.05,7.39,4.69,5.08,76
shock,B,.05...15,8.45,5.46,6.45,57
shock,B,x>.15 (OTM put wing),18.11,7.67,8.83,59
