instrument,expiry,strike,cp,ts,tau,price_usdc,mark_usdc,trade_iv,index,f_solved,ratio,forward,k,x,otm,c,c_mark,market_iv,days,vega_w,heldout_A,heldout_B,date
XRP_USDC-13FEB26-1-P,2026-02-13,1.0,P,1770330618800,0.020261960933536275,0.0315,0.03125541,1.6244,1.197,1.197005476745464,1.000004575393036,1.197000554229525,0.8354215012403828,0.17981888959120504,True,0.19089427604868925,0.1906899403037009,1.624379942430543,7.39561574074074,0.03810394775277367,False,False,2026-02-05
XRP_USDC-13FEB26-1d1-P,2026-02-13,1.1,P,1770325425857,0.020426628075849825,0.0495,0.04890649,1.3185,1.1861,1.1861069945734355,1.0000058971194972,1.1861005491826562,0.9274087266530749,0.07536089726413701,True,0.11432466604631342,0.11382427845235366,1.3184665541299982,7.455719247685186,0.0504644799554119,True,False,2026-02-05
XRP_USDC-13FEB26-1d25-P,2026-02-13,1.25,P,1770308224105,0.02097209205352613,0.058,0.06052588,1.0667,1.2947,1.2946917544964638,0.9999936313404371,1.294700599466137,0.9654741802973066,0.035135919783623695,True,0.07932382166848839,0.08127475920651195,1.0667471077185968,7.654813599537037,0.05515346490551445,False,False,2026-02-05
XRP_USDC-13FEB26-1d25-C,2026-02-13,1.25,C,1770329453095,0.02029892519660071,0.059,0.05547027,1.3028,1.1797,1.1797013671838297,1.0000011589250062,1.1797005462193573,1.0595909309408518,-0.05788291943318109,True,0.050012691940408194,0.04702063602307232,1.3028051832466783,7.409107696759259,0.05549179571139417,True,False,2026-02-05
XRP_USDC-13FEB26-1d3-P,2026-02-13,1.3,P,1770276513913,0.021977615645611365,0.028,0.0274875,0.9925,1.4444,1.4443923189619166,0.9999946821946252,1.4444006687795536,0.9000272764332317,0.10533020896904345,True,0.11935792644379173,0.11900310799827485,0.9925286893039102,8.021829710648149,0.043309074961348865,False,False,2026-02-05
XRP_USDC-13FEB26-1d3-C,2026-02-13,1.3,C,1770307797409,0.020985622494926432,0.073,0.07062454,1.0846,1.2837,1.283695455680598,0.9999964599833278,1.283700594372967,1.01269720190088,-0.012617268343378238,True,0.05686684287597248,0.05501636464887444,1.0845654156612954,7.659752210648148,0.05779234671943568,True,False,2026-02-05
XRP_USDC-13FEB26-1d35-P,2026-02-13,1.35,P,1770295581301,0.021372992738457636,0.071,0.07039725,0.9571,1.3593,1.359294428484162,0.999995901187495,1.3593006293769367,0.9931577833659948,0.006865731924095938,True,0.059074959314735276,0.0586315327562732,0.9571356548185492,7.801142349537037,0.05791167805485617,False,False,2026-02-05
XRP_USDC-13FEB26-1d35-C,2026-02-13,1.35,C,1770308934786,0.020949556506849317,0.0555,0.05603057,1.0287,1.2985,1.2985030639926525,1.0000023596400867,1.2985006012255957,1.0396606660988807,-0.038894377314303064,True,0.042741605161842874,0.04315020720599998,1.028714235984695,7.646588125000001,0.05674435192440715,True,False,2026-02-05
XRP_USDC-13FEB26-1d4-P,2026-02-13,1.4,P,1770272324170,0.0221104715246068,0.062,0.06231814,0.8858,1.4258,1.425800660167466,1.0000004630154762,1.425800660167466,0.9819044408603124,0.018261286095547176,True,0.06157989866350144,0.06180302943408389,0.8858000000000009,8.070322106481482,0.058093549836411684,False,False,2026-02-05
XRP_USDC-13FEB26-1d4-C,2026-02-13,1.4,C,1770309037000,0.020946315322171487,0.039,0.0414959,0.9987999999999999,1.3037,1.3037008803329824,1.000000675257331,1.3037006036332763,1.073866189904605,-0.07126539791924787,True,0.02991484386162828,0.03182931716404464,0.9988013533393327,7.6454050925925925,0.052847864547910815,True,False,2026-02-05
XRP_USDC-13FEB26-1d45-C,2026-02-13,1.45,C,1770331821553,0.02022382188609843,0.0225,0.02500522,1.3075999999999999,1.215,1.2150001110229556,1.000000091376918,1.2150005625638036,1.1934150852904282,-0.17681901662460214,True,0.018518509944161817,0.020580418454486844,1.30759814993507,7.381694988425927,0.0392666670365117,False,False,2026-02-05
XRP_USDC-13FEB26-1d5-C,2026-02-13,1.5,C,1770331832607,0.02022347136605784,0.018,0.0205745,1.3522,1.2156,1.2155844915791019,0.9999872421677376,1.2156005628416129,1.2339579676514538,-0.2102268630322944,True,0.014807495611817444,0.01692537880362989,1.3521389517769669,7.381567048611112,0.03450834321004399,True,False,2026-02-05
XRP_USDC-13FEB26-1d6-C,2026-02-13,1.6,C,1770288353026,0.02160219983510908,0.011,0.01192104,0.8440000000000001,1.3839,1.38388354605872,0.9999881104550329,1.3839006407671175,1.1561523659047483,-0.14509756598061915,True,0.007948547515595143,0.008614086625028213,0.8439478660926063,7.884802939814815,0.031746957859900914,False,False,2026-02-05
XRP_USDC-13FEB26-1d65-C,2026-02-13,1.65,C,1770319172779,0.020624911878488077,0.004,0.00390403,1.1352,1.2453,1.2453052429363147,1.000004210179326,1.2453005765931726,1.3249813185777064,-0.2813983601521544,True,0.003212075923824743,0.003135010192222378,1.135212651114851,7.528092835648148,0.014819979682924134,True,False,2026-02-05
XRP_USDC-13FEB26-1d7-C,2026-02-13,1.7,C,1770293887811,0.021426692954084222,0.004,0.0042852,0.9168000000000001,1.3586,1.3585962821387505,0.999997263461468,1.358600629052826,1.2512875113161008,-0.22417303027173668,True,0.002944205908979061,0.0031541277902892685,0.9167892166175325,7.820742928240741,0.016149248934278645,False,False,2026-02-05
XRP_USDC-13FEB26-1d75-C,2026-02-13,1.75,C,1770265062479,0.022340738235667172,0.006,0.00581259,0.8765000000000001,1.4367,1.4367102696568461,1.0000071480871762,1.4367006652143348,1.2180686223451602,-0.19726650788551728,True,0.004176235276611978,0.004045790567747003,0.8765236897649362,8.154369456018518,0.021137601491812336,True,False,2026-02-05
XRP_USDC-13FEB26-1d85-C,2026-02-13,1.85,C,1770264688162,0.02235260774987316,0.003,0.00258629,0.9134,1.4423,1.4423124785074741,1.0000086518113251,1.4423006678072212,1.2826729136946307,-0.24894611446753706,True,0.0020800101303156174,0.0017931697999779928,0.9134253832217691,8.158701828703704,0.012794679564970386,False,False,2026-02-05
XRP_USDC-20FEB26-0d8-P,2026-02-20,0.8,P,1770331821081,0.03940191904490106,0.0125,0.01087753,1.5634000000000001,1.215,1.2150050855981556,1.0000041856774942,1.2149983749430529,0.6584370946483744,0.41788629061039734,True,0.3518509849555065,0.35051561691431377,1.5633856586483859,14.381700451388888,0.02564173796744032,False,True,2026-02-05
XRP_USDC-20FEB26-1-P,2026-02-20,1.0,P,1770333675841,0.03934310499112126,0.0355,0.03454487,1.358,1.2426,1.2425937616522036,0.9999949796010008,1.2425983380281789,0.8047652804580868,0.2172046211511322,True,0.22380388699817522,0.22303523153585136,1.3580125616692873,14.36023332175926,0.05082134342762826,True,True,2026-02-05
XRP_USDC-20FEB26-1d25-C,2026-02-20,1.25,C,1770323578232,0.03966329807204465,0.06,0.05961739,1.0118,1.1644,1.1643972644918772,0.9999976507144255,1.1643984426203215,1.0735156920916553,-0.07093895592120296,True,0.05152875322039945,0.0512001629492385,1.011794732311634,14.477103796296296,0.07698252030170548,False,True,2026-02-05
XRP_USDC-20FEB26-1d35-P,2026-02-20,1.35,P,1770290182951,0.040722255485794015,0.0875,0.08720227,0.8465,1.3596,1.3595863749233281,0.9999899786138042,1.3595981815412135,0.9929404277885007,0.007084608893161362,True,0.07141682216075396,0.07119783834329818,0.8465488809677615,14.863623252314815,0.07986009743067977,True,True,2026-02-05
XRP_USDC-20FEB26-1d35-C,2026-02-20,1.35,C,1770317154763,0.03986698493784881,0.05,0.05181353,0.9904999999999999,1.2225,1.2224945882332927,0.9999955731969675,1.2224983649118368,1.1042959555184013,-0.09920798757977256,True,0.04089985020438523,0.042383312311208406,0.9904855497238729,14.551449502314814,0.0734501713354677,False,True,2026-02-05
XRP_USDC-20FEB26-1d5-C,2026-02-20,1.5,C,1770291865219,0.04066891111745307,0.043,0.04554711,0.8038,1.3738,1.3738081677513334,1.0000059453714758,1.3737981625487783,1.0918634490070085,-0.0878858228068446,True,0.031300085538200906,0.033154149744601076,0.8038324546402682,14.844152557870371,0.07233905712093372,True,True,2026-02-05
XRP_USDC-20FEB26-1d55-C,2026-02-20,1.55,C,1770290556893,0.040710397862760025,0.025,0.02702567,0.7979999999999999,1.3491,1.3490949002081292,0.9999962198562962,1.3490981955849155,1.1489156275447996,-0.13881856496484524,True,0.01853089721846451,0.02003239652120559,0.797991053668472,14.859295219907409,0.059303857230975345,False,True,2026-02-05
XRP_USDC-20FEB26-1d7-C,2026-02-20,1.7,C,1770309694056,0.04010356240487062,0.007,0.00762863,0.8955,1.2887,1.2886841980291996,0.9999877380532317,1.2886982763696395,1.3191606066154045,-0.2769956302462862,True,0.005431837791945783,0.005919640104967337,0.8954712956967938,14.637800277777776,0.027720707795380065,True,True,2026-02-05
XRP_USDC-20FEB26-1d8-C,2026-02-20,1.8,C,1770319366286,0.0397968580035515,0.005,0.00394448,1.062,1.2403,1.240320953194988,1.0000168936507199,1.2402983411044184,1.4512637325606657,-0.37243471655929644,True,0.0040312881460018496,0.003180267093228275,1.062044174041268,14.525853171296296,0.02033637877008003,False,True,2026-02-05
XRP_USDC-27FEB26-1-P,2026-02-27,1.0,P,1770334179005,0.05850523195712837,0.0605,0.05964058,1.4215,1.2444,1.2444235956209955,1.0000189614440658,1.2443999009246163,0.8036001925562499,0.21865340642435066,True,0.24501761909340325,0.24432698901591654,1.421442687005069,21.354409664351856,0.0696283598755073,False,False,2026-02-05
XRP_USDC-27FEB26-1d1-P,2026-02-27,1.1,P,1770335566811,0.05846122491755454,0.08,0.08638472,1.1567,1.2125,1.2124906149758616,0.9999922597739066,1.2124999034643982,0.9072165670752144,0.09737408440818186,True,0.15876281962116479,0.16402856849401615,1.1567279813171139,21.338347094907405,0.08563110856984994,True,False,2026-02-05
