case,geometry,noise,model,arm,parameter,true,estimated,absolute_error
905101_00,rich,0.0,unified_v6/unified,encoder,kappa_slow,0.4515711432074293,0.4693783626454036,0.0178072194379743
905101_00,rich,0.0,unified_v6/unified,encoder,theta_slow,0.0318710771089639,0.0588345430458318,0.0269634659368679
905101_00,rich,0.0,unified_v6/unified,encoder,sigma_slow,0.036660762881715,0.1149622755172879,0.0783015126355729
905101_00,rich,0.0,unified_v6/unified,encoder,rho_slow,-0.3905875624875868,-0.3491496944418001,0.0414378680457867
905101_00,rich,0.0,unified_v6/unified,encoder,v0_slow,0.0520946267116691,0.0683832701341784,0.0162886434225093
905101_00,rich,0.0,unified_v6/unified,encoder,kappa_fast,8.066470891631734,7.285835028479404,0.7806358631523302
905101_00,rich,0.0,unified_v6/unified,encoder,theta_fast,0.0781259932795358,0.0591514235777494,0.0189745697017864
905101_00,rich,0.0,unified_v6/unified,encoder,sigma_fast,0.4195628559849137,0.4632751460865773,0.0437122901016636
905101_00,rich,0.0,unified_v6/unified,encoder,rho_fast,-0.2232606221005313,0.0005044693776186,0.2237650914781499
905101_00,rich,0.0,unified_v6/unified,encoder,v0_fast,0.0893864723699807,0.0713999770115536,0.0179864953584271
905101_00,rich,0.0,unified_v6/unified,refined,kappa_slow,0.4515711432074293,0.435959409503112,0.0156117337043172
905101_00,rich,0.0,unified_v6/unified,refined,theta_slow,0.0318710771089639,0.0381884247776602,0.0063173476686963
905101_00,rich,0.0,unified_v6/unified,refined,sigma_slow,0.036660762881715,0.049587439844306,0.0129266769625909
905101_00,rich,0.0,unified_v6/unified,refined,rho_slow,-0.3905875624875868,-0.2292024177663369,0.1613851447212499
905101_00,rich,0.0,unified_v6/unified,refined,v0_slow,0.0520946267116691,0.0586039770822827,0.0065093503706136
905101_00,rich,0.0,unified_v6/unified,refined,kappa_fast,8.066470891631734,7.998444506608638,0.0680263850230966
905101_00,rich,0.0,unified_v6/unified,refined,theta_fast,0.0781259932795358,0.0714508558315869,0.0066751374479488
905101_00,rich,0.0,unified_v6/unified,refined,sigma_fast,0.4195628559849137,0.4282966089010585,0.0087337529161447
905101_00,rich,0.0,unified_v6/unified,refined,rho_fast,-0.2232606221005313,-0.2360115392148559,0.0127509171143246
905101_00,rich,0.0,unified_v6/unified,refined,v0_fast,0.0893864723699807,0.0828542039251161,0.0065322684448645
905101_00,rich,0.0,seed_17/repaired,encoder,kappa_slow,0.4515711432074293,0.4565218673051085,0.0049507240976792
905101_00,rich,0.0,seed_17/repaired,encoder,theta_slow,0.0318710771089639,0.0561321351355926,0.0242610580266287
905101_00,rich,0.0,seed_17/repaired,encoder,sigma_slow,0.036660762881715,0.110563756724755,0.07390299384304
905101_00,rich,0.0,seed_17/repaired,encoder,rho_slow,-0.3905875624875868,-0.3675943310548424,0.0229932314327444
905101_00,rich,0.0,seed_17/repaired,encoder,v0_slow,0.0520946267116691,0.0682382720132991,0.01614364530163
905101_00,rich,0.0,seed_17/repaired,encoder,kappa_fast,8.066470891631734,6.7291353391473585,1.337335552484376
905101_00,rich,0.0,seed_17/repaired,encoder,theta_fast,0.0781259932795358,0.0562037305981839,0.0219222626813518
905101_00,rich,0.0,seed_17/repaired,encoder,sigma_fast,0.4195628559849137,0.4347689752616231,0.0152061192767093
905101_00,rich,0.0,seed_17/repaired,encoder,rho_fast,-0.2232606221005313,-0.0343526285636778,0.1889079935368534
905101_00,rich,0.0,seed_17/repaired,encoder,v0_fast,0.0893864723699807,0.0714759683726755,0.0179105039973052
905101_00,rich,0.0,seed_17/repaired,refined,kappa_slow,0.4515711432074293,0.4338618658409595,0.0177092773664697
905101_00,rich,0.0,seed_17/repaired,refined,theta_slow,0.0318710771089639,0.03849378148696,0.006622704377996
905101_00,rich,0.0,seed_17/repaired,refined,sigma_slow,0.036660762881715,0.0493432313434407,0.0126824684617257
905101_00,rich,0.0,seed_17/repaired,refined,rho_slow,-0.3905875624875868,-0.2276225691702944,0.1629649933172924
905101_00,rich,0.0,seed_17/repaired,refined,v0_slow,0.0520946267116691,0.0589740737245492,0.0068794470128801
905101_00,rich,0.0,seed_17/repaired,refined,kappa_fast,8.066470891631734,7.988835987540052,0.0776349040916821
905101_00,rich,0.0,seed_17/repaired,refined,theta_fast,0.0781259932795358,0.0710831535349554,0.0070428397445803
905101_00,rich,0.0,seed_17/repaired,refined,sigma_fast,0.4195628559849137,0.4288244897385743,0.0092616337536606
905101_00,rich,0.0,seed_17/repaired,refined,rho_fast,-0.2232606221005313,-0.2367376439783471,0.0134770218778158
905101_00,rich,0.0,seed_17/repaired,refined,v0_fast,0.0893864723699807,0.0824812636057418,0.0069052087642389
905101_00,rich,0.0,seed_29/repaired,encoder,kappa_slow,0.4515711432074293,0.4632196220357531,0.0116484788283238
905101_00,rich,0.0,seed_29/repaired,encoder,theta_slow,0.0318710771089639,0.0584252874296383,0.0265542103206744
905101_00,rich,0.0,seed_29/repaired,encoder,sigma_slow,0.036660762881715,0.1113885809562037,0.0747278180744887
905101_00,rich,0.0,seed_29/repaired,encoder,rho_slow,-0.3905875624875868,-0.3689849876807142,0.0216025748068726
905101_00,rich,0.0,seed_29/repaired,encoder,v0_slow,0.0520946267116691,0.0693639055053714,0.0172692787937023
905101_00,rich,0.0,seed_29/repaired,encoder,kappa_fast,8.066470891631734,6.99929391271163,1.0671769789201049
905101_00,rich,0.0,seed_29/repaired,encoder,theta_fast,0.0781259932795358,0.05875637753761,0.0193696157419258
905101_00,rich,0.0,seed_29/repaired,encoder,sigma_fast,0.4195628559849137,0.452257483023025,0.0326946270381112
905101_00,rich,0.0,seed_29/repaired,encoder,rho_fast,-0.2232606221005313,-0.0461795751110131,0.1770810469895181
905101_00,rich,0.0,seed_29/repaired,encoder,v0_fast,0.0893864723699807,0.0755037054737301,0.0138827668962506
905101_00,rich,0.0,seed_29/repaired,refined,kappa_slow,0.4515711432074293,0.4375984144176581,0.0139727287897711
905101_00,rich,0.0,seed_29/repaired,refined,theta_slow,0.0318710771089639,0.038216390438818,0.0063453133298541
905101_00,rich,0.0,seed_29/repaired,refined,sigma_slow,0.036660762881715,0.0488971474609477,0.0122363845792327
905101_00,rich,0.0,seed_29/repaired,refined,rho_slow,-0.3905875624875868,-0.2357578430703104,0.1548297194172764
905101_00,rich,0.0,seed_29/repaired,refined,v0_slow,0.0520946267116691,0.058589759673942,0.0064951329622729
905101_00,rich,0.0,seed_29/repaired,refined,kappa_fast,8.066470891631734,8.003959652309382,0.0625112393223528
905101_00,rich,0.0,seed_29/repaired,refined,theta_fast,0.0781259932795358,0.0714710790233794,0.0066549142561564
905101_00,rich,0.0,seed_29/repaired,refined,sigma_fast,0.4195628559849137,0.4287360373232631,0.0091731813383494
905101_00,rich,0.0,seed_29/repaired,refined,rho_fast,-0.2232606221005313,-0.2358249444745284,0.0125643223739971
905101_00,rich,0.0,seed_29/repaired,refined,v0_fast,0.0893864723699807,0.0828699167561724,0.0065165556138083
905101_00,rich,0.0,seed_43/repaired,encoder,kappa_slow,0.4515711432074293,0.4573165714673568,0.0057454282599275
905101_00,rich,0.0,seed_43/repaired,encoder,theta_slow,0.0318710771089639,0.0566667294892497,0.0247956523802858
905101_00,rich,0.0,seed_43/repaired,encoder,sigma_slow,0.036660762881715,0.1100512106313939,0.0733904477496789
905101_00,rich,0.0,seed_43/repaired,encoder,rho_slow,-0.3905875624875868,-0.3714914030668222,0.0190961594207645
905101_00,rich,0.0,seed_43/repaired,encoder,v0_slow,0.0520946267116691,0.0667801919131372,0.0146855652014681
905101_00,rich,0.0,seed_43/repaired,encoder,kappa_fast,8.066470891631734,6.921040131245591,1.1454307603861436
905101_00,rich,0.0,seed_43/repaired,encoder,theta_fast,0.0781259932795358,0.0558920003976853,0.0222339928818504
905101_00,rich,0.0,seed_43/repaired,encoder,sigma_fast,0.4195628559849137,0.4429334317361645,0.0233705757512508
905101_00,rich,0.0,seed_43/repaired,encoder,rho_fast,-0.2232606221005313,-0.0435796694373961,0.1796809526631352
905101_00,rich,0.0,seed_43/repaired,encoder,v0_fast,0.0893864723699807,0.071357837688705,0.0180286346812756
905101_00,rich,0.0,seed_43/repaired,refined,kappa_slow,0.4515711432074293,0.4349509635412082,0.016620179666221
905101_00,rich,0.0,seed_43/repaired,refined,theta_slow,0.0318710771089639,0.0385471617321252,0.0066760846231612
905101_00,rich,0.0,seed_43/repaired,refined,sigma_slow,0.036660762881715,0.0491567653813917,0.0124960024996767
905101_00,rich,0.0,seed_43/repaired,refined,rho_slow,-0.3905875624875868,-0.2301172124597755,0.1604703500278113
905101_00,rich,0.0,seed_43/repaired,refined,v0_slow,0.0520946267116691,0.058996056298329,0.0069014295866599
905101_00,rich,0.0,seed_43/repaired,refined,kappa_fast,8.066470891631734,7.992627705855121,0.0738431857766137
905101_00,rich,0.0,seed_43/repaired,refined,theta_fast,0.0781259932795358,0.0710609954662233,0.0070649978133125
905101_00,rich,0.0,seed_43/repaired,refined,sigma_fast,0.4195628559849137,0.4290965882571705,0.0095337322722568
905101_00,rich,0.0,seed_43/repaired,refined,rho_fast,-0.2232606221005313,-0.2366984056325248,0.0134377835319934
905101_00,rich,0.0,seed_43/repaired,refined,v0_fast,0.0893864723699807,0.0824603349766508,0.0069261373933298
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,kappa_slow,0.4515711432074293,0.4515711432074366,7.271960811294775e-15
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,theta_slow,0.0318710771089639,0.0318710771089435,2.0337898032352086e-14
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,sigma_slow,0.036660762881715,0.0366607628816771,3.781697177629439e-14
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,rho_slow,-0.3905875624875868,-0.3905875624880321,4.4531045517715034e-13
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,v0_slow,0.0520946267116691,0.0520946267116497,1.9317880628477724e-14
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,kappa_fast,8.066470891631734,8.06647089163308,1.3447021274259896e-12
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,theta_fast,0.0781259932795358,0.0781259932795557,1.9886869928598117e-14
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,sigma_fast,0.4195628559849137,0.4195628559849265,1.27675647831893e-14
