case,geometry,noise,model,arm,parameter,true,estimated,absolute_error
905101_00,rich,0.0,unified_v6/unified,encoder,kappa_slow,0.4515711432074293,0.4693783626454036,0.01780721943797431
905101_00,rich,0.0,unified_v6/unified,encoder,theta_slow,0.031871077108963926,0.05883454304583183,0.0269634659368679
905101_00,rich,0.0,unified_v6/unified,encoder,sigma_slow,0.036660762881715,0.11496227551728797,0.07830151263557297
905101_00,rich,0.0,unified_v6/unified,encoder,rho_slow,-0.39058756248758686,-0.34914969444180016,0.0414378680457867
905101_00,rich,0.0,unified_v6/unified,encoder,v0_slow,0.0520946267116691,0.06838327013417841,0.016288643422509318
905101_00,rich,0.0,unified_v6/unified,encoder,kappa_fast,8.066470891631734,7.285835028479404,0.7806358631523302
905101_00,rich,0.0,unified_v6/unified,encoder,theta_fast,0.07812599327953584,0.059151423577749426,0.018974569701786417
905101_00,rich,0.0,unified_v6/unified,encoder,sigma_fast,0.4195628559849137,0.4632751460865773,0.04371229010166361
905101_00,rich,0.0,unified_v6/unified,encoder,rho_fast,-0.22326062210053133,0.0005044693776186348,0.22376509147814996
905101_00,rich,0.0,unified_v6/unified,encoder,v0_fast,0.08938647236998075,0.0713999770115536,0.017986495358427154
905101_00,rich,0.0,unified_v6/unified,refined,kappa_slow,0.4515711432074293,0.435959409503112,0.015611733704317288
905101_00,rich,0.0,unified_v6/unified,refined,theta_slow,0.031871077108963926,0.038188424777660226,0.006317347668696301
905101_00,rich,0.0,unified_v6/unified,refined,sigma_slow,0.036660762881715,0.049587439844306,0.012926676962590998
905101_00,rich,0.0,unified_v6/unified,refined,rho_slow,-0.39058756248758686,-0.22920241776633696,0.1613851447212499
905101_00,rich,0.0,unified_v6/unified,refined,v0_slow,0.0520946267116691,0.05860397708228279,0.0065093503706136965
905101_00,rich,0.0,unified_v6/unified,refined,kappa_fast,8.066470891631734,7.998444506608638,0.06802638502309666
905101_00,rich,0.0,unified_v6/unified,refined,theta_fast,0.07812599327953584,0.07145085583158696,0.006675137447948884
905101_00,rich,0.0,unified_v6/unified,refined,sigma_fast,0.4195628559849137,0.4282966089010585,0.008733752916144755
905101_00,rich,0.0,unified_v6/unified,refined,rho_fast,-0.22326062210053133,-0.23601153921485593,0.012750917114324606
905101_00,rich,0.0,unified_v6/unified,refined,v0_fast,0.08938647236998075,0.08285420392511617,0.0065322684448645835
905101_00,rich,0.0,seed_17/repaired,encoder,kappa_slow,0.4515711432074293,0.4565218673051085,0.0049507240976792155
905101_00,rich,0.0,seed_17/repaired,encoder,theta_slow,0.031871077108963926,0.056132135135592634,0.024261058026628708
905101_00,rich,0.0,seed_17/repaired,encoder,sigma_slow,0.036660762881715,0.11056375672475502,0.07390299384304003
905101_00,rich,0.0,seed_17/repaired,encoder,rho_slow,-0.39058756248758686,-0.3675943310548424,0.022993231432744454
905101_00,rich,0.0,seed_17/repaired,encoder,v0_slow,0.0520946267116691,0.06823827201329914,0.016143645301630045
905101_00,rich,0.0,seed_17/repaired,encoder,kappa_fast,8.066470891631734,6.7291353391473585,1.337335552484376
905101_00,rich,0.0,seed_17/repaired,encoder,theta_fast,0.07812599327953584,0.056203730598183954,0.02192226268135189
905101_00,rich,0.0,seed_17/repaired,encoder,sigma_fast,0.4195628559849137,0.4347689752616231,0.015206119276709396
905101_00,rich,0.0,seed_17/repaired,encoder,rho_fast,-0.22326062210053133,-0.034352628563677864,0.18890799353685345
905101_00,rich,0.0,seed_17/repaired,encoder,v0_fast,0.08938647236998075,0.07147596837267554,0.017910503997305205
905101_00,rich,0.0,seed_17/repaired,refined,kappa_slow,0.4515711432074293,0.43386186584095954,0.017709277366469767
905101_00,rich,0.0,seed_17/repaired,refined,theta_slow,0.031871077108963926,0.03849378148696001,0.006622704377996086
905101_00,rich,0.0,seed_17/repaired,refined,sigma_slow,0.036660762881715,0.04934323134344079,0.012682468461725792
905101_00,rich,0.0,seed_17/repaired,refined,rho_slow,-0.39058756248758686,-0.22762256917029444,0.16296499331729242
905101_00,rich,0.0,seed_17/repaired,refined,v0_slow,0.0520946267116691,0.05897407372454922,0.006879447012880124
905101_00,rich,0.0,seed_17/repaired,refined,kappa_fast,8.066470891631734,7.988835987540052,0.07763490409168217
905101_00,rich,0.0,seed_17/repaired,refined,theta_fast,0.07812599327953584,0.07108315353495549,0.007042839744580351
905101_00,rich,0.0,seed_17/repaired,refined,sigma_fast,0.4195628559849137,0.42882448973857434,0.009261633753660625
905101_00,rich,0.0,seed_17/repaired,refined,rho_fast,-0.22326062210053133,-0.23673764397834715,0.013477021877815826
905101_00,rich,0.0,seed_17/repaired,refined,v0_fast,0.08938647236998075,0.0824812636057418,0.006905208764238946
905101_00,rich,0.0,seed_29/repaired,encoder,kappa_slow,0.4515711432074293,0.4632196220357531,0.011648478828323816
905101_00,rich,0.0,seed_29/repaired,encoder,theta_slow,0.031871077108963926,0.058425287429638366,0.02655421032067444
905101_00,rich,0.0,seed_29/repaired,encoder,sigma_slow,0.036660762881715,0.11138858095620377,0.07472781807448878
905101_00,rich,0.0,seed_29/repaired,encoder,rho_slow,-0.39058756248758686,-0.36898498768071425,0.02160257480687261
905101_00,rich,0.0,seed_29/repaired,encoder,v0_slow,0.0520946267116691,0.06936390550537144,0.017269278793702346
905101_00,rich,0.0,seed_29/repaired,encoder,kappa_fast,8.066470891631734,6.99929391271163,1.0671769789201049
905101_00,rich,0.0,seed_29/repaired,encoder,theta_fast,0.07812599327953584,0.058756377537610045,0.0193696157419258
905101_00,rich,0.0,seed_29/repaired,encoder,sigma_fast,0.4195628559849137,0.452257483023025,0.03269462703811127
905101_00,rich,0.0,seed_29/repaired,encoder,rho_fast,-0.22326062210053133,-0.046179575111013185,0.17708104698951815
905101_00,rich,0.0,seed_29/repaired,encoder,v0_fast,0.08938647236998075,0.07550370547373014,0.013882766896250606
905101_00,rich,0.0,seed_29/repaired,refined,kappa_slow,0.4515711432074293,0.4375984144176581,0.013972728789771183
905101_00,rich,0.0,seed_29/repaired,refined,theta_slow,0.031871077108963926,0.03821639043881809,0.006345313329854163
905101_00,rich,0.0,seed_29/repaired,refined,sigma_slow,0.036660762881715,0.048897147460947754,0.012236384579232755
905101_00,rich,0.0,seed_29/repaired,refined,rho_slow,-0.39058756248758686,-0.2357578430703104,0.15482971941727647
905101_00,rich,0.0,seed_29/repaired,refined,v0_slow,0.0520946267116691,0.058589759673942046,0.0064951329622729495
905101_00,rich,0.0,seed_29/repaired,refined,kappa_fast,8.066470891631734,8.003959652309382,0.06251123932235281
905101_00,rich,0.0,seed_29/repaired,refined,theta_fast,0.07812599327953584,0.07147107902337943,0.006654914256156413
905101_00,rich,0.0,seed_29/repaired,refined,sigma_fast,0.4195628559849137,0.42873603732326315,0.009173181338349434
905101_00,rich,0.0,seed_29/repaired,refined,rho_fast,-0.22326062210053133,-0.23582494447452848,0.012564322373997155
905101_00,rich,0.0,seed_29/repaired,refined,v0_fast,0.08938647236998075,0.08286991675617242,0.006516555613808331
905101_00,rich,0.0,seed_43/repaired,encoder,kappa_slow,0.4515711432074293,0.4573165714673568,0.005745428259927521
905101_00,rich,0.0,seed_43/repaired,encoder,theta_slow,0.031871077108963926,0.056666729489249744,0.024795652380285818
905101_00,rich,0.0,seed_43/repaired,encoder,sigma_slow,0.036660762881715,0.11005121063139392,0.07339044774967893
905101_00,rich,0.0,seed_43/repaired,encoder,rho_slow,-0.39058756248758686,-0.37149140306682227,0.01909615942076459
905101_00,rich,0.0,seed_43/repaired,encoder,v0_slow,0.0520946267116691,0.06678019191313726,0.014685565201468166
905101_00,rich,0.0,seed_43/repaired,encoder,kappa_fast,8.066470891631734,6.921040131245591,1.1454307603861436
905101_00,rich,0.0,seed_43/repaired,encoder,theta_fast,0.07812599327953584,0.05589200039768535,0.022233992881850496
905101_00,rich,0.0,seed_43/repaired,encoder,sigma_fast,0.4195628559849137,0.44293343173616456,0.023370575751250844
905101_00,rich,0.0,seed_43/repaired,encoder,rho_fast,-0.22326062210053133,-0.043579669437396135,0.1796809526631352
905101_00,rich,0.0,seed_43/repaired,encoder,v0_fast,0.08938647236998075,0.07135783768870509,0.018028634681275663
905101_00,rich,0.0,seed_43/repaired,refined,kappa_slow,0.4515711432074293,0.43495096354120827,0.016620179666221035
905101_00,rich,0.0,seed_43/repaired,refined,theta_slow,0.031871077108963926,0.0385471617321252,0.006676084623161271
905101_00,rich,0.0,seed_43/repaired,refined,sigma_slow,0.036660762881715,0.049156765381391763,0.012496002499676764
905101_00,rich,0.0,seed_43/repaired,refined,rho_slow,-0.39058756248758686,-0.2301172124597755,0.16047035002781135
905101_00,rich,0.0,seed_43/repaired,refined,v0_slow,0.0520946267116691,0.05899605629832908,0.006901429586659985
905101_00,rich,0.0,seed_43/repaired,refined,kappa_fast,8.066470891631734,7.992627705855121,0.07384318577661375
905101_00,rich,0.0,seed_43/repaired,refined,theta_fast,0.07812599327953584,0.07106099546622331,0.007064997813312532
905101_00,rich,0.0,seed_43/repaired,refined,sigma_fast,0.4195628559849137,0.42909658825717056,0.009533732272256845
905101_00,rich,0.0,seed_43/repaired,refined,rho_fast,-0.22326062210053133,-0.2366984056325248,0.013437783531993486
905101_00,rich,0.0,seed_43/repaired,refined,v0_fast,0.08938647236998075,0.08246033497665085,0.006926137393329895
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,kappa_slow,0.4515711432074293,0.4515711432074366,7.271960811294775e-15
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,theta_slow,0.031871077108963926,0.03187107710894359,2.0337898032352086e-14
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,sigma_slow,0.036660762881715,0.03666076288167718,3.7816971776294395e-14
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,rho_slow,-0.39058756248758686,-0.39058756248803217,4.453104551771503e-13
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,v0_slow,0.0520946267116691,0.05209462671164978,1.9317880628477724e-14
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,kappa_fast,8.066470891631734,8.06647089163308,1.3447021274259896e-12
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,theta_fast,0.07812599327953584,0.07812599327955573,1.9886869928598117e-14
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,sigma_fast,0.4195628559849137,0.4195628559849265,1.27675647831893e-14
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,rho_fast,-0.22326062210053133,-0.22326062210049816,3.316791286067655e-14
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,v0_fast,0.08938647236998075,0.08938647237000082,2.0067281170099704e-14
