case,geometry,noise,model,arm,n_fit,n_hold,failed_prices,price_bound_violations,invalid_iv_pairs,price_rmse_spot,iv_rmse,z_mae,z_max_error,parameter_gate,price_gate,seconds,truth_quadrature_max_difference,predicted_quadrature_max_difference,failed_parameter_case
905101_00,rich,0.0,unified_v6/unified,encoder,60,30,0,0,0,0.0003203266196854413,0.0020108120608077107,0.3446934209242423,0.9572614462186134,False,False,0.23507679199974518,1.482147737874584e-14,1.482147737874584e-14,False
905101_00,rich,0.0,unified_v6/unified,refined,60,30,0,0,0,2.7606647910261002e-05,8.664127555120686e-05,0.12528342169000947,0.47214178107763577,False,False,1.0089000840016524,1.482147737874584e-14,1.4932499681208355e-14,False
905101_00,rich,0.0,seed_17/repaired,encoder,60,30,0,0,0,0.0014348366808785264,0.004304880897747341,0.3260942840558417,0.9548329786072507,False,False,0.006078749996959232,1.482147737874584e-14,1.482147737874584e-14,False
905101_00,rich,0.0,seed_17/repaired,refined,60,30,0,0,0,2.5232145021371266e-05,8.112596913394171e-05,0.12862911329506166,0.4764687658975823,False,False,0.3356603330030339,1.482147737874584e-14,1.4876988529977098e-14,False
905101_00,rich,0.0,seed_29/repaired,encoder,60,30,0,0,0,0.00034232121226221104,0.0024671779699713832,0.32010322513702627,0.925256521378837,False,False,0.005524749998585321,1.482147737874584e-14,1.482147737874584e-14,False
905101_00,rich,0.0,seed_29/repaired,refined,60,30,0,0,0,2.7057662092585004e-05,8.388000862206568e-05,0.12115245716859861,0.45384953434470976,False,False,0.33389954199810745,1.482147737874584e-14,1.4932499681208355e-14,False
905101_00,rich,0.0,seed_43/repaired,encoder,60,30,0,0,0,0.0019674583481621966,0.006316771910005495,0.3214629243960959,0.9394989300931245,False,False,0.005368334001104813,1.482147737874584e-14,1.4432899320127035e-14,False
905101_00,rich,0.0,seed_43/repaired,refined,60,30,0,0,0,2.6127661896487485e-05,8.247827979181749e-05,0.1271587503099023,0.46951608911772325,False,False,0.3450169999996433,1.482147737874584e-14,1.482147737874584e-14,False
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,60,30,0,0,0,1.1340369131402102e-16,1.2984547556162715e-15,6.165586384199908e-13,3.0207745773301263e-12,True,True,1.969316875001823,1.482147737874584e-14,1.4876988529977098e-14,False
905101_00,rich,0.01,unified_v6/unified,encoder,60,30,0,0,0,0.000532502402051729,0.003203094990755343,0.34364754935180175,0.9560637010151667,False,False,0.007477792001736816,1.482147737874584e-14,1.4710455076283324e-14,False
905101_00,rich,0.01,unified_v6/unified,refined,60,30,0,0,0,0.00020803442947186162,0.0015167945906158116,0.27336631058763455,0.6928056655365701,False,False,0.37585041700367583,1.482147737874584e-14,1.587618925213974e-14,False
905101_00,rich,0.01,seed_17/repaired,encoder,60,30,0,0,0,0.0013962746596195897,0.006185196196555603,0.32704141121533203,0.9560995807637062,False,False,0.005814124997414183,1.482147737874584e-14,1.459943277382081e-14,False
905101_00,rich,0.01,seed_17/repaired,refined,60,30,0,0,0,0.00020464860698031018,0.001504307518236354,0.2656725884065021,0.6711828759960805,False,False,0.37691041699872585,1.482147737874584e-14,1.482147737874584e-14,False
905101_00,rich,0.01,seed_29/repaired,encoder,60,30,0,0,0,0.0002964743833909137,0.0015608954919797253,0.31470532788408023,0.9294843747446125,False,False,0.007407790995785035,1.482147737874584e-14,1.4988010832439613e-14,False
905101_00,rich,0.01,seed_29/repaired,refined,60,30,0,0,0,0.00020376149017142656,0.001484411717019932,0.2504400511687369,0.6414372564167806,False,False,0.3915808749952703,1.482147737874584e-14,1.5210055437364645e-14,False
905101_00,rich,0.01,seed_43/repaired,encoder,60,30,0,0,0,0.001862144020556246,0.006595196201306255,0.3220807875148122,0.93665177107293,False,False,0.0069821249999222346,1.482147737874584e-14,1.4432899320127035e-14,False
905101_00,rich,0.01,seed_43/repaired,refined,60,30,0,0,0,0.0002054855596299136,0.0014934807954651004,0.26486328660298997,0.6559521849733841,False,False,0.3786939999990864,1.482147737874584e-14,1.5709655798445965e-14,False
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,60,30,0,0,0,0.00025526093583379456,0.001814692645811228,2.7876532056912615,10.19007248069304,False,False,48.51267899999948,1.482147737874584e-14,5.367928324062632e-14,False
905101_00,single_expiry,0.0,unified_v6/unified,encoder,10,5,0,0,0,0.00019773389087283526,0.0013632082707444953,0.3852466066317838,1.028841125481053,False,False,0.005211875002714805,8.076872504148014e-15,7.965850201685498e-15,False
905101_00,single_expiry,0.0,unified_v6/unified,refined,10,5,0,0,0,1.230388447919359e-06,8.658029151677555e-06,0.3339814265882207,0.9661881395146245,False,False,0.31093554200197104,8.076872504148014e-15,8.049116928532385e-15,False
905101_00,single_expiry,0.0,seed_17/repaired,encoder,10,5,0,0,0,0.0002903231986423536,0.0017839267339021477,0.35746387393449114,1.0202099623945444,False,False,0.004231541999615729,8.076872504148014e-15,8.049116928532385e-15,False
905101_00,single_expiry,0.0,seed_17/repaired,refined,10,5,0,0,0,9.738703905579663e-07,6.991130947353073e-06,0.32702947828935613,0.9569829152792695,False,True,0.3096575000017765,8.076872504148014e-15,8.076872504148014e-15,False
905101_00,single_expiry,0.0,seed_29/repaired,encoder,10,5,0,0,0,0.0006170195877174756,0.003769940345595758,0.34969910428204903,0.9920277548069921,False,False,0.0048762500009615906,8.076872504148014e-15,8.215650382226158e-15,False
905101_00,single_expiry,0.0,seed_29/repaired,refined,10,5,0,0,0,1.063041627772353e-06,7.625690315598474e-06,0.3213121879835621,0.9266925799557333,False,False,0.30591520800226135,8.076872504148014e-15,8.1601392309949e-15,False
