case,geometry,noise,model,arm,parameter,true,estimated,absolute_error
905011_00,rich,0.0,unified_v6/unified,encoder,kappa_slow,0.6104014093150959,0.521009031956262,0.08939237735883387
905011_00,rich,0.0,unified_v6/unified,encoder,theta_slow,0.09931634567578015,0.3027470869522065,0.20343074127642632
905011_00,rich,0.0,unified_v6/unified,encoder,sigma_slow,0.06989254515643074,0.2979968294091242,0.22810428425269347
905011_00,rich,0.0,unified_v6/unified,encoder,rho_slow,-0.07288610054294622,-0.3424464323478938,0.26956033180494754
905011_00,rich,0.0,unified_v6/unified,encoder,v0_slow,0.3924744278201947,0.2839017141143724,0.10857271370582228
905011_00,rich,0.0,unified_v6/unified,encoder,kappa_fast,9.520539381280692,6.611130788144831,2.9094085931358604
905011_00,rich,0.0,unified_v6/unified,encoder,theta_fast,0.37095848126237607,0.35707604101171064,0.013882440250665429
905011_00,rich,0.0,unified_v6/unified,encoder,sigma_fast,2.0083047676827026,0.9971195568602178,1.0111852108224848
905011_00,rich,0.0,unified_v6/unified,encoder,rho_fast,0.09166248164727915,-0.009636156064874899,0.10129863771215405
905011_00,rich,0.0,unified_v6/unified,encoder,v0_fast,0.10735252423303622,0.2512259335900338,0.1438734093569976
905011_00,rich,0.0,unified_v6/unified,refined,kappa_slow,0.6104014093150959,0.6008458070751955,0.009555602239900374
905011_00,rich,0.0,unified_v6/unified,refined,theta_slow,0.09931634567578015,0.07765855112709527,0.021657794548684883
905011_00,rich,0.0,unified_v6/unified,refined,sigma_slow,0.06989254515643074,0.17131552153155571,0.10142297637512497
905011_00,rich,0.0,unified_v6/unified,refined,rho_slow,-0.07288610054294622,0.0004558188514668159,0.07334191939441304
905011_00,rich,0.0,unified_v6/unified,refined,v0_slow,0.3924744278201947,0.3658282022310169,0.026646225589177785
905011_00,rich,0.0,unified_v6/unified,refined,kappa_fast,9.520539381280692,9.817150524281974,0.29661114300128233
905011_00,rich,0.0,unified_v6/unified,refined,theta_fast,0.37095848126237607,0.39281545696401476,0.021856975701638692
905011_00,rich,0.0,unified_v6/unified,refined,sigma_fast,2.0083047676827026,1.8502239149438096,0.15808085273889305
905011_00,rich,0.0,unified_v6/unified,refined,rho_fast,0.09166248164727915,0.08295669606185055,0.008705785585428602
905011_00,rich,0.0,unified_v6/unified,refined,v0_fast,0.10735252423303622,0.13458955844677029,0.027237034213734065
905011_00,rich,0.0,unified_v6/unified,hybrid_polish,kappa_slow,0.6104014093150959,0.6104014093150377,5.81756864903582e-14
905011_00,rich,0.0,unified_v6/unified,hybrid_polish,theta_slow,0.09931634567578015,0.09931634567577917,9.853229343548264e-16
905011_00,rich,0.0,unified_v6/unified,hybrid_polish,sigma_slow,0.06989254515643074,0.0698925451571924,7.616546282562808e-13
905011_00,rich,0.0,unified_v6/unified,hybrid_polish,rho_slow,-0.07288610054294622,-0.0728861005420495,8.967271369897389e-13
905011_00,rich,0.0,unified_v6/unified,hybrid_polish,v0_slow,0.3924744278201947,0.39247442782019626,1.5543122344752192e-15
905011_00,rich,0.0,unified_v6/unified,hybrid_polish,kappa_fast,9.520539381280692,9.520539381280722,3.019806626980426e-14
