case,geometry,noise,model,arm,n_fit,n_hold,failed_prices,invalid_iv_pairs,price_rmse_spot,iv_rmse,z_mae,z_max_error,parameter_gate,price_gate,seconds,truth_quadrature_max_difference
905011_00,rich,0.0,unified_v6/unified,encoder,60,30,0,0,0.006366055664994963,0.025711479420039283,0.5708452300682441,1.1562424188093652,False,False,1.3691430420003599,2.09277040141842e-14
905011_00,rich,0.0,unified_v6/unified,refined,60,30,0,0,0.00018783397756508415,0.0006016183937090214,0.23471064377778803,1.2500276316147576,False,False,1.3691430420003599,2.09277040141842e-14
905011_00,rich,0.0,unified_v6/unified,hybrid_polish,60,30,0,0,1.586363281428938e-16,9.38778750585887e-16,1.4013704570790428e-12,1.05310154206366e-11,True,True,5.639701166997838,2.09277040141842e-14
905011_00,rich,0.01,unified_v6/unified,encoder,60,30,0,0,0.004996633174600205,0.019497919662371528,0.5731692824359723,1.153914206320899,False,False,0.6477639579970855,2.09277040141842e-14
905011_00,rich,0.01,unified_v6/unified,refined,60,30,0,0,0.0005777396800420905,0.0023506239119002502,0.35535786609062553,1.0874224675985287,False,False,0.6477639579970855,2.09277040141842e-14
905011_00,rich,0.01,unified_v6/unified,hybrid_polish,60,30,0,0,0.0004756832270936468,0.0017556161367983548,5.744083623694927,22.636122736204936,False,False,10.780855207995046,2.09277040141842e-14
905011_00,single_expiry,0.0,unified_v6/unified,encoder,10,5,0,0,0.000911338778159835,0.00470858351200711,0.5733660162278852,1.112597434873217,False,False,0.5495055000064895,1.3211653993039363e-14
905011_00,single_expiry,0.0,unified_v6/unified,refined,10,5,0,0,3.9986753399417347e-07,2.2659275597246e-06,0.5475427710292651,1.1299671485363296,False,True,0.5495055000064895,1.3211653993039363e-14
905011_00,single_expiry,0.0,unified_v6/unified,hybrid_polish,10,5,0,0,2.8698982857841047e-08,1.5161141605804454e-07,0.6574709271186125,1.8016531442145733,False,True,35.27221087500948,1.3211653993039363e-14
905011_00,single_expiry,0.01,unified_v6/unified,encoder,10,5,0,0,0.0006153520987703065,0.003343447024388405,0.5742066246551213,1.1054347397392281,False,False,0.8030930829991121,1.3211653993039363e-14
905011_00,single_expiry,0.01,unified_v6/unified,refined,10,5,0,0,0.00037156176482678634,0.002143600214362283,0.5257350560966665,1.1003772767106659,False,False,0.8030930829991121,1.3211653993039363e-14
905011_00,single_expiry,0.01,unified_v6/unified,hybrid_polish,10,5,0,0,0.000456153860968961,0.0026968756757468925,5.140132652670898,12.854181501195932,False,False,24.700641290997737,1.3211653993039363e-14
905011_01,rich,0.0,unified_v6/unified,encoder,60,30,0,0,0.0008958252085700962,0.006048385220199431,0.6623967855093538,1.791825401947598,False,False,0.7818028749970836,8.659739592076221e-15
905011_01,rich,0.0,unified_v6/unified,refined,60,30,0,0,6.237797575627172e-05,0.00024058076139729008,0.45480116565172735,1.2983267761644965,False,False,0.7818028749970836,8.659739592076221e-15
905011_01,rich,0.0,unified_v6/unified,hybrid_polish,60,30,0,0,1.1284881910903522e-16,2.1963071716214826e-13,3.813178347154908e-12,1.150911853199915e-11,True,True,14.154522290991736,8.659739592076221e-15
905011_01,rich,0.01,unified_v6/unified,encoder,60,30,0,0,0.0007250503549013116,0.005151749251726796,0.6641985354603084,1.7951758082893634,False,False,0.6729528330033645,8.659739592076221e-15
905011_01,rich,0.01,unified_v6/unified,refined,60,30,0,0,0.0001213941752979903,0.0005738481285718922,0.44194174292684857,1.6152496656514992,False,False,0.6729528330033645,8.659739592076221e-15
905011_01,rich,0.01,unified_v6/unified,hybrid_polish,60,30,0,0,0.0001660539282117244,0.0013472802396973067,1.3809610472695293,5.304671472060863,False,False,25.140206124000542,8.659739592076221e-15
905011_01,single_expiry,0.0,unified_v6/unified,encoder,10,5,0,0,0.0004368823584844721,0.0029962730489385093,0.6822198080849027,1.8646251908480198,False,False,0.6734580419943086,8.43769498715119e-15
905011_01,single_expiry,0.0,unified_v6/unified,refined,10,5,0,0,7.644409401000243e-06,0.00013553423696298193,0.7082632449222769,1.8180012624139859,False,False,0.6734580419943086,8.43769498715119e-15
905011_01,single_expiry,0.0,unified_v6/unified,hybrid_polish,10,5,0,0,9.302041341255803e-09,1.1481596790630966e-06,0.6100452377205987,2.00036167677502,False,True,37.32814800099004,8.43769498715119e-15
905011_01,single_expiry,0.01,unified_v6/unified,encoder,10,5,0,0,0.00030669064154201106,0.002149149325660264,0.6878534041057027,1.8661943788971986,False,False,0.6652149169967743,8.43769498715119e-15
905011_01,single_expiry,0.01,unified_v6/unified,refined,10,5,0,0,5.7211324692421365e-05,0.0009187089346203005,0.6326220621270447,1.808717554834209,False,False,0.6652149169967743,8.43769498715119e-15
905011_01,single_expiry,0.01,unified_v6/unified,hybrid_polish,10,5,0,0,6.670357540201664e-05,0.0006445902937544391,4.060106843866111,11.585420029002213,False,False,36.085670208995,8.43769498715119e-15
