generator_factors,case,model,model_factors,status,own_model,parameter_gate,neural_holdout_price_rmse,neural_fit_price_rmse,exact_holdout_price_rmse,exact_fit_price_rmse,seconds,optimizer_success,scaled_parameter_rmse,tolerance_scaled_rmse,worst_tolerance_error
1,0,single_sobolev_s17,1,fitted,True,True,1.1897580730855107e-05,1.3199873228866518e-05,1.590750933118081e-05,1.5857817243622846e-05,0.10441354100476019,True,0.00495221216073992,0.09064530502231546,0.1678651394947081
1,0,double_sobolev_s17,2,fitted,False,,5.970097017946217e-05,6.150174547352707e-05,0.0001411851279193165,0.00014649460695418455,0.3873067920067115,True,,,
1,0,deep11_s17,2,fitted,False,,5.579616206859056e-05,5.621197216917419e-05,0.00012579660369550414,0.00013250776495223312,0.5808180839958368,True,,,
1,1,single_sobolev_s17,1,fitted,True,True,5.562502594882883e-06,5.9101116337739015e-06,2.7277939563499532e-05,2.7651238099705015e-05,0.07632575000752695,True,0.015307947278034183,0.30563455960812275,0.6826115721848715
1,1,double_sobolev_s17,2,fitted,False,,3.890764673832233e-06,3.520775651607808e-06,3.232527445457955e-05,3.001357317700459e-05,0.3959693749930011,True,,,
1,1,deep11_s17,2,fitted,False,,3.799089729957103e-06,3.514917888228571e-06,3.0006942855103667e-05,2.899247365463286e-05,1.077365874996758,True,,,
1,2,single_sobolev_s17,1,fitted,True,True,1.358168257981103e-05,1.3055171914510154e-05,1.2892042194572519e-05,1.3128115029829702e-05,0.08896175000700168,True,0.001849796123731499,0.03345040956175982,0.06735302409188994
1,2,double_sobolev_s17,2,fitted,False,,9.063522270355767e-06,8.519625911235547e-06,7.073908739778221e-05,6.783123904792771e-05,0.6151344579993747,True,,,
1,2,deep11_s17,2,fitted,False,,1.0955967359698566e-05,9.995964401190756e-06,7.043104690600018e-05,6.700929973770062e-05,1.058329583000159,True,,,
1,3,single_sobolev_s17,1,fitted,True,False,2.3066411415941214e-05,2.0809406558488373e-05,4.473417226340593e-05,4.222681062290518e-05,0.18320425000274554,True,0.1909780907681472,2.6085512895463325,4.469107970279739
1,3,double_sobolev_s17,2,fitted,False,,1.881263146618195e-05,1.6642790796109176e-05,5.9833018736781476e-05,5.653054926109881e-05,0.4437545830005547,True,,,
1,3,deep11_s17,2,fitted,False,,2.1590803143183935e-05,1.7553437517275518e-05,0.00011495621839105755,0.00011601083678265897,0.9130629160063108,True,,,
1,4,single_sobolev_s17,1,fitted,True,True,6.066431443170006e-06,6.24397745112507e-06,6.524466929131376e-06,6.332911216106722e-06,0.07350020899320953,True,0.0065973376862885486,0.13070031824295958,0.28976029986195767
1,4,double_sobolev_s17,2,fitted,False,,7.112497550996212e-06,6.310642635213804e-06,0.00011387321054458501,0.0001108648564678894,0.3492155419953633,True,,,
1,4,deep11_s17,2,fitted,False,,6.753529635199279e-06,6.808368704205977e-06,0.00011735935955618131,0.00011556529141240824,1.5003400419955142,True,,,
1,5,single_sobolev_s17,1,fitted,True,True,8.093173843910753e-06,8.499822997599194e-06,5.121430138988664e-06,5.558341526954932e-06,0.10381137499643955,True,0.0037564102655644792,0.07506008730179234,0.1600254192664706
1,5,double_sobolev_s17,2,fitted,False,,1.3594219920315043e-05,1.3242696379964106e-05,6.995335916832576e-05,6.858133415640228e-05,0.4905410840001423,True,,,
1,5,deep11_s17,2,fitted,False,,1.1842114439128532e-05,1.138493695720194e-05,6.050950187583925e-05,5.851196019856119e-05,0.8923206670006039,True,,,
2,0,single_sobolev_s17,1,fitted,False,,0.0001258917202588737,0.00012175333619699217,0.00011447595691185298,0.00010991845879180137,0.08285579200310167,True,,,
2,0,double_sobolev_s17,2,fitted,True,False,2.430661951695367e-05,2.263720528058852e-05,4.0084189841429575e-05,4.045422949069374e-05,0.3538505409960635,True,0.20601333189415758,3.8914391311033274,8.021542377407714
2,0,deep11_s17,2,fitted,True,False,2.1083491648614596e-05,1.984221418745965e-05,4.297197402810863e-05,4.494287629975689e-05,0.6035659170011058,True,0.17434433825538512,3.4163484830596165,7.54528984150559
2,1,single_sobolev_s17,1,fitted,False,,0.000191777897539227,0.00021383290595062125,0.00020036351767347628,0.0002192952298739455,0.1108369169960497,True,,,
2,1,double_sobolev_s17,2,fitted,True,False,6.2110849394995e-06,6.493713572239014e-06,7.453101834591079e-05,6.676708863984078e-05,0.39789841599122155,True,0.18068900016683032,3.6111418144579304,7.616666724097801
2,1,deep11_s17,2,fitted,True,False,6.63730859936598e-06,7.189500134078956e-06,4.3406423971179633e-05,3.9800996783608485e-05,0.6220252079947386,True,0.18797517596765526,3.721590102132822,6.9847164431052935
2,2,single_sobolev_s17,1,fitted,False,,0.00011651893671383004,0.0001357328379122663,0.00013654941151258347,0.00015180532225320763,0.09568699999363162,True,,,
2,2,double_sobolev_s17,2,fitted,True,False,9.138776857803241e-06,9.046214657611542e-06,5.2682230473813673e-05,5.208352209273516e-05,0.260617166000884,True,0.13838960066264172,2.76689229442941,8.514108145875234
2,2,deep11_s17,2,fitted,True,False,8.199683006927705e-06,7.826687781752144e-06,4.3091737889576404e-05,4.2856699020017404e-05,0.5037005829944974,True,0.14131915657097002,2.825567965389143,8.793483681152853
2,3,single_sobolev_s17,1,fitted,False,,0.0007678955426036621,0.0007355766051611334,0.0008027652523137636,0.0007742036971627065,0.12177716700534802,True,,,
2,3,double_sobolev_s17,2,fitted,True,False,5.154551711558151e-06,4.340717060289258e-06,7.860302876891645e-06,7.300115125281049e-06,0.3085391249915119,True,0.10532597452634261,2.101806025636494,3.686527794359184
2,3,deep11_s17,2,fitted,True,False,5.256508525178755e-06,4.689220767227073e-06,1.9984933313985975e-05,1.84279232417086e-05,0.4813984590000473,True,0.11475974202317854,2.289155328989796,4.086752061417727
2,4,single_sobolev_s17,1,fitted,False,,0.0003564851999501596,0.00033715234882774074,0.00036307212782957145,0.00034735799957628005,0.1547019160061609,True,,,
2,4,double_sobolev_s17,2,fitted,True,False,5.728740073703235e-06,6.230935842216211e-06,2.8422532678338945e-05,2.6880264579113006e-05,0.3541162090114085,True,0.2687341922247161,5.350016287393983,10.428764137824015
2,4,deep11_s17,2,fitted,True,False,5.193615345284677e-06,5.8014817199950025e-06,3.158521352108754e-05,2.9650324487097025e-05,0.716767042002175,True,0.2878053873782782,5.74154306275771,11.324406992677645
