generator_factors,case,model,model_factors,status,own_model,parameter_gate,neural_holdout_price_rmse,neural_fit_price_rmse,exact_holdout_price_rmse,exact_fit_price_rmse,seconds,optimizer_success,scaled_parameter_rmse,tolerance_scaled_rmse,worst_tolerance_error
1,0,single_sobolev_s17,1,fitted,True,True,1.1897580730855107e-05,1.3199873228866518e-05,1.590750933118081e-05,1.5857817243622846e-05,0.07942616699438076,True,0.00495221216073992,0.09064530502231546,0.1678651394947081
1,0,deep17_full_s29,2,fitted,False,,5.47275821221759e-05,5.1542402062886215e-05,0.00010256736921144718,9.915316134450735e-05,0.7071658330096398,True,,,
1,1,single_sobolev_s17,1,fitted,True,True,5.562502594882883e-06,5.9101116337739015e-06,2.7277939563499532e-05,2.7651238099705015e-05,0.07919512499938719,True,0.015307947278034183,0.30563455960812275,0.6826115721848715
1,1,deep17_full_s29,2,fitted,False,,3.050924999164802e-06,2.736857350598559e-06,4.818112028934172e-05,4.9201446664059396e-05,2.977351584006101,True,,,
1,2,single_sobolev_s17,1,fitted,True,True,1.358168257981103e-05,1.3055171914510154e-05,1.2892042194572519e-05,1.3128115029829702e-05,0.09914641600335017,True,0.001849796123731499,0.03345040956175982,0.06735302409188994
1,2,deep17_full_s29,2,fitted,False,,9.687015090957816e-06,8.772965993368682e-06,0.00013464876834243011,0.00013364491439267297,1.4845440839999355,True,,,
1,3,single_sobolev_s17,1,fitted,True,False,2.3066411415941214e-05,2.0809406558488373e-05,4.473417226340593e-05,4.222681062290518e-05,0.20973449999291915,True,0.1909780907681472,2.6085512895463325,4.469107970279739
1,3,deep17_full_s29,2,fitted,False,,2.3520303670619834e-05,1.9170062810389927e-05,0.00014671967094661052,0.00014583689577583786,1.41527483399841,True,,,
1,4,single_sobolev_s17,1,fitted,True,True,6.066431443170006e-06,6.24397745112507e-06,6.524466929131376e-06,6.332911216106722e-06,0.0830891670048004,True,0.0065973376862885486,0.13070031824295958,0.28976029986195767
1,4,deep17_full_s29,2,fitted,False,,2.274925739010081e-06,2.257945757929533e-06,3.067807389226435e-05,3.0668739068666664e-05,1.8878149579977617,True,,,
1,5,single_sobolev_s17,1,fitted,True,True,8.093173843910753e-06,8.499822997599194e-06,5.121430138988664e-06,5.558341526954932e-06,0.09862091700779274,True,0.0037564102655644792,0.07506008730179234,0.1600254192664706
1,5,deep17_full_s29,2,fitted,False,,5.4965533852048895e-06,5.243977802244362e-06,2.784298642629701e-05,2.6379760173893728e-05,1.208239625004353,True,,,
2,0,single_sobolev_s17,1,fitted,False,,0.0001258917202588737,0.00012175333619699217,0.00011447595691185298,0.00010991845879180137,0.08455395798955578,True,,,
2,0,deep17_full_s29,2,fitted,True,False,8.48923497396233e-06,8.531801806350442e-06,4.898224853081475e-05,4.8821393642964097e-05,0.8138785420014756,True,0.05787661668852915,1.1509789304775193,2.5013799118091256
2,1,single_sobolev_s17,1,fitted,False,,0.000191777897539227,0.00021383290595062125,0.00020036351767347628,0.0002192952298739455,0.11891062499489635,True,,,
2,1,deep17_full_s29,2,fitted,True,False,3.2636474442796366e-06,3.083402460832393e-06,6.518011634233102e-05,6.817616998382864e-05,1.0930781659990316,True,0.23222375420759833,4.396277752913028,9.427330533678159
2,2,single_sobolev_s17,1,fitted,False,,0.00011651893671383004,0.0001357328379122663,0.00013654941151258347,0.00015180532225320763,0.10566804200061597,True,,,
2,2,deep17_full_s29,2,fitted,True,False,7.402930544297388e-06,6.232423705681786e-06,3.126688537251886e-05,3.08844865144724e-05,1.0357411660079379,True,0.1559095363143005,3.0978534856645346,6.9232806557759865
2,3,single_sobolev_s17,1,fitted,False,,0.0007678955426036621,0.0007355766051611334,0.0008027652523137636,0.0007742036971627065,0.12910658300097566,True,,,
2,3,deep17_full_s29,2,fitted,True,False,6.234853077158833e-06,5.257216751592177e-06,3.1998062359103274e-05,3.295397149531388e-05,0.9368207920051645,True,0.08277585075727009,1.6229233755097832,2.9097669358510583
2,4,single_sobolev_s17,1,fitted,False,,0.0003564851999501596,0.00033715234882774074,0.00036307212782957145,0.00034735799957628005,0.16922483401140198,True,,,
2,4,deep17_full_s29,2,fitted,True,False,2.516529402668309e-06,2.190855523368334e-06,4.811241333610557e-05,4.797693993544745e-05,1.461186333996011,True,0.3228076739487244,6.443010312429083,13.448538707893297
2,5,single_sobolev_s17,1,fitted,False,,0.0001250899915228282,0.0001260433858784264,0.0001181383056873342,0.0001146168379363522,0.0846244169952115,True,,,
2,5,deep17_full_s29,2,fitted,True,False,3.715034812106102e-06,2.9567538109572533e-06,2.4197440776601774e-05,2.279625471468997e-05,1.2546142500068527,True,0.2694069277137049,5.286917228484828,12.709775620348422
