generator_factors,case,model,parameter_index,truth,estimate,tolerance_error
1,0,single_sobolev_s17,0,6.185171462692928,6.216268794703129,0.10055447030942027
1,0,single_sobolev_s17,1,0.05647052738456106,0.05646171480808317,0.003121124199133821
1,0,single_sobolev_s17,2,0.48171660113151465,0.4857597723538076,0.1678651394947081
1,0,single_sobolev_s17,3,-0.611499171548695,-0.608922682665703,0.051529777659840015
1,0,single_sobolev_s17,4,0.08606608886409692,0.08611475439621817,0.011308875020009025
1,1,single_sobolev_s17,0,1.3537887854953985,1.3539633139873082,0.002578371069100276
1,1,single_sobolev_s17,1,0.08684160953499372,0.08675555321611081,0.019819144150761032
1,1,single_sobolev_s17,2,0.11616609086087774,0.12013090675673346,0.6826115721848715
1,1,single_sobolev_s17,3,0.12958461753734518,0.12842844583733237,0.023123434000256182
1,1,single_sobolev_s17,4,0.058793094126801386,0.05883139118082864,0.01302773891935599
1,2,single_sobolev_s17,0,0.6321081986206093,0.6299794786840905,0.06735302409188994
1,2,single_sobolev_s17,1,0.17817852518450475,0.17837756778031733,0.022341928760097968
1,2,single_sobolev_s17,2,0.2041394018642788,0.20425186635599124,0.011018401218516244
1,2,single_sobolev_s17,3,-0.249261670133491,-0.24824152230944097,0.020402956481000434
1,2,single_sobolev_s17,4,0.07601095411261626,0.07599338420662306,0.004622993145740805
1,3,single_sobolev_s17,0,0.3718185294721477,0.35882601405363335,0.6988632565977386
1,3,single_sobolev_s17,1,0.08883320119817313,0.08542969249746603,0.7662695151814694
1,3,single_sobolev_s17,2,0.07079269585538983,0.05497368579114422,4.469107970279739
1,3,single_sobolev_s17,3,-0.6198905011261733,-0.7999889999999936,3.601969977476407
1,3,single_sobolev_s17,4,0.17057561855222772,0.17055377256466686,0.002561443158908442
1,4,single_sobolev_s17,0,0.9550157773080161,0.9535858536870114,0.029945549696264465
1,4,single_sobolev_s17,1,0.04700393867362906,0.04700975374530882,0.0024742912376524103
1,4,single_sobolev_s17,2,0.14253834997513096,0.1446034477266621,0.28976029986195767
1,4,single_sobolev_s17,3,0.18879478658689575,0.1876268599518598,0.02335853270071908
1,4,single_sobolev_s17,4,0.08721665770646142,0.08720866957676167,0.0018317899148661322
1,5,single_sobolev_s17,0,3.281275405889037,3.3075297795168446,0.1600254192664706
1,5,single_sobolev_s17,1,0.04966221049639122,0.04964860999831801,0.005477202056561085
1,5,single_sobolev_s17,2,0.18306252757331454,0.1835157121593465,0.04951145294882623
1,5,single_sobolev_s17,3,-0.5336763958495363,-0.5334699322980456,0.0041292710298135304
1,5,single_sobolev_s17,4,0.05354961242085732,0.05357095080296764,0.007969574809476694
2,0,deep17_full_s29,0,1.651636520704593,1.4928535557977205,1.922734971240952
2,0,deep17_full_s29,1,0.040915219502477784,0.04245550400974708,0.7529151870618808
2,0,deep17_full_s29,2,0.1549064249572864,0.14905126311773137,0.7559611347520963
2,0,deep17_full_s29,3,-0.6764611031364377,-0.6669636849436706,0.1899483638553412
2,0,deep17_full_s29,4,0.026188154555693153,0.02776319206941873,1.2028625464051061
2,0,deep17_full_s29,5,4.449782664693375,4.467971358948043,0.08175093313651369
2,0,deep17_full_s29,6,0.08222343018330798,0.08107256236105645,0.27993670896137485
2,0,deep17_full_s29,7,0.5114443747453801,0.5308017245990817,0.7569679444940064
2,0,deep17_full_s29,8,0.1851890456378179,0.19117826584429554,0.1197844041295526
2,0,deep17_full_s29,9,0.013133378993701258,0.011490800474250244,2.5013799118091256
2,1,deep17_full_s29,0,1.6697998237945209,1.4669333045325132,2.4298304068688363
2,1,deep17_full_s29,1,0.05875533791601479,0.04706022795149634,3.980952328530729
2,1,deep17_full_s29,2,0.2501557908806258,0.3033287678000638,4.251188967663125
2,1,deep17_full_s29,3,0.0639549306610746,0.02382805439655744,0.8025375252903433
2,1,deep17_full_s29,4,0.07921654929291927,0.06431620331509741,3.761927554487335
2,1,deep17_full_s29,5,4.549165673753501,5.168402631123261,2.7224198975317995
2,1,deep17_full_s29,6,0.04329494952330066,0.05486650186011511,5.34545135828687
2,1,deep17_full_s29,7,0.40441133170652555,0.3510803782390135,2.637460886294522
2,1,deep17_full_s29,8,-0.3939462873968452,-0.26322167919635364,2.6144921640098304
2,1,deep17_full_s29,9,0.03147183063508977,0.04630659812993625,9.427330533678159
2,2,deep17_full_s29,0,1.2104475086328694,1.3344083740806028,2.0481824211896633
2,2,deep17_full_s29,1,0.0309248168533984,0.03592516484319352,3.2338739553412204
2,2,deep17_full_s29,2,0.18238251404716438,0.1758194944366398,0.7196983378381737
2,2,deep17_full_s29,3,-0.09418228016537278,-0.08833117490384934,0.11702210523046874
2,2,deep17_full_s29,4,0.030835595961813102,0.03546312671594513,3.001421318311975
2,2,deep17_full_s29,5,8.352482376339516,8.242190466339704,0.2640937269433619
2,2,deep17_full_s29,6,0.014141801916022385,0.009246418733871707,6.9232806557759865
2,2,deep17_full_s29,7,0.12478550630887547,0.11087328138138314,2.229782182083884
2,2,deep17_full_s29,8,0.024960058978485744,0.0568856149535969,0.6385111195022231
2,2,deep17_full_s29,9,0.02165532869155133,0.017011712826779265,4.2886588616719905
2,3,deep17_full_s29,0,0.3788464821392923,0.3704493782781031,0.44329849989747505
2,3,deep17_full_s29,1,0.09253026128560245,0.0892307294052741,0.7131789826344622
2,3,deep17_full_s29,2,0.0802315438937579,0.09190429857547489,2.9097669358510583
2,3,deep17_full_s29,3,-0.5275031258420904,-0.4987064982685649,0.5759325514705094
2,3,deep17_full_s29,4,0.03442363400001969,0.030084073471005113,2.52126810842347
2,3,deep17_full_s29,5,6.796775747214781,6.781908390312222,0.04374826375182741
2,3,deep17_full_s29,6,0.034276210746913914,0.038609323424383536,2.528349886435307
2,3,deep17_full_s29,7,0.3753994774850671,0.3570858965213736,0.9756849469467865
2,3,deep17_full_s29,8,0.06795529424216118,0.06013075298464299,0.15649082515036383
2,3,deep17_full_s29,9,0.04854619583733244,0.052825091145993014,1.762813845599027
2,4,deep17_full_s29,0,1.0809510526741737,0.9573576552537241,2.286752894401479
2,4,deep17_full_s29,1,0.05080364043274417,0.030376366093524843,8.041657710046092
2,4,deep17_full_s29,2,0.17462209755571775,0.2170495573293401,4.859346024071752
2,4,deep17_full_s29,3,-0.009716440464684895,0.00693144792175171,0.3329577677287321
2,4,deep17_full_s29,4,0.06622060335498245,0.04453770373333109,6.548686820450099
2,4,deep17_full_s29,5,4.617121412450271,4.982228492172249,1.581535537434429
2,4,deep17_full_s29,6,0.04479986683691131,0.0649292127100492,8.986341832852505
2,4,deep17_full_s29,7,0.38501484362737315,0.3128723915850795,3.7475153613617493
2,4,deep17_full_s29,8,0.10874387199422375,0.07504451548706437,0.6739871301431877
2,4,deep17_full_s29,9,0.03210688392305741,0.05369641748451114,13.448538707893297
2,5,deep17_full_s29,0,0.5486948158467987,0.20000541617373824,12.709775620348422
2,5,deep17_full_s29,1,0.08253727363099257,0.0968631265522768,3.471365673000592
2,5,deep17_full_s29,2,0.09240976082601485,0.05120390903173491,8.91807346452515
2,5,deep17_full_s29,3,-0.5991481800370149,-0.5353833477839165,1.2752966450619674
2,5,deep17_full_s29,4,0.07345538543573793,0.08273481855696692,2.5265494330152425
2,5,deep17_full_s29,5,5.700537494665994,5.652045910380741,0.17012986698404153
2,5,deep17_full_s29,6,0.1493052147647979,0.1409630670792454,1.117462333608906
2,5,deep17_full_s29,7,0.4131411768800632,0.44945606340093575,1.7579892081981912
2,5,deep17_full_s29,8,0.07697504542694233,0.006700059399825431,1.405499720542338
2,5,deep17_full_s29,9,0.05344306336187388,0.04417077957842585,3.46996717634373
