generator_factors,case,model,model_factors,status,own_model,parameter_gate,neural_holdout_price_rmse,neural_fit_price_rmse,exact_holdout_price_rmse,exact_fit_price_rmse,seconds,optimizer_success,scaled_parameter_rmse,tolerance_scaled_rmse,worst_tolerance_error
1,0,single_sobolev_s17,1,fitted,True,True,9.070758458414227e-06,8.859229206320539e-06,1.6207757494610544e-05,1.6237526655115674e-05,0.10194687500188593,True,0.015566440025564664,0.2735417635312654,0.46251694387768827
1,0,double_sobolev_s17,2,fitted,False,,1.0921488792438082e-05,1.0338709735977659e-05,0.00010525175558484365,9.804459642275224e-05,0.6336140419880394,True,,,
1,0,deep11_s17,2,fitted,False,,1.263772157099154e-05,1.1922854014887519e-05,0.00012037872131052549,0.00011168196648379946,0.8765649159904569,True,,,
1,0,deep17_full_s29,2,fitted,False,,1.4385071077316937e-05,1.3753707192959966e-05,5.2108133191950304e-05,4.823850931726027e-05,2.6205171670007985,True,,,
1,0,deep11_balanced_s43,2,fitted,False,,1.1901793056500814e-05,1.1311515313854741e-05,7.433753016051205e-05,6.793401752957716e-05,0.8837622499995632,True,,,
1,1,single_sobolev_s17,1,fitted,True,True,1.4446968282378118e-05,1.5182661111350964e-05,2.4306119255668553e-05,2.421271692788637e-05,0.07909799998742528,True,0.01207579326917447,0.24149371454681776,0.48975349965525566
1,1,double_sobolev_s17,2,fitted,False,,5.69923561632301e-06,5.835926991243779e-06,0.00012127459995285105,0.000116630661291278,0.6463890000013635,True,,,
1,1,deep11_s17,2,fitted,False,,5.51537816151406e-06,5.92456972394162e-06,8.526891440616192e-05,8.194773609408703e-05,1.3369639580050716,True,,,
1,1,deep17_full_s29,2,fitted,False,,7.591377133835843e-06,8.361540056510434e-06,0.00010054997362148445,0.00010241598591234176,1.553000541010988,True,,,
1,1,deep11_balanced_s43,2,fitted,False,,6.435144336720861e-06,6.33304210134624e-06,0.00011737365667741674,0.00011369409862876522,1.6240081249998184,True,,,
1,2,single_sobolev_s17,1,fitted,True,False,1.3918208205750752e-05,1.342764204465092e-05,3.29283132736638e-05,3.222288487366966e-05,0.22159825000562705,True,0.14622743659530013,2.060167600923834,3.0916908246763506
1,2,double_sobolev_s17,2,fitted,False,,6.527365967335763e-06,5.906129952025765e-06,4.3602400363229074e-05,4.4259528470112503e-05,0.5393734160024906,True,,,
1,2,deep11_s17,2,fitted,False,,6.561341396807523e-06,5.96255716921417e-06,0.00012193844273597932,0.00011884568987305554,0.9625410830049077,True,,,
1,2,deep17_full_s29,2,fitted,False,,5.9586474205839586e-06,5.142141667839699e-06,2.530532892708531e-05,2.5549073468108e-05,1.2826530000020284,True,,,
1,2,deep11_balanced_s43,2,fitted,False,,6.279099745653839e-06,5.7199624967578825e-06,4.533736366088614e-05,4.5540658704479065e-05,0.7502104159939336,True,,,
1,3,single_sobolev_s17,1,fitted,True,True,8.059834916197622e-06,7.369736953011639e-06,1.3834530228037942e-05,1.421389030995893e-05,0.1123890409944579,True,0.01964288116847118,0.39218919785358375,0.8476217286571887
1,3,double_sobolev_s17,2,fitted,False,,1.567075284728003e-05,1.4126731760380755e-05,0.00014793102115472849,0.00013962217000294168,0.3886195420054719,True,,,
1,3,deep11_s17,2,fitted,False,,1.5686245409305597e-05,1.3745040963207601e-05,0.00010912478849017435,0.00010465693756581585,0.6381983329920331,True,,,
1,3,deep17_full_s29,2,fitted,False,,7.459293059524338e-06,7.618256046909843e-06,0.00017039445548064228,0.0001675698046740498,1.043424249990494,True,,,
1,3,deep11_balanced_s43,2,fitted,False,,1.3247145776004739e-05,1.187236818783459e-05,0.00013176675304488108,0.0001259727849784412,0.7046307919954415,True,,,
1,4,single_sobolev_s17,1,fitted,True,False,6.382752158207043e-06,6.094140030978634e-06,1.1601058504821848e-05,1.167886749002982e-05,0.10904758299875539,True,0.05879838422792005,1.1684312084560764,2.3495294974080734
1,4,double_sobolev_s17,2,fitted,False,,4.172749896586126e-06,3.640515299188508e-06,4.584243505084731e-05,4.3918526728601886e-05,0.49953370800358243,True,,,
1,4,deep11_s17,2,fitted,False,,5.955544201721456e-06,4.976611883660257e-06,6.172349265431859e-05,6.031962172282185e-05,0.8698459160077618,True,,,
1,4,deep17_full_s29,2,fitted,False,,8.573055761925817e-06,7.0630024846786946e-06,4.2654396785009554e-05,4.59758266895274e-05,1.2121430420083925,True,,,
1,4,deep11_balanced_s43,2,fitted,False,,5.2524724274128355e-06,4.354711419492627e-06,1.3418136141419699e-05,1.406498339414936e-05,0.8392192079918459,True,,,
