parameter,kappa_s,theta_s,sigma_s,rho_s,v0_s,kappa_f,theta_f,sigma_f,rho_f,v0_f
kappa_s,1.0,0.7715523284897728,0.8918982129485662,-0.36122982604843784,0.13031081621800794,0.09068839812965064,-0.055899192092529595,-0.1712528750347378,0.06744738717082098,-0.17046271410415575
theta_s,0.771552328489773,1.0,0.7311656341230461,-0.023546736768612284,0.39842899609397503,0.23613980886872724,-0.4839865088208902,-0.1014194238672546,-0.11538729163099475,-0.4296050644973597
sigma_s,0.8918982129485663,0.7311656341230461,1.0,-0.10769313696801197,0.005686687118588327,0.26274569457223024,-0.03323929030366845,-0.3290781948996594,0.03586268188915763,-0.018525539039266892
rho_s,-0.36122982604843784,-0.023546736768612284,-0.10769313696801197,1.0,-0.05834504141278437,0.33105748627987636,-0.4733717711644935,-0.08985250668064994,-0.37005901053078766,-0.0681539567634808
v0_s,0.13031081621800794,0.39842899609397503,0.005686687118588327,-0.05834504141278437,1.0,-0.32611115856110606,-0.5549229734312987,0.5225292465307286,-0.2405194764088927,-0.8727450263970988
kappa_f,0.09068839812965064,0.23613980886872724,0.26274569457223024,0.3310574862798764,-0.326111158561106,0.9999999999999999,-0.26053193873314445,-0.7576088229714256,-0.45782443448378723,0.46674146184702614
theta_f,-0.055899192092529595,-0.4839865088208902,-0.03323929030366845,-0.4733717711644936,-0.5549229734312987,-0.26053193873314445,0.9999999999999999,-0.03773242393692427,0.36199992423723265,0.5560822345258839
sigma_f,-0.1712528750347378,-0.1014194238672546,-0.3290781948996594,-0.08985250668064994,0.5225292465307286,-0.7576088229714256,-0.03773242393692427,1.0,0.12168429077601844,-0.6442322416022196
rho_f,0.06744738717082098,-0.11538729163099473,0.03586268188915763,-0.37005901053078766,-0.24051947640889268,-0.4578244344837872,0.3619999242372326,0.12168429077601843,1.0,0.20415498681602526
v0_f,-0.17046271410415575,-0.4296050644973597,-0.018525539039266892,-0.06815395676348078,-0.8727450263970988,0.46674146184702614,0.556082234525884,-0.6442322416022196,0.20415498681602526,1.0
