parameter,units,cases,mean_error,median_error,rmse,p90_error,pass_percent,bias,error_sd,sole_failure_cases,failure_cases
kappa_s,relative fraction,16,0.3802821067566592,0.1305061025778333,0.7675073467786285,0.8303654987091406,25.0,0.28848462857604323,0.7112272115396826,0,12
theta_s,relative fraction,16,0.32768082471401444,0.14312665634465793,0.6064539468069438,0.9460155459673915,25.0,0.21354664775019833,0.5676127366720836,0,12
sigma_s,relative fraction,16,0.40773210736126086,0.12062707222142069,0.7715919058609614,0.8412113684212501,6.25,0.32398123772575493,0.7002786779503133,0,15
rho_s,absolute correlation,16,0.07952218920812418,0.054176192071669654,0.11165332945734618,0.16962850051455092,37.5,0.029747587762010457,0.10761759615068614,0,10
v0_s,relative fraction,16,0.14446682627113355,0.0802743160850143,0.19754087103083035,0.33068762602583845,43.75,0.009500018013893469,0.1973123041914894,0,9
kappa_f,relative fraction,16,0.12248969540568652,0.016349230598163976,0.2588450160936121,0.4052139897994143,68.75,0.103413280409304,0.237289771780178,0,5
theta_f,relative fraction,16,0.26141847695168585,0.11608624345261152,0.4224989467034875,0.8175663881952752,31.25,0.0694771135816497,0.4167472743209233,0,11
sigma_f,relative fraction,16,0.08072849061347787,0.04270915059667329,0.1234375999366634,0.16721449933710772,56.25,-0.0245077084514388,0.12098021864992241,0,7
rho_f,absolute correlation,16,0.042788681686856046,0.020022276452728527,0.07138400288119333,0.122871461982033,81.25,0.005499298411079989,0.07117185949747351,0,3
v0_f,relative fraction,16,0.13672924503433856,0.07670474774635057,0.19407092390241348,0.2744125623239118,31.25,0.07079155572794969,0.18069886314515912,0,11
