parameter,kappa_s,theta_s,sigma_s,rho_s,v0_s,kappa_f,theta_f,sigma_f,rho_f,v0_f
kappa_s,0.9999999999999999,0.2834971045881068,0.44079474564034477,0.20135280763645558,0.2710775699208665,0.20333828320898784,-0.2092396615635981,0.04891949692731628,0.031697353730351145,-0.23089451105300066
theta_s,0.2834971045881068,1.0,0.2723949064797914,0.20507648229913736,0.675007755155937,0.5523602811140157,-0.8034462574061686,0.5274072959707902,0.052312007006775005,-0.6529028617504942
sigma_s,0.4407947456403448,0.2723949064797914,1.0,0.3039391721434764,0.09420813948281703,0.4590945880629197,-0.14330493579996162,-0.2747790975187718,0.14970680089336147,-0.1429538245572062
rho_s,0.20135280763645558,0.20507648229913736,0.3039391721434764,1.0,0.16254270411984392,0.03178435775834758,-0.26516841941013214,-0.1559354119100597,-0.07291574729021613,-0.2665029891575166
v0_s,0.27107756992086646,0.675007755155937,0.09420813948281705,0.16254270411984392,1.0,0.6113087999683677,-0.7561226287017729,0.6632129305811008,0.08998333467010657,-0.8593128950448877
kappa_f,0.20333828320898784,0.5523602811140157,0.4590945880629197,0.03178435775834758,0.6113087999683677,1.0,-0.535997421258488,0.22102746108013233,0.2083668025914107,-0.5947538816906336
theta_f,-0.2092396615635981,-0.8034462574061686,-0.14330493579996162,-0.2651684194101322,-0.7561226287017728,-0.535997421258488,1.0,-0.5438980777996045,-0.2061182704057582,0.7375512143266876
sigma_f,0.04891949692731628,0.5274072959707902,-0.2747790975187718,-0.15593541191005972,0.6632129305811008,0.22102746108013233,-0.5438980777996046,1.0,-0.18925575889261656,-0.5997426840002573
rho_f,0.031697353730351145,0.052312007006775,0.14970680089336147,-0.07291574729021615,0.08998333467010655,0.20836680259141066,-0.20611827040575817,-0.18925575889261656,1.0,-0.11775778030401396
v0_f,-0.23089451105300068,-0.6529028617504942,-0.1429538245572062,-0.2665029891575166,-0.8593128950448876,-0.5947538816906335,0.7375512143266876,-0.5997426840002573,-0.11775778030401395,1.0
