parameter,units,cases,mean_error,median_error,rmse,p90_error,pass_percent,bias,error_sd,sole_failure_cases,failure_cases
kappa_s,relative fraction,32,0.11654767503628094,0.05061421362285572,0.23964156284886134,0.22153959778354965,50.0,0.07320606594194322,0.22818621902724237,2,16
theta_s,relative fraction,32,0.1078443300754291,0.07838452717190122,0.14481883716246785,0.2552116813341408,34.375,0.00027690693599197527,0.14481857242646118,0,21
sigma_s,relative fraction,32,0.14149355874938363,0.07017687124553017,0.2178895880887014,0.39340112185161813,43.75,0.046640903513302676,0.21283913812296543,2,18
rho_s,absolute correlation,32,0.04740084401612612,0.033835151819602144,0.06685649529924602,0.11485434172484893,71.875,0.02187345588496089,0.06317707567897372,0,9
v0_s,relative fraction,32,0.08833380866669757,0.06539076712205372,0.12081276587095095,0.12557621543155295,34.375,0.009176635995376976,0.12046374454248698,0,21
kappa_f,relative fraction,32,0.029555119673061677,0.011719161380536604,0.05561931749596492,0.06540631144062337,81.25,0.010484738292690152,0.05462214515790044,0,6
theta_f,relative fraction,32,0.12779714156001482,0.06411638289116893,0.21273196838154543,0.2639480486381099,37.5,0.051016341093142965,0.20652414704570246,0,20
sigma_f,relative fraction,32,0.042418464153104615,0.024496142083335795,0.0635414791686477,0.11856467959714943,75.0,-0.007373137587075989,0.06311225251139226,0,8
rho_f,absolute correlation,32,0.015353878496707213,0.006946146304050049,0.024834252781719846,0.04317655447828733,90.625,0.00606447698276257,0.024082404991028258,0,3
v0_f,relative fraction,32,0.09024316276837396,0.060884648805569055,0.14530946283935442,0.1645312184529557,40.625,0.03445877616706196,0.14116455906398764,0,19
