source,group,case,direct_passes,canonical_passes,permutation_passes,permutation_swapped,permutation_tolerance_rmse
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Original Double Heston|rich|directory,0,3,3,3,False,16.028676727166147
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Original Double Heston|rich|directory,1,0,0,1,True,11.922330055810157
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Original Double Heston|rich|directory,2,1,1,1,False,20.295988915546413
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Original Double Heston|rich|directory,3,0,0,0,False,101.05896086264008
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Original Double Heston|rich|directory,4,1,1,1,False,8.302405514787678
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Original Double Heston|rich|directory,5,3,3,3,False,5.48014092478157
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Original Double Heston|rich|directory,6,5,5,5,False,4.6380520005482975
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Original Double Heston|rich|directory,7,2,2,2,False,5.238973597421465
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Original Double Heston|rich|directory,8,1,1,1,False,27.228643907086095
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Original Double Heston|rich|directory,9,1,1,1,False,9.473217733056835
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Original Double Heston|rich|directory,10,2,2,2,False,2.8806691011792744
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Original Double Heston|rich|directory,11,0,0,0,False,34.660124171717186
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Original Double Heston|rich|directory,12,1,1,1,False,13.614198726621636
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Original Double Heston|rich|directory,13,2,2,2,False,11.683156798222921
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Original Double Heston|rich|directory,14,5,5,5,False,3.6372516386601386
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Original Double Heston|rich|directory,15,4,4,4,False,5.34842048204957
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,17-layer Double Heston|rich|directory,0,3,3,3,False,17.88833489566637
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,17-layer Double Heston|rich|directory,1,0,0,1,True,11.517248343185777
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,17-layer Double Heston|rich|directory,2,2,2,2,False,20.372625751277063
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,17-layer Double Heston|rich|directory,3,0,0,0,False,98.38379403027528
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,17-layer Double Heston|rich|directory,4,0,0,0,False,8.374996215915413
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,17-layer Double Heston|rich|directory,5,3,3,3,False,4.689228978619074
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,17-layer Double Heston|rich|directory,6,1,1,1,False,5.454889215050216
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,17-layer Double Heston|rich|directory,7,1,1,1,False,7.72667278699449
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,17-layer Double Heston|rich|directory,8,1,1,1,False,26.560480813170845
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,17-layer Double Heston|rich|directory,9,1,1,1,False,9.631460643997874
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,17-layer Double Heston|rich|directory,10,2,2,2,False,2.9839816765747487
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,17-layer Double Heston|rich|directory,11,0,0,0,False,34.994689431648744
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,17-layer Double Heston|rich|directory,12,1,1,1,False,14.022868114538085
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,17-layer Double Heston|rich|directory,13,0,0,0,False,10.612916268475
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,17-layer Double Heston|rich|directory,14,5,5,5,False,3.7799427737406637
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,17-layer Double Heston|rich|directory,15,3,3,3,False,6.6865792234155
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Unregularized matched PINN|rich|directory,0,2,2,2,False,3.548174026368418
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Unregularized matched PINN|rich|directory,1,0,0,4,True,9.778355074758576
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Unregularized matched PINN|rich|directory,2,0,0,0,False,21.50028174089427
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Unregularized matched PINN|rich|directory,3,0,0,0,False,94.45982805982833
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Unregularized matched PINN|rich|directory,4,2,2,2,False,15.334034859462225
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Unregularized matched PINN|rich|directory,5,3,3,3,False,5.73642611185011
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Unregularized matched PINN|rich|directory,6,3,3,3,False,4.199989291968997
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Unregularized matched PINN|rich|directory,7,4,4,4,False,3.0124693788254864
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Unregularized matched PINN|rich|directory,8,3,3,3,False,7.6273613874225905
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Unregularized matched PINN|rich|directory,9,0,0,0,False,10.14753043775148
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Unregularized matched PINN|rich|directory,10,2,2,2,False,3.867378306455288
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Unregularized matched PINN|rich|directory,11,1,1,1,False,18.560184589841867
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Unregularized matched PINN|rich|directory,12,1,1,1,False,11.54625411943861
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Unregularized matched PINN|rich|directory,13,0,0,0,False,7.4558601833812155
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Unregularized matched PINN|rich|directory,14,6,6,6,False,4.2580772138295995
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Unregularized matched PINN|rich|directory,15,2,2,2,False,9.333048561254444
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Selected regularized PINN|rich|directory,0,2,2,2,False,5.710257932921186
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Selected regularized PINN|rich|directory,1,0,0,2,True,9.303056196810648
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Selected regularized PINN|rich|directory,2,0,0,0,False,13.610986400274484
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Selected regularized PINN|rich|directory,3,1,1,1,False,68.89160688098683
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Selected regularized PINN|rich|directory,4,1,1,1,False,8.23696655224835
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Selected regularized PINN|rich|directory,5,4,4,4,False,4.612946602350613
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Selected regularized PINN|rich|directory,6,4,4,4,False,6.471026281920456
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Selected regularized PINN|rich|directory,7,1,1,1,False,5.107002178196026
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Selected regularized PINN|rich|directory,8,2,2,2,False,21.833951283608734
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Selected regularized PINN|rich|directory,9,0,0,0,False,9.011850487010374
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Selected regularized PINN|rich|directory,10,0,0,0,False,7.9921468399237225
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Selected regularized PINN|rich|directory,11,4,4,4,False,16.856767701791746
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Selected regularized PINN|rich|directory,12,2,2,2,False,8.194395379517301
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Selected regularized PINN|rich|directory,13,2,2,2,False,15.11331999984653
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Selected regularized PINN|rich|directory,14,6,6,6,False,1.1622518933217767
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Selected regularized PINN|rich|directory,15,3,3,3,False,3.9037949001397725
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,0,2,2,2,False,5.963681574818405
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,1,1,1,1,False,13.808241086504799
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,2,1,1,1,False,3.0236358412680056
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,3,4,4,4,False,7.406643463543894
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,4,0,0,0,False,8.29565305492214
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,5,0,0,1,True,13.141367872163398
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,6,2,2,2,False,15.08225217905295
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,7,4,4,4,False,5.682190291911337
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,8,0,0,0,False,9.12173240737156
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,9,4,4,4,False,1.705556143374674
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,10,1,1,1,False,15.269501680540577
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,11,0,0,0,False,8.146906508873126
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,12,1,1,1,False,7.787134377697475
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,13,5,5,5,False,1.7493276815081387
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,14,0,0,1,True,10.385144815613913
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,15,1,1,1,False,6.8921962602145
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,16,1,1,1,False,5.491294745826661
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,17,0,0,0,False,6.511686490250946
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,18,2,2,2,False,5.111436565419202
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,19,0,0,0,False,26.609844404305072
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,20,3,3,3,False,9.342949071850002
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,21,0,0,0,False,8.914470186665358
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,22,0,0,0,False,11.253578370491027
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,23,0,0,0,False,24.553893897606887
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,0,1,1,1,False,10.28851075873792
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,1,2,2,2,False,6.1927819604891905
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,2,3,3,3,False,3.674647698053613
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,3,4,4,4,False,7.391830574315728
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,4,1,1,1,False,8.201217746371476
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,5,0,0,1,True,13.161981103812257
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,6,0,0,0,False,14.13096727274473
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,7,2,2,2,False,5.597312704888162
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,8,2,2,2,False,9.345058540157448
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,9,6,6,6,False,2.0582478128338484
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,10,0,0,0,False,17.82949398226969
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,11,1,1,1,False,7.771891805196191
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,12,1,1,1,False,16.942975029189473
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,13,7,7,7,False,1.0022949733837807
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,14,1,1,1,True,10.72333450371276
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,15,2,2,2,False,6.916960359314671
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,16,2,2,2,False,4.521014945560284
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,17,1,1,1,False,6.265635822694594
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,18,1,1,1,False,4.291910644254786
