source,group,cases,direct_all_ten,canonical_all_ten,permutation_all_ten,permutation_rescued,lower_error_swapped_assignments,direct_scaled_rmse,permutation_scaled_rmse
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Original Double Heston|rich|directory,16,0,0,0,0,1,1.477117315078883,1.4794337560012845
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,17-layer Double Heston|rich|directory,16,0,0,0,0,1,1.4565412137334366,1.4567630630799595
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Unregularized matched PINN|rich|directory,16,0,0,0,0,1,1.3068533763005732,1.3029838881967981
outputs/deeper_pinn/prior_boundary_noise_911931/fits.json,Selected regularized PINN|rich|directory,16,0,0,0,0,1,1.01534559111417,1.0107652917247312
outputs/deeper_pinn/recovery_noise_910831/fits.json,Original Double Heston|rich|directory,24,0,0,0,0,2,0.6186523925788606,0.6071662285441041
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,24,0,0,0,0,2,0.6509104764359246,0.640612084713246
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,24,0,0,0,0,1,0.6564320789341204,0.6478662834610803
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,24,0,0,0,0,1,0.7874633416076976,0.78350678690479
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,24,0,0,0,0,0,0.7589179715611372,0.7589179715611372
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,24,0,0,0,0,0,0.7716257709151184,0.7716257709151184
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep17_full_s29|rich|directory,24,0,0,0,0,0,0.8342110911384019,0.8342110911384019
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_balanced_s43|rich|directory,24,0,0,0,0,0,0.7626117444631355,0.7626117444631355
outputs/deeper_pinn/prior_clean_911831/fits.json,Original Double Heston|rich|directory,32,0,0,0,0,0,0.21674799417870633,0.21674799417870633
outputs/deeper_pinn/prior_clean_911831/fits.json,17-layer Double Heston|rich|directory,32,0,0,0,0,0,0.17589506434846786,0.17589506434846786
outputs/deeper_pinn/prior_clean_911831/fits.json,Unregularized matched PINN|rich|directory,32,1,1,1,0,0,0.16989290292733034,0.16989290292733034
outputs/deeper_pinn/prior_clean_911831/fits.json,Selected regularized PINN|rich|directory,32,1,1,1,0,0,0.1530748359306945,0.1530748359306945
outputs/deeper_pinn/prior_noise_911831/fits.json,Original Double Heston|rich|directory,32,0,0,0,0,0,0.607774838109655,0.607774838109655
outputs/deeper_pinn/prior_noise_911831/fits.json,17-layer Double Heston|rich|directory,32,0,0,0,0,0,0.6477606958533753,0.6477606958533753
outputs/deeper_pinn/prior_noise_911831/fits.json,Unregularized matched PINN|rich|directory,32,0,0,0,0,0,0.5927575762374517,0.5927575762374517
outputs/deeper_pinn/prior_noise_911831/fits.json,Selected regularized PINN|rich|directory,32,0,0,0,0,0,0.38781265402315107,0.38781265402315107
outputs/deeper_pinn/fresh_clean_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,24,0,0,0,0,1,0.364272152421966,0.32694601310088456
outputs/deeper_pinn/fresh_clean_909831/fits_and_starts.json,deep11_s17|rich|directory,24,0,0,0,0,1,0.36181463864303554,0.3239242388734557
outputs/deeper_pinn/fresh_clean_909831/fits_and_starts.json,deep17_full_s29|rich|directory,24,0,0,0,0,0,0.19402584558034752,0.19402584558034752
outputs/deeper_pinn/fresh_clean_909831/fits_and_starts.json,deep11_balanced_s43|rich|directory,24,0,0,0,0,0,0.21512325183567302,0.21512325183567302
outputs/deeper_pinn/development_first/fits_and_starts.json,double_sobolev_s17|rich|directory,6,0,0,0,0,0,0.19035724422421726,0.19035724422421726
outputs/deeper_pinn/development_first/fits_and_starts.json,deep11_s17|rich|directory,6,0,0,0,0,0,0.19788428213984952,0.19788428213984952
outputs/deeper_pinn/development_second/fits_and_starts.json,deep17_full_s29|rich|directory,6,0,0,0,0,0,0.2102467149248851,0.2102467149248851
outputs/deeper_pinn/prior_boundary_clean_911931/fits.json,Original Double Heston|rich|directory,16,0,0,0,0,1,0.4446574698781844,0.43618157674649294
outputs/deeper_pinn/prior_boundary_clean_911931/fits.json,17-layer Double Heston|rich|directory,16,0,0,0,0,1,0.4781835764505877,0.4678613760351816
outputs/deeper_pinn/prior_boundary_clean_911931/fits.json,Unregularized matched PINN|rich|directory,16,0,0,0,0,0,0.44047974890079283,0.44047974890079283
outputs/deeper_pinn/prior_boundary_clean_911931/fits.json,Selected regularized PINN|rich|directory,16,0,0,0,0,0,0.44270593130928226,0.44270593130928226
outputs/deeper_pinn/recovery_clean_910831/fits.json,Original Double Heston|rich|directory,24,1,1,1,0,0,0.22080811625792057,0.22080811625792057
outputs/deeper_pinn/recovery_clean_910831/fits.json,17-layer Double Heston|rich|directory,24,0,0,0,0,1,0.2254293633489419,0.22562832558250231
outputs/deeper_pinn/recovery_clean_910831/fits.json,11-layer Double Heston + GLS|rich|directory,24,0,0,0,0,0,0.1659317903398828,0.1659317903398828
outputs/deeper_pinn/recovery_clean_910831/fits.json,17-layer Double Heston + GLS|rich|directory,24,2,2,2,0,0,0.1657844670751066,0.1657844670751066
outputs/regular_pinn_recovery/locked_assessment_907931/fits_and_starts.json,double_standard_s17|monthly|0.0,12,0,0,0,0,0,0.6529370001653518,0.6529370001653518
outputs/regular_pinn_recovery/locked_assessment_907931/fits_and_starts.json,double_sobolev_s17|monthly|0.0,12,0,0,0,0,0,0.47102643088037016,0.47102643088037016
outputs/regular_pinn_recovery/locked_assessment_907931/fits_and_starts.json,double_standard_s17|monthly|0.01,12,0,0,0,0,1,1.45888776467837,1.4533356211234776
outputs/regular_pinn_recovery/locked_assessment_907931/fits_and_starts.json,double_sobolev_s17|monthly|0.01,12,0,0,0,0,1,1.1323231815799952,1.127434828110184
